arm,mode,KRT,year,treatment,obs,HWAM,error,abs_error,SRADA
PRFT13P8,prft,0.6,2020,W4,11595,13871.0,2276.0,2276.0,19.8
PRFT13P8,prft,0.7,2019,W1,9250,10307.0,1057.0,1057.0,19.8
PRFT13P8,prft,0.7,2019,W2,10725,10307.0,-418.0,418.0,19.8
PRFT13P8,prft,0.7,2019,W3,12490,10307.0,-2183.0,2183.0,19.8
PRFT13P8,prft,0.7,2019,W4,12030,10307.0,-1723.0,1723.0,19.8
PRFT13P8,prft,0.7,2020,W1,9275,13762.0,4487.0,4487.0,19.8
PRFT13P8,prft,0.7,2020,W2,11100,13762.0,2662.0,2662.0,19.8
PRFT13P8,prft,0.7,2020,W3,12030,13762.0,1732.0,1732.0,19.8
PRFT13P8,prft,0.7,2020,W4,11595,13762.0,2167.0,2167.0,19.8
PRFT13P8,prft,0.8,2019,W1,9250,10219.0,969.0,969.0,19.8
PRFT13P8,prft,0.8,2019,W2,10725,10219.0,-506.0,506.0,19.8
PRFT13P8,prft,0.8,2019,W3,12490,10219.0,-2271.0,2271.0,19.8
PRFT13P8,prft,0.8,2019,W4,12030,10219.0,-1811.0,1811.0,19.8
PRFT13P8,prft,0.8,2020,W1,9275,13720.0,4445.0,4445.0,19.8
PRFT13P8,prft,0.8,2020,W2,11100,13719.0,2619.0,2619.0,19.8
PRFT13P8,prft,0.8,2020,W3,12030,13719.0,1689.0,1689.0,19.8
PRFT13P8,prft,0.8,2020,W4,11595,13719.0,2124.0,2124.0,19.8
PRFT13P8,prft,0.9,2019,W1,9250,10132.0,882.0,882.0,19.8
PRFT13P8,prft,0.9,2019,W2,10725,10132.0,-593.0,593.0,19.8
PRFT13P8,prft,0.9,2019,W3,12490,10132.0,-2358.0,2358.0,19.8
PRFT13P8,prft,0.9,2019,W4,12030,10132.0,-1898.0,1898.0,19.8
PRFT13P8,prft,0.9,2020,W1,9275,13677.0,4402.0,4402.0,19.8
PRFT13P8,prft,0.9,2020,W2,11100,13676.0,2576.0,2576.0,19.8
PRFT13P8,prft,0.9,2020,W3,12030,13676.0,1646.0,1646.0,19.8
PRFT13P8,prft,0.9,2020,W4,11595,13677.0,2082.0,2082.0,19.8
PRFT13P8,prft,1.0,2019,W1,9250,10044.0,794.0,794.0,19.8
PRFT13P8,prft,1.0,2019,W2,10725,10044.0,-681.0,681.0,19.8
PRFT13P8,prft,1.0,2019,W3,12490,10044.0,-2446.0,2446.0,19.8
PRFT13P8,prft,1.0,2019,W4,12030,10044.0,-1986.0,1986.0,19.8
PRFT13P8,prft,1.0,2020,W1,9275,13635.0,4360.0,4360.0,19.8
PRFT13P8,prft,1.0,2020,W2,11100,13634.0,2534.0,2534.0,19.8
PRFT13P8,prft,1.0,2020,W3,12030,13634.0,1604.0,1604.0,19.8
PRFT13P8,prft,1.0,2020,W4,11595,13634.0,2039.0,2039.0,19.8
RGFIL13P8,rgfill,0.0,2019,W1,9250,10920.0,1670.0,1670.0,19.8
RGFIL13P8,rgfill,0.0,2019,W2,10725,10920.0,195.0,195.0,19.8
RGFIL13P8,rgfill,0.0,2019,W3,12490,10920.0,-1570.0,1570.0,19.8
RGFIL13P8,rgfill,0.0,2019,W4,12030,10920.0,-1110.0,1110.0,19.8
RGFIL13P8,rgfill,0.0,2020,W1,9275,14374.0,5099.0,5099.0,19.8
RGFIL13P8,rgfill,0.0,2020,W2,11100,14373.0,3273.0,3273.0,19.8
RGFIL13P8,rgfill,0.0,2020,W3,12030,14373.0,2343.0,2343.0,19.8
RGFIL13P8,rgfill,0.0,2020,W4,11595,14373.0,2778.0,2778.0,19.8
RGFIL13P8,rgfill,0.1,2019,W1,9250,10861.0,1611.0,1611.0,19.8
RGFIL13P8,rgfill,0.1,2019,W2,10725,10861.0,136.0,136.0,19.8
RGFIL13P8,rgfill,0.1,2019,W3,12490,10861.0,-1629.0,1629.0,19.8
RGFIL13P8,rgfill,0.1,2019,W4,12030,10861.0,-1169.0,1169.0,19.8
RGFIL13P8,rgfill,0.1,2020,W1,9275,14305.0,5030.0,5030.0,19.8
RGFIL13P8,rgfill,0.1,2020,W2,11100,14304.0,3204.0,3204.0,19.8
RGFIL13P8,rgfill,0.1,2020,W3,12030,14305.0,2275.0,2275.0,19.8
RGFIL13P8,rgfill,0.1,2020,W4,11595,14305.0,2710.0,2710.0,19.8
RGFIL13P8,rgfill,0.2,2019,W1,9250,10802.0,1552.0,1552.0,19.8
RGFIL13P8,rgfill,0.2,2019,W2,10725,10802.0,77.0,77.0,19.8
RGFIL13P8,rgfill,0.2,2019,W3,12490,10802.0,-1688.0,1688.0,19.8
RGFIL13P8,rgfill,0.2,2019,W4,12030,10802.0,-1228.0,1228.0,19.8
RGFIL13P8,rgfill,0.2,2020,W1,9275,14269.0,4994.0,4994.0,19.8
RGFIL13P8,rgfill,0.2,2020,W2,11100,14269.0,3169.0,3169.0,19.8
RGFIL13P8,rgfill,0.2,2020,W3,12030,14269.0,2239.0,2239.0,19.8
RGFIL13P8,rgfill,0.2,2020,W4,11595,14269.0,2674.0,2674.0,19.8
RGFIL13P8,rgfill,0.3,2019,W1,9250,10743.0,1493.0,1493.0,19.8
RGFIL13P8,rgfill,0.3,2019,W2,10725,10743.0,18.0,18.0,19.8
RGFIL13P8,rgfill,0.3,2019,W3,12490,10743.0,-1747.0,1747.0,19.8
RGFIL13P8,rgfill,0.3,2019,W4,12030,10743.0,-1287.0,1287.0,19.8
RGFIL13P8,rgfill,0.3,2020,W1,9275,14299.0,5024.0,5024.0,19.8
RGFIL13P8,rgfill,0.3,2020,W2,11100,14298.0,3198.0,3198.0,19.8
RGFIL13P8,rgfill,0.3,2020,W3,12030,14298.0,2268.0,2268.0,19.8
RGFIL13P8,rgfill,0.3,2020,W4,11595,14298.0,2703.0,2703.0,19.8
RGFIL13P8,rgfill,0.4,2019,W1,9250,10684.0,1434.0,1434.0,19.8
RGFIL13P8,rgfill,0.4,2019,W2,10725,10684.0,-41.0,41.0,19.8
RGFIL13P8,rgfill,0.4,2019,W3,12490,10684.0,-1806.0,1806.0,19.8
RGFIL13P8,rgfill,0.4,2019,W4,12030,10684.0,-1346.0,1346.0,19.8
RGFIL13P8,rgfill,0.4,2020,W1,9275,14274.0,4999.0,4999.0,19.8
RGFIL13P8,rgfill,0.4,2020,W2,11100,14273.0,3173.0,3173.0,19.8
RGFIL13P8,rgfill,0.4,2020,W3,12030,14273.0,2243.0,2243.0,19.8
RGFIL13P8,rgfill,0.4,2020,W4,11595,14273.0,2678.0,2678.0,19.8
RGFIL13P8,rgfill,0.5,2019,W1,9250,10625.0,1375.0,1375.0,19.8
RGFIL13P8,rgfill,0.5,2019,W2,10725,10625.0,-100.0,100.0,19.8
RGFIL13P8,rgfill,0.5,2019,W3,12490,10625.0,-1865.0,1865.0,19.8
RGFIL13P8,rgfill,0.5,2019,W4,12030,10625.0,-1405.0,1405.0,19.8
RGFIL13P8,rgfill,0.5,2020,W1,9275,14271.0,4996.0,4996.0,19.8
RGFIL13P8,rgfill,0.5,2020,W2,11100,14271.0,3171.0,3171.0,19.8
RGFIL13P8,rgfill,0.5,2020,W3,12030,14271.0,2241.0,2241.0,19.8
RGFIL13P8,rgfill,0.5,2020,W4,11595,14271.0,2676.0,2676.0,19.8
RGFIL13P8,rgfill,0.6,2019,W1,9250,10566.0,1316.0,1316.0,19.8
RGFIL13P8,rgfill,0.6,2019,W2,10725,10566.0,-159.0,159.0,19.8
RGFIL13P8,rgfill,0.6,2019,W3,12490,10566.0,-1924.0,1924.0,19.8
RGFIL13P8,rgfill,0.6,2019,W4,12030,10566.0,-1464.0,1464.0,19.8
RGFIL13P8,rgfill,0.6,2020,W1,9275,14072.0,4797.0,4797.0,19.8
RGFIL13P8,rgfill,0.6,2020,W2,11100,14072.0,2972.0,2972.0,19.8
RGFIL13P8,rgfill,0.6,2020,W3,12030,14072.0,2042.0,2042.0,19.8
RGFIL13P8,rgfill,0.6,2020,W4,11595,14072.0,2477.0,2477.0,19.8
RGFIL13P8,rgfill,0.7,2019,W1,9250,10506.0,1256.0,1256.0,19.8
RGFIL13P8,rgfill,0.7,2019,W2,10725,10506.0,-219.0,219.0,19.8
RGFIL13P8,rgfill,0.7,2019,W3,12490,10506.0,-1984.0,1984.0,19.8
RGFIL13P8,rgfill,0.7,2019,W4,12030,10506.0,-1524.0,1524.0,19.8
RGFIL13P8,rgfill,0.7,2020,W1,9275,13873.0,4598.0,4598.0,19.8
RGFIL13P8,rgfill,0.7,2020,W2,11100,13873.0,2773.0,2773.0,19.8
RGFIL13P8,rgfill,0.7,2020,W3,12030,13873.0,1843.0,1843.0,19.8
RGFIL13P8,rgfill,0.7,2020,W4,11595,13873.0,2278.0,2278.0,19.8
RGFIL13P8,rgfill,0.8,2019,W1,9250,10447.0,1197.0,1197.0,19.8
RGFIL13P8,rgfill,0.8,2019,W2,10725,10447.0,-278.0,278.0,19.8
RGFIL13P8,rgfill,0.8,2019,W3,12490,10447.0,-2043.0,2043.0,19.8
RGFIL13P8,rgfill,0.8,2019,W4,12030,10447.0,-1583.0,1583.0,19.8
RGFIL13P8,rgfill,0.8,2020,W1,9275,14153.0,4878.0,4878.0,19.8
RGFIL13P8,rgfill,0.8,2020,W2,11100,14152.0,3052.0,3052.0,19.8
RGFIL13P8,rgfill,0.8,2020,W3,12030,14152.0,2122.0,2122.0,19.8
RGFIL13P8,rgfill,0.8,2020,W4,11595,14153.0,2558.0,2558.0,19.8
RGFIL13P8,rgfill,0.9,2019,W1,9250,10388.0,1138.0,1138.0,19.8
RGFIL13P8,rgfill,0.9,2019,W2,10725,10388.0,-337.0,337.0,19.8
RGFIL13P8,rgfill,0.9,2019,W3,12490,10388.0,-2102.0,2102.0,19.8
RGFIL13P8,rgfill,0.9,2019,W4,12030,10388.0,-1642.0,1642.0,19.8
RGFIL13P8,rgfill,0.9,2020,W1,9275,14022.0,4747.0,4747.0,19.8
RGFIL13P8,rgfill,0.9,2020,W2,11100,14022.0,2922.0,2922.0,19.8
RGFIL13P8,rgfill,0.9,2020,W3,12030,14022.0,1992.0,1992.0,19.8
RGFIL13P8,rgfill,0.9,2020,W4,11595,14022.0,2427.0,2427.0,19.8
RGFIL13P8,rgfill,1.0,2019,W1,9250,10329.0,1079.0,1079.0,19.8
RGFIL13P8,rgfill,1.0,2019,W2,10725,10329.0,-396.0,396.0,19.8
RGFIL13P8,rgfill,1.0,2019,W3,12490,10329.0,-2161.0,2161.0,19.8
RGFIL13P8,rgfill,1.0,2019,W4,12030,10329.0,-1701.0,1701.0,19.8
RGFIL13P8,rgfill,1.0,2020,W1,9275,13795.0,4520.0,4520.0,19.8
RGFIL13P8,rgfill,1.0,2020,W2,11100,13795.0,2695.0,2695.0,19.8
RGFIL13P8,rgfill,1.0,2020,W3,12030,13795.0,1765.0,1765.0,19.8
RGFIL13P8,rgfill,1.0,2020,W4,11595,13795.0,2200.0,2200.0,19.8
BOTH13P8,both,0.0,2019,W1,9250,10920.0,1670.0,1670.0,19.8
BOTH13P8,both,0.0,2019,W2,10725,10920.0,195.0,195.0,19.8
BOTH13P8,both,0.0,2019,W3,12490,10920.0,-1570.0,1570.0,19.8
BOTH13P8,both,0.0,2019,W4,12030,10920.0,-1110.0,1110.0,19.8
BOTH13P8,both,0.0,2020,W1,9275,14374.0,5099.0,5099.0,19.8
BOTH13P8,both,0.0,2020,W2,11100,14373.0,3273.0,3273.0,19.8
BOTH13P8,both,0.0,2020,W3,12030,14373.0,2343.0,2343.0,19.8
BOTH13P8,both,0.0,2020,W4,11595,14373.0,2778.0,2778.0,19.8
BOTH13P8,both,0.1,2019,W1,9250,10774.0,1524.0,1524.0,19.8
BOTH13P8,both,0.1,2019,W2,10725,10774.0,49.0,49.0,19.8
BOTH13P8,both,0.1,2019,W3,12490,10774.0,-1716.0,1716.0,19.8
BOTH13P8,both,0.1,2019,W4,12030,10774.0,-1256.0,1256.0,19.8
BOTH13P8,both,0.1,2020,W1,9275,14268.0,4993.0,4993.0,19.8
BOTH13P8,both,0.1,2020,W2,11100,14267.0,3167.0,3167.0,19.8
BOTH13P8,both,0.1,2020,W3,12030,14267.0,2237.0,2237.0,19.8
BOTH13P8,both,0.1,2020,W4,11595,14267.0,2672.0,2672.0,19.8
