regime,threshold_c,A,B,C,peak_solar_h,n_cal,rmse_cal
single_all,12.7,1.8494297532402184,0.7400179364784187,0.2415420589653036,14.090971812205522,61190,1.7724943326694869
low_DTR,12.7,1.7422907824833282,0.8102912348426383,0.3720892293116921,14.11438001179502,49046,1.6649231862017473
high_DTR,12.7,2.037007146973088,0.6035093218176135,0.01223036346848165,14.04923751044157,12144,2.138917286602858
