year,dtr,n_points,rmse,bias
2017,8.0,24,0.6909633566881855,0.024526857026209974
2017,7.0,24,3.046917210137559,2.1194495194951575
2017,12.0,24,1.3025937039681348,0.25952733161818325
2017,10.0,24,0.5750538325796567,-0.13899637957669633
2017,13.0,24,1.0822838359336038,0.10172151301100348
2017,17.0,24,1.576093873097293,-0.6586342893042829
2017,13.0,24,4.166472706652691,0.32459089836905536
2017,10.0,24,1.1072413534684984,0.5083269927371689
2017,10.0,24,1.958000751307083,0.4719761989564866
2017,15.0,24,1.4229488976856446,0.8408140226666231
2017,15.0,24,1.271732639324852,0.2234824924074966
2017,10.0,24,1.3291246124540324,-0.26264975808415764
2017,10.0,24,0.7133536841102187,-0.007726369125131249
2017,15.0,24,1.762859473676139,0.4122806318148853
2017,8.0,24,0.9536922942114873,0.4597678581277888
2017,11.0,24,1.9864578703456,1.5903607615451978
2017,12.0,24,3.451099037102748,-1.695256519048571
2017,14.0,24,2.3732235640680326,0.22975281454153462
2017,6.0,24,3.446185669867262,1.2200807536621716
2017,13.0,24,1.4560923247109374,0.15587933190425032
2017,13.0,24,1.0574316374240644,0.2730085891137914
2017,10.0,24,1.4590479633555258,0.8234871834277154
2017,14.0,24,1.6024390322319462,0.4670001929120069
2017,13.0,24,0.9443192904801536,-0.1980284567706403
2017,11.0,24,0.8567472068114379,-0.035079015513591084
2017,10.0,24,2.320041925962775,0.2976324059042826
2017,6.0,24,2.2454064052013476,0.1974395162044357
2017,14.0,24,1.7482058647311869,0.11841717313232343
2017,11.0,24,2.022772024603532,0.8556863532927355
2017,13.0,24,1.8668881096643168,0.6216089439159034
2017,6.0,24,1.0367047981406439,0.4554381928461358
2017,9.0,24,0.7866163016322224,-0.31412219385348755
2017,6.0,24,0.7405261717708914,0.16732320407108356
2017,7.0,24,1.1533134620978431,0.7596375177553097
2017,12.0,24,0.7763411234745718,-0.11723983607713102
2017,11.0,24,0.869927079122394,-0.28876414424780883
2017,9.0,24,1.982426686406381,1.4893528471321837
2017,12.0,24,6.873337847070656,-0.35875607731628545
2017,5.0,24,1.8754123017486872,0.8341976873951725
2017,13.0,24,1.7080524780212116,0.5714390214500611
2017,15.0,24,1.1038263026566408,0.008236013646493253
2017,17.0,24,3.6863382879471023,0.9455034649039518
2017,12.0,24,1.4511044770337442,0.19375605841796242
2017,14.0,24,1.776656429301078,-0.9942355157991932
2017,13.0,24,1.0989466438467708,-0.1269625960277961
2017,11.0,23,1.1106935624263363,-0.10449276046153398
