date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2000-01-21,2000,1,24,-5.0,-18.0,13.0,10-<14.5,11.633333333333333,3.0,3.0,4.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,3.9385250624309407,1.253632881537234
2000-01-22,2000,1,24,-10.0,-21.0,11.0,10-<14.5,11.633333333333333,2.0,2.0,2.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.831108384253994,0.08193781113119251
2000-01-23,2000,1,24,-13.0,-22.0,9.0,<10,13.133333333333333,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,2.003959844456944,-0.3002008664033505
2000-01-24,2000,1,23,-10.0,-21.0,11.0,10-<14.5,11.616666666666667,1.0,1.0,2.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,2.3607060619321167,0.5747960764336663
2000-01-25,2000,1,21,-10.0,-22.0,12.0,10-<14.5,10.616666666666667,2.0,2.0,2.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.5143619760582903,0.5160979570138992
2000-01-26,2000,1,22,-6.0,-21.0,15.0,14.5-<18,14.116666666666667,0.0,5.0,7.0,0.0,0.3333333333333333,0.4666666666666667,3.0599526599307416,1.3975719928401038
2000-01-27,2000,1,23,-11.0,-22.0,11.0,10-<14.5,13.116666666666667,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,3.526915178293652,-0.9219011967754847
2000-01-28,2000,1,23,-12.0,-23.0,11.0,10-<14.5,10.6,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,2.289480934613425,-0.37581966002215234
2000-01-29,2000,1,24,-10.0,-21.0,11.0,10-<14.5,12.6,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,2.113186030219525,0.4089133130085649
2000-01-30,2000,1,24,-11.0,-22.0,11.0,10-<14.5,12.1,2.0,0.0,1.0,0.18181818181818182,0.0,0.09090909090909091,2.3777770778659977,0.49761333305744193
2000-01-31,2000,1,24,-9.0,-22.0,13.0,10-<14.5,14.1,0.0,0.0,1.0,0.0,0.0,0.07692307692307693,2.7073025277269065,-1.5607557044063927
2000-02-01,2000,2,24,-7.0,-16.0,9.0,<10,12.6,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,2.3368348539291723,0.23808327142690175
2000-02-02,2000,2,23,-8.0,-18.0,10.0,10-<14.5,13.6,1.0,2.0,3.0,0.1,0.2,0.3,1.6633234754967638,-0.3116794972286198
2000-02-03,2000,2,24,-5.0,-16.0,11.0,10-<14.5,14.583333333333334,3.0,4.0,7.0,0.2727272727272727,0.36363636363636365,0.6363636363636364,2.6750780108848478,0.6864488488414194
2000-02-04,2000,2,22,-5.0,-18.0,13.0,10-<14.5,20.583333333333332,5.0,5.0,0.0,0.38461538461538464,0.38461538461538464,0.0,2.9737876992254755,-1.8253530038737222
2000-02-05,2000,2,24,-1.0,-12.0,11.0,10-<14.5,11.583333333333334,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,3.6265190267025686,-0.510468279518969
2000-02-06,2000,2,22,-6.0,-14.0,8.0,<10,11.583333333333334,1.0,1.0,1.0,0.125,0.125,0.125,2.224093662858036,-0.15350598992028533
2000-02-07,2000,2,23,-4.0,-15.0,11.0,10-<14.5,14.083333333333334,0.0,2.0,2.0,0.0,0.18181818181818182,0.18181818181818182,2.075316191119325,0.022576038088478002
2000-02-08,2000,2,24,-5.0,-15.0,10.0,10-<14.5,13.583333333333334,0.0,1.0,3.0,0.0,0.1,0.3,1.8385747076423307,0.3056389727478041
2000-02-09,2000,2,23,-6.0,-16.0,10.0,10-<14.5,13.583333333333334,0.0,1.0,3.0,0.0,0.1,0.3,2.0055959275415653,-0.24938527536412164
2000-02-10,2000,2,24,2.0,-17.0,19.0,18-<20,14.583333333333334,2.0,4.0,7.0,0.10526315789473684,0.21052631578947367,0.3684210526315789,3.911302041514463,-2.0280620774012337
2000-02-11,2000,2,24,-4.0,-10.0,6.0,<10,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.889714889107747,-1.0736033361962447
2000-02-12,2000,2,23,-4.0,-15.0,11.0,10-<14.5,14.583333333333334,2.0,3.0,6.0,0.18181818181818182,0.2727272727272727,0.5454545454545454,2.4591648556977534,-0.0081660029760053
2000-02-13,2000,2,23,-9.0,-16.0,7.0,<10,12.583333333333334,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.9167895490583973,-0.4181499917599155
2000-02-14,2000,2,23,-7.0,-16.0,9.0,<10,13.583333333333334,0.0,1.0,3.0,0.0,0.1111111111111111,0.3333333333333333,2.2483822675239606,0.010086838185068319
2000-02-15,2000,2,24,-5.0,-14.0,9.0,<10,14.583333333333334,2.0,2.0,6.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.8248597879509187,0.7216974725176367
2000-02-16,2000,2,24,1.0,-14.0,15.0,14.5-<18,12.583333333333334,2.0,2.0,2.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,3.083743067049877,-1.5389806610252088
2000-02-17,2000,2,22,-3.0,-13.0,10.0,10-<14.5,6.583333333333334,4.0,4.0,2.0,0.4,0.4,0.2,4.880653895727798,-2.484640938888801
2000-02-18,2000,2,23,-2.0,-15.0,13.0,10-<14.5,11.583333333333334,2.0,2.0,3.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,3.165500999660664,0.3919942594180821
2000-02-19,2000,2,24,-5.0,-15.0,10.0,10-<14.5,10.083333333333334,0.0,1.0,1.0,0.0,0.1,0.1,2.4294881198551046,-0.09291222194354391
2000-02-20,2000,2,23,-7.0,-15.0,8.0,<10,13.583333333333334,0.0,1.0,1.0,0.0,0.125,0.125,2.297602692246829,-1.2169319835676318
2000-02-22,2000,2,24,-8.0,-14.0,6.0,<10,10.583333333333334,1.0,2.0,2.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,2.334144627852957,0.46239390127411467
2000-02-23,2000,2,24,-5.0,-21.0,16.0,14.5-<18,11.583333333333334,1.0,1.0,2.0,0.0625,0.0625,0.125,4.195890507949043,-0.6055053054039049
2000-02-24,2000,2,21,-11.0,-22.0,11.0,10-<14.5,15.1,0.0,1.0,4.0,0.0,0.09090909090909091,0.36363636363636365,1.5730609419959227,-0.5027088606330485
2000-02-25,2000,2,24,-8.0,-19.0,11.0,10-<14.5,13.1,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,2.048246821551431,0.3586220244237146
2000-02-26,2000,2,24,-4.0,-18.0,14.0,10-<14.5,10.6,3.0,2.0,3.0,0.21428571428571427,0.14285714285714285,0.21428571428571427,3.623853639899103,1.2480239864669607
