run_id,method,region,seed,evaluation,candidate_id,status,theta_json,theta_normalized_json,qsim_path,01605500_nse,01606000_nse,01606500_nse,mean_nse,min_nse,01605500_kge,01606000_kge,01606500_kge,01605500_pbias,01606000_pbias,01606500_pbias,01605500_rmse,01606000_rmse,01606500_rmse,station_nse_json,station_kge_json,station_pbias_json,station_rmse_json,best_so_far,elapsed_seconds,error,completed_at
BO_GLOBAL_20260903,BO,GLOBAL,20260903,1,BO_GLOBAL_20260903-0001,DONE,"[-12.32697631099117,0.3333905825953576,36.54157900780091,0.7913360372607525,0.6785458618583191,0.9423448561764307,0.7114916177159079,0.5871828492402167,0.15630823128236404,0.16472741398879753,10.582996827636663,0.15106247352562027,64.11728049077949,1.0857349870472162]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\BO_GLOBAL_20260903\evaluation_0001.npy,0.32495008069357,0.48463561628375895,0.47927890419751484,0.429621533724948,0.32495008069357,0.393252481066265,0.4891411324199979,0.4776188678171467,43.28763564097552,21.092673367849986,6.381964184690176,7.285433082920691,14.332542241818269,24.157351338133925,"{""01605500"":0.32495008069357,""01606000"":0.48463561628375895,""01606500"":0.47927890419751484}","{""01605500"":0.393252481066265,""01606000"":0.4891411324199979,""01606500"":0.4776188678171467}","{""01605500"":43.28763564097552,""01606000"":21.092673367849986,""01606500"":6.381964184690176}","{""01605500"":7.285433082920691,""01606000"":14.332542241818269,""01606500"":24.157351338133925}",0.429621533724948,42.61731550001423,,2026-09-03T04:35:20.193618+00:00
DE_AI_20260903,DE,AI,20260903,1,DE_AI_20260903-0001,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134303,0.12989009684819067,0.22233667086063402,9.267194879685452,0.17499229766718224,127.1545228228295,1.0896208948538926]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DE_AI_20260903\evaluation_0001.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,43.464481600007275,,2026-09-03T04:35:21.036771+00:00
BO_AI_20260903,BO,AI,20260903,1,BO_AI_20260903-0001,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134303,0.12989009684819067,0.22233667086063402,9.267194879685452,0.17499229766718224,127.1545228228295,1.0896208948538926]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\BO_AI_20260903\evaluation_0001.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,43.727149299986195,,2026-09-03T04:35:21.300588+00:00
DDS_GLOBAL_20260903,DDS,GLOBAL,20260903,1,DDS_GLOBAL_20260903-0001,DONE,"[-12.32697631099117,0.3333905825953576,36.54157900780091,0.7913360372607525,0.6785458618583191,0.9423448561764307,0.7114916177159079,0.5871828492402167,0.15630823128236404,0.16472741398879753,10.582996827636663,0.15106247352562027,64.11728049077949,1.0857349870472162]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DDS_GLOBAL_20260903\evaluation_0001.npy,0.32495008069357,0.48463561628375895,0.47927890419751484,0.429621533724948,0.32495008069357,0.393252481066265,0.4891411324199979,0.4776188678171467,43.28763564097552,21.092673367849986,6.381964184690176,7.285433082920691,14.332542241818269,24.157351338133925,"{""01605500"":0.32495008069357,""01606000"":0.48463561628375895,""01606500"":0.47927890419751484}","{""01605500"":0.393252481066265,""01606000"":0.4891411324199979,""01606500"":0.4776188678171467}","{""01605500"":43.28763564097552,""01606000"":21.092673367849986,""01606500"":6.381964184690176}","{""01605500"":7.285433082920691,""01606000"":14.332542241818269,""01606500"":24.157351338133925}",0.429621533724948,43.84196590000647,,2026-09-03T04:35:21.396150+00:00
DE_GLOBAL_20260903,DE,GLOBAL,20260903,1,DE_GLOBAL_20260903-0001,DONE,"[-12.32697631099117,0.3333905825953576,36.54157900780091,0.7913360372607525,0.6785458618583191,0.9423448561764307,0.7114916177159079,0.5871828492402167,0.15630823128236404,0.16472741398879753,10.582996827636663,0.15106247352562027,64.11728049077949,1.0857349870472162]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DE_GLOBAL_20260903\evaluation_0001.npy,0.32495008069357,0.48463561628375895,0.47927890419751484,0.429621533724948,0.32495008069357,0.393252481066265,0.4891411324199979,0.4776188678171467,43.28763564097552,21.092673367849986,6.381964184690176,7.285433082920691,14.332542241818269,24.157351338133925,"{""01605500"":0.32495008069357,""01606000"":0.48463561628375895,""01606500"":0.47927890419751484}","{""01605500"":0.393252481066265,""01606000"":0.4891411324199979,""01606500"":0.4776188678171467}","{""01605500"":43.28763564097552,""01606000"":21.092673367849986,""01606500"":6.381964184690176}","{""01605500"":7.285433082920691,""01606000"":14.332542241818269,""01606500"":24.157351338133925}",0.429621533724948,43.892538599990075,,2026-09-03T04:35:21.459366+00:00
DDS_AI_20260903,DDS,AI,20260903,1,DDS_AI_20260903-0001,DONE,"[-11.389317858598206,0.2672567761771309,29.350389012775526,0.698635760582098,0.7562147917418355,0.9809634522550859,0.7171626441913745,0.6547975068134303,0.12989009684819067,0.22233667086063402,9.267194879685452,0.17499229766718224,127.1545228228295,1.0896208948538926]","[0.2557674563002943,0.3333905825953576,0.20078874099053434,0.7913360372607525,0.6785458618583191,0.3558621404410768,0.7114916177159079,0.2564120259159035,0.7572679515686891,0.41034439596189853,0.43979109927501725,0.5018811823599341,0.12823454354624986,0.9524499568240534]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DDS_AI_20260903\evaluation_0001.npy,0.3580407153668149,0.5315809376602929,0.5099546190981561,0.4665254240417546,0.3580407153668149,0.4822573160146195,0.5557238099212505,0.5184356744786447,33.74982752125239,13.565023207293057,-0.1919564376797863,7.104625182999893,13.664171675476078,23.434995764323975,"{""01605500"":0.3580407153668149,""01606000"":0.5315809376602929,""01606500"":0.5099546190981561}","{""01605500"":0.4822573160146195,""01606000"":0.5557238099212505,""01606500"":0.5184356744786447}","{""01605500"":33.74982752125239,""01606000"":13.565023207293057,""01606500"":-0.1919564376797863}","{""01605500"":7.104625182999893,""01606000"":13.664171675476078,""01606500"":23.434995764323975}",0.4665254240417546,43.96307189998333,,2026-09-03T04:35:21.526169+00:00
BO_GLOBAL_20260903,BO,GLOBAL,20260903,2,BO_GLOBAL_20260903-0002,DONE,"[-2.6383668276388192,0.07464348917691677,123.24853879801024,0.5176299470763791,0.3870492751613679,1.186430598143585,0.10250476888563176,0.8494002723130949,0.06259622787079223,0.09823630168454478,23.604704250022248,0.13815958555440241,482.1585123828373,0.9127553199235997]","[0.5787211057453727,0.07464348917691677,0.6838358707410042,0.5176299470763791,0.3870492751613679,0.9660764953589623,0.10250476888563176,0.3944211959542605,0.2366457103932902,0.24370000422191673,0.9834949582472755,0.458727710884289,0.964317024052015,0.37585106641199895]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\BO_GLOBAL_20260903\evaluation_0002.npy,0.12872278545623728,0.1866776410580553,0.19394693886265257,0.16978245512564838,0.12872278545623728,0.1314407576676283,0.23079606580606793,0.16578263238229807,26.27234209137912,8.008886670425696,-6.110761575015356,8.276859955354775,18.005176600146875,30.05581751311204,"{""01605500"":0.12872278545623728,""01606000"":0.1866776410580553,""01606500"":0.19394693886265257}","{""01605500"":0.1314407576676283,""01606000"":0.23079606580606793,""01606500"":0.16578263238229807}","{""01605500"":26.27234209137912,""01606000"":8.008886670425696,""01606500"":-6.110761575015356}","{""01605500"":8.276859955354775,""01606000"":18.005176600146875,""01606500"":30.05581751311204}",0.429621533724948,42.014628699980676,,2026-09-03T04:36:02.227298+00:00
DE_AI_20260903,DE,AI,20260903,2,DE_AI_20260903-0002,DONE,"[-3.964606016754617,0.05983665802656396,98.75715722127129,0.5216359695506336,0.5419853358483072,1.1884644455628341,0.29663815053171555,0.8024878736547532,0.06929210739912164,0.17212668859950256,20.662205904796025,0.16598687572689635,413.97000299598267,0.9637623233154551]","[0.5787211057453727,0.07464348917691677,0.6838358707410042,0.5176299470763791,0.3870492751613679,0.9660764953589623,0.10250476888563176,0.3944211959542605,0.2366457103932902,0.24370000422191673,0.9834949582472755,0.458727710884289,0.964317024052015,0.37585106641199895]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DE_AI_20260903\evaluation_0002.npy,0.19293886994443732,0.24936740852922856,0.24782892577866777,0.2300450680841112,0.19293886994443732,0.22810782304937582,0.30549046384236855,0.2331568903378577,19.967715038930265,3.50764252763778,-10.165603264650214,7.966006276811106,17.297356569772234,29.033877718910333,"{""01605500"":0.19293886994443732,""01606000"":0.24936740852922856,""01606500"":0.24782892577866777}","{""01605500"":0.22810782304937582,""01606000"":0.30549046384236855,""01606500"":0.2331568903378577}","{""01605500"":19.967715038930265,""01606000"":3.50764252763778,""01606500"":-10.165603264650214}","{""01605500"":7.966006276811106,""01606000"":17.297356569772234,""01606500"":29.033877718910333}",0.4665254240417546,42.599673200020334,,2026-09-03T04:36:03.648898+00:00
BO_AI_20260903,BO,AI,20260903,2,BO_AI_20260903-0002,DONE,"[-3.964606016754617,0.05983665802656396,98.75715722127129,0.5216359695506336,0.5419853358483072,1.1884644455628341,0.29663815053171555,0.8024878736547532,0.06929210739912164,0.17212668859950256,20.662205904796025,0.16598687572689635,413.97000299598267,0.9637623233154551]","[0.5787211057453727,0.07464348917691677,0.6838358707410042,0.5176299470763791,0.3870492751613679,0.9660764953589623,0.10250476888563176,0.3944211959542605,0.2366457103932902,0.24370000422191673,0.9834949582472755,0.458727710884289,0.964317024052015,0.37585106641199895]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\BO_AI_20260903\evaluation_0002.npy,0.19293886994443732,0.24936740852922856,0.24782892577866777,0.2300450680841112,0.19293886994443732,0.22810782304937582,0.30549046384236855,0.2331568903378577,19.967715038930265,3.50764252763778,-10.165603264650214,7.966006276811106,17.297356569772234,29.033877718910333,"{""01605500"":0.19293886994443732,""01606000"":0.24936740852922856,""01606500"":0.24782892577866777}","{""01605500"":0.22810782304937582,""01606000"":0.30549046384236855,""01606500"":0.2331568903378577}","{""01605500"":19.967715038930265,""01606000"":3.50764252763778,""01606500"":-10.165603264650214}","{""01605500"":7.966006276811106,""01606000"":17.297356569772234,""01606500"":29.033877718910333}",0.4665254240417546,43.337603800027864,,2026-09-03T04:36:04.645125+00:00
DDS_GLOBAL_20260903,DDS,GLOBAL,20260903,2,DDS_GLOBAL_20260903-0002,DONE,"[-13.360241475973641,0.39826589011188934,0.5,0.7800654246163856,1.0,0.9423448561764307,0.9771248402554242,0.33731319184559194,0.2,0.0309412237982218,10.582996827636663,0.13574846385322845,64.11728049077949,1.062606316156983]","[0.22132528413421193,0.39826589011188934,0.0,0.7800654246163856,1.0,0.3558621404410768,0.9771248402554242,0.1249016799187326,1.0,0.07504066114842556,0.43979109927501725,0.4506637587064497,0.12823454354624986,0.875354387189943]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a3\qsim\DDS_GLOBAL_20260903\evaluation_0002.npy,-0.1148623541214091,0.3702139526888134,0.3975853290993261,0.2176456425555768,-0.1148623541214091,0.28880967048115247,0.5594306447265943,0.6470576593254634,54.68714029577141,33.71923150044439,18.194487949783102,9.36263416384058,15.843916575340685,25.98331146794278,"{""01605500"":-0.1148623541214091,""01606000"":0.3702139526888134,""01606500"":0.3975853290993261}","{""01605500"":0.28880967048115247,""01606000"":0.5594306447265943,""01606500"":0.6470576593254634}","{""01605500"":54.68714029577141,""01606000"":33.71923150044439,""01606500"":18.194487949783102}","{""01605500"":9.36263416384058,""01606000"":15.843916575340685,""01606500"":25.98331146794278}",0.429621533724948,43.819768799992744,,2026-09-03T04:36:05.233531+00:00
