run_id,method,group,region,arm,seed,evaluation,candidate_id,status,theta_json,theta_normalized_json,qsim_path,01605500_nse,01606000_nse,01606500_nse,mean_nse,min_nse,01605500_kge,01606000_kge,01606500_kge,01605500_pbias,01606000_pbias,01606500_pbias,01605500_rmse,01606000_rmse,01606500_rmse,station_nse_json,station_kge_json,station_pbias_json,station_rmse_json,best_so_far,elapsed_seconds,error,completed_at
DDS_GLOBAL_20260907,DDS,GLOBAL,GLOBAL,DDS_GLOBAL,20260907,1,DDS_GLOBAL_20260907-0001,DONE,"[-13.888944298659666,0.4937439493690896,107.48389599494759,0.4721728697204658,0.38630405020573055,0.9555861051537277,0.7679909301067037,1.5251984847717421,0.14477740642669215,0.3554450405277114,7.5671546104312055,0.13341878756030673,65.08878015084728,0.8895439606099]","[0.20370185671134444,0.4937439493690896,0.5960105626459475,0.4721728697204658,0.38630405020573055,0.3889652628843192,0.7679909301067037,0.750104465669338,0.693207813481623,0.8883334349065449,0.3138686684939961,0.4428721991983503,0.1301775429052454,0.2984798686996668]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_GLOBAL_20260907\evaluation_0001.npy,0.06824400504970152,0.1483380594838064,0.16693438114362968,0.12783881522571253,0.06824400504970152,0.001828895370362349,0.0886465162193234,0.08902359066775134,49.01265764253893,24.3604938004726,8.968162418828415,8.559305479902475,18.424667090696204,30.555284726147907,"{""01605500"":0.06824400504970152,""01606000"":0.1483380594838064,""01606500"":0.16693438114362968}","{""01605500"":0.001828895370362349,""01606000"":0.0886465162193234,""01606500"":0.08902359066775134}","{""01605500"":49.01265764253893,""01606000"":24.3604938004726,""01606500"":8.968162418828415}","{""01605500"":8.559305479902475,""01606000"":18.424667090696204,""01606500"":30.555284726147907}",0.12783881522571253,46.93610439996701,,2026-09-04T06:57:27.186163+00:00
DDS_SOFT_AI_20260906,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260906,1,DDS_SOFT_AI_20260906-0001,DONE,"[-4.572128295898439,0.31941384077072144,77.9794921875,0.5072227716445923,0.5018150210380554,1.08740234375,0.4848923683166504,1.0630097389221191,0.10975213348865509,0.22186732292175296,11.386322975158691,0.1549385190010071,242.81002807617188,0.999804675579071]","[0.5142623901367187,0.31941384077072144,0.431640625,0.5072227716445923,0.5018150210380554,0.718505859375,0.4848923683166504,0.5068472310116416,0.4986229638258615,0.5535521877738169,0.473332900841699,0.5148445451538699,0.4856200458647446,0.6660155852635699]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260906\evaluation_0001.npy,0.16777877357810256,0.24260348969809065,0.24441189877489067,0.21826472068369462,0.16777877357810256,0.16866236071279295,0.2265905302695186,0.20155411373978505,36.16410637288171,14.611440658462321,0.2811493523200402,8.089223278916927,17.375114671520485,29.099751778946253,"{""01605500"":0.16777877357810256,""01606000"":0.24260348969809065,""01606500"":0.24441189877489067}","{""01605500"":0.16866236071279295,""01606000"":0.2265905302695186,""01606500"":0.20155411373978505}","{""01605500"":36.16410637288171,""01606000"":14.611440658462321,""01606500"":0.2811493523200402}","{""01605500"":8.089223278916927,""01606000"":17.375114671520485,""01606500"":29.099751778946253}",0.21826472068369462,49.18116239999654,,2026-09-04T06:57:29.440816+00:00
DDS_SOFT_AI_20260908,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260908,1,DDS_SOFT_AI_20260908-0001,DONE,"[-4.572128295898439,0.31941384077072144,77.9794921875,0.5072227716445923,0.5018150210380554,1.08740234375,0.4848923683166504,1.0630097389221191,0.10975213348865509,0.22186732292175296,11.386322975158691,0.1549385190010071,242.81002807617188,0.999804675579071]","[0.5142623901367187,0.31941384077072144,0.431640625,0.5072227716445923,0.5018150210380554,0.718505859375,0.4848923683166504,0.5068472310116416,0.4986229638258615,0.5535521877738169,0.473332900841699,0.5148445451538699,0.4856200458647446,0.6660155852635699]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260908\evaluation_0001.npy,0.16777877357810256,0.24260348969809065,0.24441189877489067,0.21826472068369462,0.16777877357810256,0.16866236071279295,0.2265905302695186,0.20155411373978505,36.16410637288171,14.611440658462321,0.2811493523200402,8.089223278916927,17.375114671520485,29.099751778946253,"{""01605500"":0.16777877357810256,""01606000"":0.24260348969809065,""01606500"":0.24441189877489067}","{""01605500"":0.16866236071279295,""01606000"":0.2265905302695186,""01606500"":0.20155411373978505}","{""01605500"":36.16410637288171,""01606000"":14.611440658462321,""01606500"":0.2811493523200402}","{""01605500"":8.089223278916927,""01606000"":17.375114671520485,""01606500"":29.099751778946253}",0.21826472068369462,49.2504137000069,,2026-09-04T06:57:29.517739+00:00
DDS_GLOBAL_20260906,DDS,GLOBAL,GLOBAL,DDS_GLOBAL,20260906,1,DDS_GLOBAL_20260906-0001,DONE,"[4.3782506739534846,0.449183383215922,130.70395537299794,0.7922705116883103,0.25764501335165757,1.1776055844403106,0.20323254990229667,0.9825474171075846,0.17993782878973802,0.22233768687503952,4.885447498109519,0.07661965808707662,138.2113671462571,0.9059967600635782]","[0.8126083557984495,0.449183383215922,0.7253702249192086,0.7922705116883103,0.25764501335165757,0.9440139611007763,0.20323254990229667,0.4644986405829393,0.8885434932763223,0.5547310447995978,0.20189759908599247,0.25290855547517266,0.27642271982096855,0.35332253354526044]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_GLOBAL_20260906\evaluation_0001.npy,0.09921490152217938,0.17112467713882917,0.16923101369768634,0.14652353078623162,0.09921490152217938,0.02989812286037885,0.10959572690084585,0.08573946195196835,37.730340907001484,15.486132619191464,1.0183275181001814,8.415850756077901,18.176515647708907,30.513137570102177,"{""01605500"":0.09921490152217938,""01606000"":0.17112467713882917,""01606500"":0.16923101369768634}","{""01605500"":0.02989812286037885,""01606000"":0.10959572690084585,""01606500"":0.08573946195196835}","{""01605500"":37.730340907001484,""01606000"":15.486132619191464,""01606500"":1.0183275181001814}","{""01605500"":8.415850756077901,""01606000"":18.176515647708907,""01606500"":30.513137570102177}",0.14652353078623162,49.34925369999837,,2026-09-04T06:57:29.602319+00:00
DDS_SOFT_AI_20260907,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260907,1,DDS_SOFT_AI_20260907-0001,DONE,"[-4.572128295898439,0.31941384077072144,77.9794921875,0.5072227716445923,0.5018150210380554,1.08740234375,0.4848923683166504,1.0630097389221191,0.10975213348865509,0.22186732292175296,11.386322975158691,0.1549385190010071,242.81002807617188,0.999804675579071]","[0.5142623901367187,0.31941384077072144,0.431640625,0.5072227716445923,0.5018150210380554,0.718505859375,0.4848923683166504,0.5068472310116416,0.4986229638258615,0.5535521877738169,0.473332900841699,0.5148445451538699,0.4856200458647446,0.6660155852635699]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260907\evaluation_0001.npy,0.16777877357810256,0.24260348969809065,0.24441189877489067,0.21826472068369462,0.16777877357810256,0.16866236071279295,0.2265905302695186,0.20155411373978505,36.16410637288171,14.611440658462321,0.2811493523200402,8.089223278916927,17.375114671520485,29.099751778946253,"{""01605500"":0.16777877357810256,""01606000"":0.24260348969809065,""01606500"":0.24441189877489067}","{""01605500"":0.16866236071279295,""01606000"":0.2265905302695186,""01606500"":0.20155411373978505}","{""01605500"":36.16410637288171,""01606000"":14.611440658462321,""01606500"":0.2811493523200402}","{""01605500"":8.089223278916927,""01606000"":17.375114671520485,""01606500"":29.099751778946253}",0.21826472068369462,49.36010230000829,,2026-09-04T06:57:29.626003+00:00
DDS_GLOBAL_20260908,DDS,GLOBAL,GLOBAL,DDS_GLOBAL,20260908,1,DDS_GLOBAL_20260908-0001,DONE,"[6.2448139510044065,0.648444929849704,137.12917117651662,0.40056569010808374,0.4093039087516217,0.8873663806950697,0.10664612291579256,1.155801728282723,0.13565853927360622,0.20758564806305535,6.843699670625704,0.15516034175944984,329.29805835409803,0.8851520245283544]","[0.8748271317001469,0.648444929849704,0.7611652990335187,0.40056569010808374,0.4093039087516217,0.21841595173767425,0.10664612291579256,0.5556851201488016,0.6425474404089234,0.5177585164487603,0.28366178165451794,0.51558642728913,0.6585961098801183,0.28384008176118114]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_GLOBAL_20260908\evaluation_0001.npy,0.0023669088140813033,0.09899830043807145,0.12991488362797765,0.0770933642933768,0.0023669088140813033,-0.08854495236856863,0.030596712405662974,0.04043464198127733,58.701010464568036,32.1683367388425,15.812610089630216,8.856718711527956,18.950856136061372,31.22680845003724,"{""01605500"":0.0023669088140813033,""01606000"":0.09899830043807145,""01606500"":0.12991488362797765}","{""01605500"":-0.08854495236856863,""01606000"":0.030596712405662974,""01606500"":0.04043464198127733}","{""01605500"":58.701010464568036,""01606000"":32.1683367388425,""01606500"":15.812610089630216}","{""01605500"":8.856718711527956,""01606000"":18.950856136061372,""01606500"":31.22680845003724}",0.0770933642933768,49.37210179999238,,2026-09-04T06:57:29.636150+00:00
DDS_GLOBAL_20260907,DDS,GLOBAL,GLOBAL,DDS_GLOBAL,20260907,2,DDS_GLOBAL_20260907-0002,DONE,"[-9.426456979302644,0.4937439493690896,150.39296926417964,0.22855378243987118,0.010665838258633153,0.9092899647661028,0.7027895229218578,1.2165287369070459,0.13529339987863756,0.3554450405277114,7.5671546104312055,0.07378275795340751,143.58119461529483,0.9765068837188748]","[0.3524514340232452,0.4937439493690896,0.83505832459153,0.22855378243987118,0.010665838258633153,0.273224911915257,0.7027895229218578,0.5876467036352873,0.6405188882146531,0.8883334349065449,0.3138686684939961,0.24342059516189804,0.2871623749738371,0.5883562790629161]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_GLOBAL_20260907\evaluation_0002.npy,0.059445600081191485,0.14964560291431928,0.17177836905056787,0.12695652401535953,0.059445600081191485,-0.056094427145105596,0.06451987900764578,0.07889697280798835,61.81813187476828,32.069551821886655,16.625181368333813,8.59962252115394,18.41051810444505,30.466321017858203,"{""01605500"":0.059445600081191485,""01606000"":0.14964560291431928,""01606500"":0.17177836905056787}","{""01605500"":-0.056094427145105596,""01606000"":0.06451987900764578,""01606500"":0.07889697280798835}","{""01605500"":61.81813187476828,""01606000"":32.069551821886655,""01606500"":16.625181368333813}","{""01605500"":8.59962252115394,""01606000"":18.41051810444505,""01606500"":30.466321017858203}",0.12783881522571253,43.45098650001455,,2026-09-04T06:58:10.655108+00:00
DDS_SOFT_AI_20260906,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260906,2,DDS_SOFT_AI_20260906-0002,DONE,"[1.4124672509082998,0.36008006577776597,104.72503305695913,0.6992400649228985,0.44688231967948056,1.180962167491916,0.3661938382955071,0.8774811766478482,0.14516995479924566,0.2658403915750812,4.281394222356668,0.1230357926628505,177.99001325016928,0.9588448511998945]","[0.71374890836361,0.36008006577776597,0.5806408526850091,0.6992400649228985,0.44688231967948056,0.9524054187297903,0.3661938382955071,0.40920061928834117,0.695388637773587,0.6637603798874215,0.17667616794808635,0.40814646375535285,0.3559800136199388,0.5294828373329814]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260906\evaluation_0002.npy,0.148735425980283,0.224363265111591,0.21154135976877575,0.19488001695354992,0.148735425980283,0.11026396343492684,0.1762600330115075,0.14232436523922276,31.72335056827142,11.12011678048847,-2.905911066900354,8.18125084656111,17.583090619330097,29.725980443349805,"{""01605500"":0.148735425980283,""01606000"":0.224363265111591,""01606500"":0.21154135976877575}","{""01605500"":0.11026396343492684,""01606000"":0.1762600330115075,""01606500"":0.14232436523922276}","{""01605500"":31.72335056827142,""01606000"":11.12011678048847,""01606500"":-2.905911066900354}","{""01605500"":8.18125084656111,""01606000"":17.583090619330097,""01606500"":29.725980443349805}",0.21826472068369462,46.414708099968266,,2026-09-04T06:58:15.877908+00:00
DDS_SOFT_AI_20260907,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260907,2,DDS_SOFT_AI_20260907-0002,DONE,"[-12.586307192779746,0.39580127050410846,86.1379521243645,0.4922398637223786,0.5414376480054631,0.9922200389499123,0.7561771890553475,1.183121947237987,0.12243379693456848,0.36635484582492156,6.628097394207291,0.16267809040955297,127.82106267639674,0.9468739307357655]","[0.24712309357400847,0.39580127050410846,0.47709165528893877,0.4922398637223786,0.5414376480054631,0.4805500973747808,0.7561771890553475,0.5700641827568352,0.5690766496364914,0.9156763053256178,0.2746595989230602,0.5407293993630534,0.2556421104656357,0.4895797691192183]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260907\evaluation_0002.npy,0.11793957619489603,0.1972004854880023,0.20420692804991936,0.17311566324427255,0.11793957619489603,0.08681696122345428,0.15855834529638668,0.14447285535054266,41.65981676639328,18.653644767297784,3.94702904563391,8.327921005167886,17.888321027226898,29.863919506585717,"{""01605500"":0.11793957619489603,""01606000"":0.1972004854880023,""01606500"":0.20420692804991936}","{""01605500"":0.08681696122345428,""01606000"":0.15855834529638668,""01606500"":0.14447285535054266}","{""01605500"":41.65981676639328,""01606000"":18.653644767297784,""01606500"":3.94702904563391}","{""01605500"":8.327921005167886,""01606000"":17.888321027226898,""01606500"":29.863919506585717}",0.21826472068369462,46.49420229997486,,2026-09-04T06:58:16.135339+00:00
DDS_SOFT_AI_20260908,DDS,SOFT_AI,SOFT_AI,DDS_SOFT_AI,20260908,2,DDS_SOFT_AI_20260908-0002,DONE,"[2.842878342456924,0.519814627428684,109.86825875698811,0.4459330540375579,0.558340923744458,0.9342254159364252,0.2994978852040551,0.9750642909750192,0.11653716688277801,0.25470056278599545,5.995017818092522,0.17785235756878318,309.09339950090055,0.9436783944585657]","[0.7614292780818974,0.519814627428684,0.6092939206517444,0.4459330540375579,0.558340923744458,0.33556353984106285,0.2994978852040551,0.460560153144747,0.5363175937932111,0.6358410094887104,0.2482262136990615,0.5914794567517833,0.6181867913655369,0.47892798152855226]",D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a5\qsim\DDS_SOFT_AI_20260908\evaluation_0002.npy,0.07670000813258371,0.1646409401381882,0.18156263714858467,0.14096786180645218,0.07670000813258371,0.011529603743615335,0.10891915357260962,0.10868050424418596,50.84412000082853,26.21650898031286,10.518168104522246,8.520377651177405,18.247468523240126,30.28582810357479,"{""01605500"":0.07670000813258371,""01606000"":0.1646409401381882,""01606500"":0.18156263714858467}","{""01605500"":0.011529603743615335,""01606000"":0.10891915357260962,""01606500"":0.10868050424418596}","{""01605500"":50.84412000082853,""01606000"":26.21650898031286,""01606500"":10.518168104522246}","{""01605500"":8.520377651177405,""01606000"":18.247468523240126,""01606500"":30.28582810357479}",0.21826472068369462,46.72426540002925,,2026-09-04T06:58:16.257629+00:00
