Guo_DTR_ge15_black_days,Guo_TMAX_ge35,MAE_C,POWER_DTR_ge15_same_black_days,POWER_TMAX_ge35,RMSE_C,bias_C,mean_Guo_C,mean_POWER_C,n,r,variable,year
,,1.373068390932456,,,1.901461359955557,-0.11394431792951884,31.3489245345295,31.462868852459014,122,0.954736063355341,TMAX,2019
,,5.1460203314357775,,,7.3124285311153505,-2.1290796995646772,15.917449226055158,18.046528925619835,121,0.3647026776644764,TMIN_ALL,2019
,,1.197401838278997,,,1.9781110057552107,-0.5377899749617518,17.483827672097075,18.021617647058825,68,0.9369458359215432,TMIN_BLACK_ONLY,2019
,,2.7528715416361718,,,3.805401424540943,-1.128195601706024,23.688787869368355,24.81698347107438,121,0.7754865808873658,TMEAN_ALL,2019
,,1.4237968698699197,,,2.2577313285810736,0.2845784535156542,13.35810786528036,13.073529411764707,68,0.6626629237393926,DTR_BLACK_ONLY,2019
14,38,,14,40,,,,,122,,EVENT_COUNTS,2019
,,1.3527487341242892,,,1.8391203476943823,-0.12034542840707402,31.533834899461777,31.65418032786885,122,0.9109505004148406,TMAX,2020
,,3.0543170146549956,,,4.8320300115068004,2.522697710895621,20.871623330730333,18.34892561983471,121,0.6386327178579126,TMIN_ALL,2020
,,0.8783566805931144,,,1.2279058020674583,0.16062539915689122,18.639462608459215,18.478837209302327,86,0.9429512564527117,TMIN_BLACK_ONLY,2020
,,1.7188737556883418,,,2.446391947253672,1.197566131635263,26.238681834114605,25.04111570247934,121,0.8427964957352427,TMEAN_ALL,2020
,,1.4142449220764775,,,1.8711120640725638,-0.12063606083214641,13.511108125214365,13.631744186046511,86,0.6566409892834751,DTR_BLACK_ONLY,2020
21,23,,26,31,,,,,122,,EVENT_COUNTS,2020
