year,date,TMIN_source,Guo_TMAX,POWER_TMAX,Guo_TMIN,POWER_TMIN,Guo_TMEAN,POWER_TMEAN,Guo_DTR,POWER_DTR
2019,2019-05-01,missing,17.893485178130597,16.39,,11.55,,13.97,,4.84
2019,2019-05-02,black_curve,21.30167196990012,23.78,10.485895518468247,10.59,15.893783744184184,17.185000000000002,10.815776451431873,13.190000000000001
2019,2019-05-03,mean_identity_fallback,24.014310436818725,25.32,16.77619473584911,9.52,20.395252586333918,17.42,7.238115700969615,15.8
2019,2019-05-04,mean_identity_fallback,22.13632995972123,17.54,6.585671823318982,9.77,14.361000891520106,13.655,15.550658136402248,7.77
2019,2019-05-05,mean_identity_fallback,18.867252832921885,19.3,15.335636637097345,7.77,17.101444735009615,13.535,3.5316161958245402,11.530000000000001
2019,2019-05-06,black_curve,19.701910822742995,20.0,9.19913111749404,7.67,14.450520970118518,13.835,10.502779705248955,12.33
2019,2019-05-07,black_curve,20.67567847753429,20.08,9.859902026102418,10.62,15.267790251818354,15.349999999999998,10.815776451431873,9.459999999999999
2019,2019-05-08,black_curve,23.944755604333636,24.91,11.737882503199913,12.58,17.841319053766775,18.745,12.206873101133723,12.33
2019,2019-05-09,black_curve,27.213832731132978,27.23,11.703105086957365,11.52,19.458468909045173,19.375,15.510727644175613,15.71
2019,2019-05-10,mean_identity_fallback,27.352942396103163,28.91,21.290002838527958,12.29,24.32147261731556,20.6,6.062939557575206,16.62
2019,2019-05-11,black_curve,23.110097614512526,21.26,4.678067005963037,8.5,13.894082310237781,14.88,18.43203060854949,12.760000000000002
2019,2019-05-12,mean_identity_fallback,24.98807809161002,25.35,17.64696483881481,7.84,21.317521465212415,16.595,7.3411132527952105,17.51
2019,2019-05-13,black_curve,26.240065076341686,27.36,9.373018198706774,10.37,17.80654163752423,18.865,16.867046877634913,16.990000000000002
2019,2019-05-14,mean_identity_fallback,24.848968426639836,21.09,9.406633227132893,9.43,17.127800826886364,15.26,15.442335199506942,11.66
2019,2019-05-15,mean_identity_fallback,24.08386526930382,26.84,19.499795930607014,8.76,21.791830599955418,17.8,4.584069338696807,18.08
2019,2019-05-16,mean_identity_fallback,17.54571101570513,14.22,-0.15441628274358976,6.16,8.69564736648077,10.190000000000001,17.70012729844872,8.06
2019,2019-05-17,black_curve,16.850162690854205,16.21,5.408392747056503,5.87,11.129277718955354,11.040000000000001,11.441769943797702,10.34
2019,2019-05-18,black_curve,19.145472162862255,19.78,3.8434090161419263,2.84,11.49444058950209,11.31,15.302063146720329,16.94
2019,2019-05-19,mean_identity_fallback,22.06677512723614,21.45,14.191460627938682,6.29,18.12911787758741,13.87,7.87531449929746,15.16
2019,2019-05-20,mean_identity_fallback,26.587839238767145,26.12,22.529421831876213,11.65,24.55863053532168,18.885,4.058417406890932,14.47
2019,2019-05-21,black_curve,31.80445167514908,33.26,14.241856472663244,14.98,23.023154073906163,24.119999999999997,17.562595202485834,18.279999999999998
2019,2019-05-22,mean_identity_fallback,27.422497228588256,30.78,26.016238134687967,16.24,26.71936768163811,23.509999999999998,1.4062590939002888,14.540000000000003
2019,2019-05-23,black_curve,21.093007472444846,19.07,9.616460112404596,10.98,15.354733792424721,15.025,11.47654736004025,8.09
2019,2019-05-24,mean_identity_fallback,22.69276861960197,23.01,0.44293451149069085,9.5,11.56785156554633,16.255000000000003,22.24983410811128,13.510000000000002
2019,2019-05-25,black_curve,25.474961919005665,25.63,10.520672934710795,8.52,17.99781742685823,17.075,14.95428898429487,17.11
2019,2019-05-26,mean_identity_fallback,27.0051682336777,27.65,26.117361039769854,14.07,26.561264636723777,20.86,0.8878071939078467,13.579999999999998
2019,2019-05-27,black_curve,24.91852325912493,26.34,13.372421066599586,14.17,19.14547216286226,20.255,11.546102192525346,12.17
