scenario,year,M0_RRMSE,H0TT_RRMSE,M15TT_RRMSE,H0TT_minus_M0_pp,M15TT_minus_M0_pp,M15TT_minus_H0TT_pp,M15TT_rel_improve_vs_M0_pct
RAW_N_OFF,2019,18.60926510807814,17.48787037569044,18.60926510807814,-1.1213947323876994,0.0,1.1213947323876994,0.0
RAW_N_OFF,2020,60.91062871193044,54.50508695646886,57.08992706885579,-6.405541755461584,-3.820701643074649,2.584840112386935,6.272635373941388
RAW_N_OFF,ALL8,44.826918692368466,40.29217864418587,42.26754009015438,-4.534740048182599,-2.559378602214089,1.9753614459685096,5.709468053733993
SRAD19P8_N_OFF,2019,11.738102169850933,11.50931522667275,11.358753931299505,-0.22878694317818216,-0.37934823855142774,-0.15056129537324558,3.2317680751303706
SRAD19P8_N_OFF,2020,33.5592368213739,36.464876115004756,33.70419879672154,2.9056392936308555,0.14496197534764121,-2.7606773182832143,-0.4319584981006327
SRAD19P8_N_OFF,ALL8,25.02985441070092,26.914715819032036,25.03766207059077,1.8848614083311155,0.007807659889849106,-1.8770537484412664,-0.031193389149363673
RAW_N129_STAGE,2019,58.640369360736074,59.041846275793546,58.63988769048191,0.4014769150574722,-0.00048167025416034903,-0.40195858531163253,0.0008213970331552205
RAW_N129_STAGE,2020,62.46152104752371,64.90177161432257,63.790213050214334,2.440250566798859,1.328692002690623,-1.1115585641082362,-2.127216853524413
RAW_N129_STAGE,ALL8,60.56066125221414,62.00925436366971,61.241360813727084,1.4485931114555726,0.6806995615129452,-0.7678935499426274,-1.1239962501037888
SRAD19P8_N129_STAGE,2019,53.22726399334312,54.62130298760928,54.37527790198752,1.394038994266161,1.1480139086444012,-0.24602508562175984,-2.156815553750758
SRAD19P8_N129_STAGE,2020,50.83606389721753,51.03409571668567,50.85050972058171,0.19803181946814163,0.014445823364184207,-0.18358599610395743,-0.028416486755133863
SRAD19P8_N129_STAGE,ALL8,52.05958256203817,52.879015157113436,52.66292738752184,0.8194325950752628,0.6033448254836671,-0.2160877695915957,-1.1589505635483637
SRAD19P8_N193_STAGE,2019,42.895478784553156,44.64163568723669,44.30590116449414,1.7461569026835377,1.4104223799409823,-0.33573452274255544,-3.2880443811455518
SRAD19P8_N193_STAGE,2020,41.71035802941697,41.89477323955088,41.49023334243756,0.18441521013390627,-0.22012468697941046,-0.4045398971133167,0.5277458582929535
SRAD19P8_N193_STAGE,ALL8,42.3143579460483,43.306028083961394,42.93757164780833,0.991670137913097,0.6232137017600365,-0.36845643615306045,-1.4728185230995285
