scenario,arm,year,treatment,obs,HWAM,error,abs_error,ARE_pct,ADAT,MDAT,SRADA,PRCP,NICM,NUCM
RAW_N129_STAGE,M0,2019,W2,10725,4762.0,-5963.0,5963.0,55.599067599067595,,,23.3,83.3,118,101
RAW_N129_STAGE,M0,2019,W3,12490,4700.0,-7790.0,7790.0,62.369895916733384,,,23.3,83.3,118,100
RAW_N129_STAGE,M0,2019,W4,12030,4668.0,-7362.0,7362.0,61.19700748129676,,,23.3,83.3,118,99
RAW_N129_STAGE,M0,2020,W1,9275,4246.0,-5029.0,5029.0,54.22102425876011,,,24.2,103.1,118,91
RAW_N129_STAGE,M0,2020,W2,11100,4235.0,-6865.0,6865.0,61.846846846846844,,,24.2,103.1,118,90
RAW_N129_STAGE,M0,2020,W3,12030,4218.0,-7812.0,7812.0,64.93765586034912,,,24.2,103.1,118,90
RAW_N129_STAGE,M0,2020,W4,11595,4153.0,-7442.0,7442.0,64.18283742992669,,,24.2,103.1,118,90
RAW_N129_STAGE,H0TT,2019,W1,9250,4758.0,-4492.0,4492.0,48.56216216216217,,,23.4,81.7,118,102
RAW_N129_STAGE,H0TT,2019,W2,10725,4716.0,-6009.0,6009.0,56.02797202797203,,,23.4,81.7,118,101
RAW_N129_STAGE,H0TT,2019,W3,12490,4655.0,-7835.0,7835.0,62.73018414731786,,,23.4,81.7,118,100
RAW_N129_STAGE,H0TT,2019,W4,12030,4623.0,-7407.0,7407.0,61.57107231920199,,,23.4,81.7,118,99
RAW_N129_STAGE,H0TT,2020,W1,9275,4003.0,-5272.0,5272.0,56.840970350404305,,,24.2,103.1,118,91
RAW_N129_STAGE,H0TT,2020,W2,11100,3937.0,-7163.0,7163.0,64.53153153153153,,,24.2,103.1,118,91
RAW_N129_STAGE,H0TT,2020,W3,12030,3920.0,-8110.0,8110.0,67.41479634247715,,,24.2,103.1,118,90
RAW_N129_STAGE,H0TT,2020,W4,11595,3914.0,-7681.0,7681.0,66.244070720138,,,24.2,103.1,118,89
RAW_N129_STAGE,M15TT,2019,W1,9250,4805.0,-4445.0,4445.0,48.05405405405405,,,23.4,81.7,118,102
RAW_N129_STAGE,M15TT,2019,W2,10725,4761.0,-5964.0,5964.0,55.60839160839161,,,23.4,81.7,118,101
RAW_N129_STAGE,M15TT,2019,W3,12490,4700.0,-7790.0,7790.0,62.369895916733384,,,23.4,81.7,118,100
RAW_N129_STAGE,M15TT,2019,W4,12030,4669.0,-7361.0,7361.0,61.18869492934331,,,23.4,81.7,118,99
RAW_N129_STAGE,M15TT,2020,W1,9275,4079.0,-5196.0,5196.0,56.02156334231806,,,24.2,103.1,118,91
RAW_N129_STAGE,M15TT,2020,W2,11100,4071.0,-7029.0,7029.0,63.32432432432432,,,24.2,103.1,118,90
RAW_N129_STAGE,M15TT,2020,W3,12030,4054.0,-7976.0,7976.0,66.30091438071489,,,24.2,103.1,118,90
RAW_N129_STAGE,M15TT,2020,W4,11595,4050.0,-7545.0,7545.0,65.07115135834411,,,24.2,103.1,118,89
SRAD19P8_N129_STAGE,M0,2019,W1,9250,5376.0,-3874.0,3874.0,41.88108108108108,,,19.9,81.7,118,102
SRAD19P8_N129_STAGE,M0,2019,W2,10725,5355.0,-5370.0,5370.0,50.06993006993007,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,M0,2019,W3,12490,5332.0,-7158.0,7158.0,57.30984787830265,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,M0,2019,W4,12030,5311.0,-6719.0,6719.0,55.852036575228595,,,19.9,81.7,118,100
SRAD19P8_N129_STAGE,M0,2020,W1,9275,5539.0,-3736.0,3736.0,40.28032345013477,,,19.8,105.3,118,93
SRAD19P8_N129_STAGE,M0,2020,W2,11100,5521.0,-5579.0,5579.0,50.26126126126126,,,19.8,105.3,118,92
SRAD19P8_N129_STAGE,M0,2020,W3,12030,5500.0,-6530.0,6530.0,54.2809642560266,,,19.8,105.3,118,91
SRAD19P8_N129_STAGE,M0,2020,W4,11595,5483.0,-6112.0,6112.0,52.71237602414834,,,19.8,105.3,118,90
SRAD19P8_N129_STAGE,H0TT,2019,W1,9250,5215.0,-4035.0,4035.0,43.62162162162162,,,19.9,81.7,118,102
SRAD19P8_N129_STAGE,H0TT,2019,W2,10725,5196.0,-5529.0,5529.0,51.55244755244755,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,H0TT,2019,W3,12490,5174.0,-7316.0,7316.0,58.57485988791032,,,19.9,81.7,118,101
SRAD19P8_N129_STAGE,H0TT,2019,W4,12030,5153.0,-6877.0,6877.0,57.16541978387365,,,19.9,81.7,118,100
SRAD19P8_N129_STAGE,H0TT,2020,W1,9275,5516.0,-3759.0,3759.0,40.52830188679245,,,19.8,104.7,118,93
SRAD19P8_N129_STAGE,H0TT,2020,W2,11100,5499.0,-5601.0,5601.0,50.45945945945945,,,19.8,104.7,118,92
SRAD19P8_N129_STAGE,H0TT,2020,W3,12030,5477.0,-6553.0,6553.0,54.472152950955945,,,19.8,104.7,118,91
SRAD19P8_N129_STAGE,H0TT,2020,W4,11595,5462.0,-6133.0,6133.0,52.89348857266063,,,19.8,104.7,118,90
