date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-01-01,13.85,13.85,0.0,32.42,32.42,0.0,44.53,44.53,0.0
2003-01-02,12.59,12.59,0.0,30.98,30.98,0.0,42.67,42.67,0.0
2003-01-03,12.41,12.41,0.0,24.16,24.16,0.0,35.99,35.99,0.0
2003-01-04,11.26,11.26,0.0,21.52,21.52,0.0,32.29,32.29,0.0
2003-01-05,10.78,10.78,0.0,20.49,20.49,0.0,31.27,31.27,0.0
2003-01-06,11.38,11.38,0.0,21.7,21.7,0.0,32.61,32.61,0.0
2003-01-07,11.43,11.43,0.0,21.77,21.77,0.0,32.66,32.66,0.0
2003-01-08,11.22,11.22,0.0,21.37,21.37,0.0,32.01,32.01,0.0
2003-01-09,10.57,10.57,0.0,21.11,21.11,0.0,31.52,31.52,0.0
2003-01-10,11.01,11.01,0.0,21.46,21.46,0.0,32.04,32.04,0.0
2003-01-11,11.01,11.01,0.0,21.27,21.27,0.0,31.81,31.81,0.0
2003-01-12,10.75,10.75,0.0,21.17,21.17,0.0,31.45,31.45,0.0
2003-01-13,10.35,10.35,0.0,20.38,20.38,0.0,30.41,30.41,0.0
2003-01-14,10.43,10.43,0.0,20.06,20.06,0.0,30.25,30.25,0.0
2003-01-15,10.47,10.47,0.0,20.16,20.16,0.0,30.09,30.09,0.0
2003-01-16,10.49,10.49,0.0,20.33,20.33,0.0,30.41,30.41,0.0
2003-01-17,9.975,9.975,0.0,19.52,19.52,0.0,29.14,29.14,0.0
2003-01-18,9.859,9.859,0.0,18.86,18.86,0.0,28.41,28.41,0.0
2003-01-19,10.05,10.05,0.0,19.17,19.17,0.0,28.8,28.8,0.0
2003-01-20,10.02,10.02,0.0,19.09,19.09,0.0,28.73,28.73,0.0
2003-01-21,9.749,9.749,0.0,18.46,18.46,0.0,27.77,27.77,0.0
