date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-03-14,15.73,15.73,0.0,31.17,31.17,0.0,46.0,46.0,0.0
2003-03-15,15.73,15.73,0.0,32.42,32.42,0.0,46.5,46.5,0.0
2003-03-16,15.55,15.55,0.0,33.0,33.0,0.0,47.46,47.46,0.0
2003-03-17,13.32,13.32,0.0,30.17,30.17,0.0,43.74,43.74,0.0
2003-03-18,13.86,13.86,0.0,30.81,30.81,0.0,44.61,44.61,0.0
2003-03-19,15.66,15.66,0.0,26.44,26.44,0.0,42.07,42.07,0.0
2003-03-20,22.63,22.63,0.0,36.46,36.46,0.0,57.8,57.8,0.0
2003-03-21,18.19,18.19,0.0,33.99,33.99,0.0,52.56,52.56,0.0
2003-03-22,17.88,17.88,0.0,34.02,34.02,0.0,51.99,51.99,0.0
2003-03-23,16.21,16.21,0.0,34.01,34.01,0.0,51.01,51.01,0.0
2003-03-24,14.64,14.64,0.0,33.66,33.66,0.0,49.15,49.15,0.0
2003-03-25,15.39,15.39,0.0,31.11,31.11,0.0,45.11,45.11,0.0
2003-03-26,15.8,15.8,0.0,31.57,31.57,0.0,46.64,46.64,0.0
2003-03-27,14.09,14.09,0.0,29.11,29.11,0.0,43.58,43.58,0.0
2003-03-28,14.68,14.68,0.0,25.34,25.34,0.0,40.15,40.15,0.0
2003-03-29,16.47,16.47,0.0,29.38,29.38,0.0,46.12,46.12,0.0
2003-03-30,17.05,17.05,0.0,30.69,30.69,0.0,47.68,47.68,0.0
2003-03-31,19.77,19.77,0.0,32.79,32.79,0.0,51.0,51.0,0.0
2003-04-01,16.54,16.54,0.0,32.6,32.6,0.0,49.05,49.05,0.0
2003-04-02,14.22,14.22,0.0,32.18,32.18,0.0,46.82,46.82,0.0
2003-04-03,14.17,14.17,0.0,31.78,31.78,0.0,45.59,45.59,0.0
2003-04-04,14.79,14.79,0.0,30.35,30.35,0.0,44.33,44.33,0.0
2003-04-05,14.22,14.22,0.0,30.49,30.49,0.0,44.51,44.51,0.0
2003-04-06,18.96,18.96,0.0,36.4,36.4,0.0,54.9,54.9,0.0
2003-04-07,22.5,22.5,0.0,38.54,38.54,0.0,59.31,59.31,0.0
2003-04-08,21.74,21.74,0.0,39.64,39.64,0.0,60.85,60.85,0.0
2003-04-09,21.1,21.1,0.0,35.24,35.24,0.0,56.11,56.11,0.0
