case_index,candidate_id,runner,gauge,nse,kge,r2,pbias,rmse,mae,N,min_nse,mean_nse,mean_kge,mean_abs_pbias,bias_excess,fitness
1,DEEPCAL5K-SOBOL-0001,legacy_direct,01605500,0.07830614992390428,0.06899879126863351,0.247985305718068,-65.34238503841631,8.5129634842295,5.562713201596831,5114,0.07830614992390428,0.1823294916621051,0.17419829058418837,40.175880702054435,1.6783920468036293,0.019985822964377176
1,DEEPCAL5K-SOBOL-0001,legacy_direct,01606000,0.21572546364116463,0.21724626073247355,0.2709372644384372,-35.51344156439753,17.680725676206762,11.471683916416215,5114,0.07830614992390428,0.1823294916621051,0.17419829058418837,40.175880702054435,1.6783920468036293,0.019985822964377176
1,DEEPCAL5K-SOBOL-0001,legacy_direct,01606500,0.2529568614212464,0.23634981975145808,0.2798769540576598,-19.671815503349475,28.934739029663874,16.250963788010097,5114,0.07830614992390428,0.1823294916621051,0.17419829058418837,40.175880702054435,1.6783920468036293,0.019985822964377176
2,DEEPCAL5K-SOBOL-1500,legacy_direct,01605500,0.20410741611402183,0.2518188016147528,0.31298622093062817,-50.31840717517442,7.910695258906254,4.631721563235287,5114,0.20410741611402183,0.3121385718332658,0.3305436736747967,28.72918613576425,1.0166278759443157,0.1812040663386936
2,DEEPCAL5K-SOBOL-1500,legacy_direct,01606000,0.36443456184791156,0.3717416767399787,0.39726846816996847,-25.429847242319784,15.916448369182602,9.577533973228523,5114,0.20410741611402183,0.3121385718332658,0.3305436736747967,28.72918613576425,1.0166278759443157,0.1812040663386936
2,DEEPCAL5K-SOBOL-1500,legacy_direct,01606500,0.367873737537864,0.36807054266965855,0.3864821841940097,-10.439303989798551,26.616359027719238,13.384947171804559,5114,0.20410741611402183,0.3121385718332658,0.3305436736747967,28.72918613576425,1.0166278759443157,0.1812040663386936
3,DEEPCAL5K-SOBOL-3000,legacy_direct,01605500,0.02915824642525766,-0.018628339488388157,0.1392675916678102,-53.2250435828982,8.736986178511637,5.563469496575069,5114,0.02915824642525766,0.10495443034164413,0.05089224614079894,31.448394733222,1.150995209993809,-0.012145577305378429
3,DEEPCAL5K-SOBOL-3000,legacy_direct,01606000,0.12827921974554313,0.0801914071809866,0.16608507707343773,-28.5697408668232,18.640378561824154,12.0477526585478,5114,0.02915824642525766,0.10495443034164413,0.05089224614079894,31.448394733222,1.150995209993809,-0.012145577305378429
3,DEEPCAL5K-SOBOL-3000,legacy_direct,01606500,0.1574258248541316,0.09111367072979837,0.17621641435840632,-12.550399749944594,30.729167947359176,17.27606587805867,5114,0.02915824642525766,0.10495443034164413,0.05089224614079894,31.448394733222,1.150995209993809,-0.012145577305378429
4,DEEPCAL5K-SOBOL-4500,legacy_direct,01605500,0.085707659257652,0.06591772377026495,0.15051551447535275,-40.57342198115315,8.47871361670188,5.027247284415695,5114,0.085707659257652,0.1456886716123432,0.11272639318151594,20.257374637332585,0.6194510320809116,0.06808224682073785
4,DEEPCAL5K-SOBOL-4500,legacy_direct,01606000,0.1706266108471437,0.14418536716865094,0.18569650508121877,-17.301874462487866,18.18197586582105,11.048770738583242,5114,0.085707659257652,0.1456886716123432,0.11272639318151594,20.257374637332585,0.6194510320809116,0.06808224682073785
4,DEEPCAL5K-SOBOL-4500,legacy_direct,01606500,0.18073174473223386,0.1280760886056319,0.19199554355743206,-2.8968274683567317,30.30119754360898,15.954108857782932,5114,0.085707659257652,0.1456886716123432,0.11272639318151594,20.257374637332585,0.6194510320809116,0.06808224682073785
