date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-01-01,13.84,13.84,0.0,35.46,35.46,0.0,47.9,47.9,0.0
2003-01-02,12.56,12.56,0.0,28.66,28.66,0.0,40.31,40.31,0.0
2003-01-03,12.26,12.26,0.0,22.15,22.15,0.0,33.99,33.99,0.0
2003-01-04,12.05,12.05,0.0,21.21,21.21,0.0,32.41,32.41,0.0
2003-01-05,10.33,10.33,0.0,20.29,20.29,0.0,30.49,30.49,0.0
2003-01-06,11.11,11.11,0.0,20.56,20.56,0.0,31.17,31.17,0.0
2003-01-07,11.33,11.33,0.0,20.55,20.55,0.0,31.27,31.27,0.0
2003-01-08,11.66,11.66,0.0,20.3,20.3,0.0,31.34,31.34,0.0
2003-01-09,10.23,10.23,0.0,21.42,21.42,0.0,31.21,31.21,0.0
2003-01-10,10.76,10.76,0.0,20.52,20.52,0.0,30.85,30.85,0.0
2003-01-11,10.86,10.86,0.0,20.63,20.63,0.0,30.96,30.96,0.0
2003-01-12,10.68,10.68,0.0,19.18,19.18,0.0,29.26,29.26,0.0
2003-01-13,9.823,9.823,0.0,19.52,19.52,0.0,29.01,29.01,0.0
2003-01-14,10.24,10.24,0.0,19.31,19.31,0.0,29.07,29.07,0.0
2003-01-15,10.3,10.3,0.0,19.25,19.25,0.0,28.89,28.89,0.0
2003-01-16,10.19,10.19,0.0,18.73,18.73,0.0,28.46,28.46,0.0
2003-01-17,9.871,9.871,0.0,17.67,17.67,0.0,27.19,27.19,0.0
2003-01-18,9.511,9.511,0.0,17.86,17.86,0.0,26.88,26.88,0.0
2003-01-19,9.748,9.748,0.0,18.19,18.19,0.0,27.51,27.51,0.0
2003-01-20,9.644,9.644,0.0,17.67,17.67,0.0,26.84,26.84,0.0
2003-01-21,9.363,9.363,0.0,17.18,17.18,0.0,26.12,26.12,0.0
2003-01-22,9.124,9.124,0.0,17.27,17.27,0.0,26.03,26.03,0.0
2003-01-23,9.322,9.322,0.0,17.15,17.15,0.0,26.07,26.07,0.0
2003-01-24,9.222,9.222,0.0,16.59,16.59,0.0,25.22,25.22,0.0
2003-01-25,9.068,9.068,0.0,16.13,16.13,0.0,24.69,24.69,0.0
2003-01-26,8.903,8.903,0.0,16.23,16.23,0.0,24.81,24.81,0.0
2003-01-27,8.553,8.553,0.0,16.07,16.07,0.0,24.16,24.16,0.0
2003-01-28,8.675,8.675,0.0,15.94,15.94,0.0,24.16,24.16,0.0
2003-01-29,8.817,8.817,0.0,15.98,15.98,0.0,24.34,24.34,0.0
2003-01-30,8.479,8.479,0.0,15.35,15.35,0.0,23.38,23.38,0.0
2003-01-31,8.383,8.383,0.0,15.77,15.77,0.0,23.58,23.58,0.0
2003-02-01,8.426,8.426,0.0,15.81,15.81,0.0,23.73,23.73,0.0
2003-02-02,8.194,8.194,0.0,16.52,16.52,0.0,24.34,24.34,0.0
2003-02-03,8.693,8.693,0.0,27.94,27.94,0.0,36.45,36.45,0.0
2003-02-04,8.357,8.357,0.0,18.35,18.35,0.0,26.27,26.27,0.0
2003-02-05,7.822,7.822,0.0,15.6,15.6,0.0,22.94,22.94,0.0
2003-02-06,7.799,7.799,0.0,15.74,15.74,0.0,23.25,23.25,0.0
2003-02-07,7.766,7.766,0.0,15.67,15.67,0.0,23.14,23.14,0.0
2003-02-08,7.68,7.68,0.0,14.56,14.56,0.0,21.74,21.74,0.0
2003-02-09,7.49,7.49,0.0,14.13,14.13,0.0,21.16,21.16,0.0
2003-02-10,7.376,7.376,0.0,14.62,14.62,0.0,21.75,21.75,0.0
