date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-01-01,17.18,17.18,0.0,41.46,41.46,0.0,57.78,57.78,0.0
2003-01-02,18.29,18.29,0.0,37.36,37.36,0.0,54.71,54.71,0.0
2003-01-03,19.47,19.47,0.0,33.67,33.67,0.0,52.37,52.37,0.0
2003-01-04,19.38,19.38,0.0,32.12,32.12,0.0,50.62,50.62,0.0
2003-01-05,15.71,15.71,0.0,28.14,28.14,0.0,42.69,42.69,0.0
2003-01-06,13.99,13.99,0.0,22.73,22.73,0.0,36.33,36.33,0.0
2003-01-07,15.12,15.12,0.0,22.71,22.71,0.0,37.05,37.05,0.0
2003-01-08,16.41,16.41,0.0,25.79,25.79,0.0,41.35,41.35,0.0
2003-01-09,15.51,15.51,0.0,27.91,27.91,0.0,42.73,42.73,0.0
2003-01-10,13.59,13.59,0.0,26.88,26.88,0.0,39.17,39.17,0.0
2003-01-11,12.65,12.65,0.0,20.26,20.26,0.0,32.31,32.31,0.0
2003-01-12,12.58,12.58,0.0,20.04,20.04,0.0,32.15,32.15,0.0
2003-01-13,12.7,12.7,0.0,21.47,21.47,0.0,33.57,33.57,0.0
2003-01-14,12.04,12.04,0.0,21.98,21.98,0.0,33.33,33.33,0.0
2003-01-15,11.49,11.49,0.0,20.39,20.39,0.0,30.8,30.8,0.0
2003-01-16,10.53,10.53,0.0,17.7,17.7,0.0,27.86,27.86,0.0
2003-01-17,10.7,10.7,0.0,17.01,17.01,0.0,27.16,27.16,0.0
2003-01-18,10.6,10.6,0.0,16.62,16.62,0.0,26.58,26.58,0.0
2003-01-19,10.02,10.02,0.0,16.82,16.82,0.0,26.33,26.33,0.0
2003-01-20,9.724,9.724,0.0,15.95,15.95,0.0,24.74,24.74,0.0
2003-01-21,9.014,9.014,0.0,14.21,14.21,0.0,22.64,22.64,0.0
2003-01-22,8.823,8.823,0.0,14.26,14.26,0.0,22.64,22.64,0.0
2003-01-23,8.849,8.849,0.0,14.12,14.12,0.0,22.55,22.55,0.0
2003-01-24,8.57,8.57,0.0,13.6,13.6,0.0,21.4,21.4,0.0
2003-01-25,7.882,7.882,0.0,12.72,12.72,0.0,20.04,20.04,0.0
2003-01-26,7.54,7.54,0.0,12.29,12.29,0.0,19.35,19.35,0.0
2003-01-27,7.495,7.495,0.0,11.58,11.58,0.0,18.49,18.49,0.0
2003-01-28,7.211,7.211,0.0,11.47,11.47,0.0,18.24,18.24,0.0
2003-01-29,7.483,7.483,0.0,11.76,11.76,0.0,18.69,18.69,0.0
2003-01-30,6.88,6.88,0.0,11.07,11.07,0.0,17.34,17.34,0.0
2003-01-31,6.158,6.158,0.0,11.17,11.17,0.0,17.03,17.03,0.0
2003-02-01,6.728,6.728,0.0,11.12,11.12,0.0,17.11,17.11,0.0
2003-02-02,6.398,6.398,0.0,11.75,11.75,0.0,17.68,17.68,0.0
2003-02-03,6.692,6.692,0.0,24.55,24.55,0.0,31.18,31.18,0.0
2003-02-04,6.341,6.341,0.0,16.4,16.4,0.0,22.25,22.25,0.0
2003-02-05,5.877,5.877,0.0,13.22,13.22,0.0,18.52,18.52,0.0
2003-02-06,5.317,5.317,0.0,12.34,12.34,0.0,17.5,17.5,0.0
2003-02-07,5.2,5.2,0.0,11.55,11.55,0.0,16.43,16.43,0.0
2003-02-08,4.982,4.982,0.0,10.04,10.04,0.0,14.66,14.66,0.0
2003-02-09,4.986,4.986,0.0,9.11,9.11,0.0,13.64,13.64,0.0
2003-02-10,5.007,5.007,0.0,9.7,9.7,0.0,14.41,14.41,0.0
2003-02-11,4.573,4.573,0.0,9.561,9.561,0.0,13.87,13.87,0.0
2003-02-12,4.275,4.275,0.0,8.362,8.362,0.0,12.28,12.28,0.0
2003-02-13,4.305,4.305,0.0,8.218,8.218,0.0,12.15,12.15,0.0
2003-02-14,4.316,4.316,0.0,8.387,8.387,0.0,12.71,12.71,0.0
2003-02-15,4.435,4.435,0.0,8.915,8.915,0.0,13.43,13.43,0.0
2003-02-16,4.858,4.858,0.0,10.2,10.2,0.0,15.76,15.76,0.0
2003-02-17,3.692,3.692,0.0,7.608,7.608,0.0,11.21,11.21,0.0
2003-02-18,3.548,3.548,0.0,7.061,7.061,0.0,10.29,10.29,0.0
2003-02-19,7.455,7.455,0.0,11.07,11.07,0.0,18.92,18.92,0.0
2003-02-20,7.034,7.034,0.0,12.69,12.69,0.0,20.78,20.78,0.0
2003-02-21,26.52,26.52,0.0,23.94,23.94,0.0,48.56,48.56,0.0
2003-02-22,40.2,40.2,0.0,90.83,90.83,0.0,131.4,131.4,0.0
2003-02-23,28.22,28.22,0.0,56.69,56.69,0.0,83.35,83.35,0.0
2003-02-24,21.18,21.18,0.0,33.07,33.07,0.0,52.58,52.58,0.0
2003-02-25,19.58,19.58,0.0,26.18,26.18,0.0,43.11,43.11,0.0
2003-02-26,18.42,18.42,0.0,24.18,24.18,0.0,39.99,39.99,0.0
2003-02-27,14.03,14.03,0.0,17.04,17.04,0.0,28.78,28.78,0.0
2003-02-28,15.17,15.17,0.0,17.48,17.48,0.0,30.41,30.41,0.0
2003-03-01,21.05,21.05,0.0,31.63,31.63,0.0,53.48,53.48,0.0
2003-03-02,18.16,18.16,0.0,43.13,43.13,0.0,62.93,62.93,0.0
2003-03-03,17.55,17.55,0.0,33.31,33.31,0.0,51.94,51.94,0.0
2003-03-04,18.52,18.52,0.0,39.54,39.54,0.0,57.84,57.84,0.0
2003-03-05,21.23,21.23,0.0,64.66,64.66,0.0,83.84,83.84,0.0
2003-03-06,21.69,21.69,0.0,72.83,72.83,0.0,93.68,93.68,0.0
2003-03-07,21.01,21.01,0.0,48.67,48.67,0.0,69.25,69.25,0.0
2003-03-08,18.09,18.09,0.0,41.77,41.77,0.0,61.67,61.67,0.0
