*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 30, 2026 03:50:10

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2001    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2001 MZ GUO2025 SHIHEZI 2020 W1
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2020 142    18    16    6.0      2   0.21     79     18      0     51     97     97      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    270.3   0.08   0.00   0.31    0.39    0.48    0.31    0.17    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 10.39
 2020 143    19    17    6.0      2   0.26    100     18      0     76    118    118      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    257.7   0.10   0.00   0.32    0.55    0.64    0.46    0.31    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 14.55
 2020 144    20    18    6.0      2   0.31    127     18      0     98    145    145      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    245.3   0.12   0.00   0.34    0.69    0.77    0.60    0.42    0.07    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.31
 2020 145    21    19    7.0      2   0.37    159     18      0    120    176    176      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    234.4   0.14   0.00   0.37    0.81    0.89    0.72    0.53    0.14    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.17
 2020 146    22    20    7.0      2   0.44    198     18      0    154    215    215      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    224.0   0.17   0.00   0.40    1.00    1.08    0.91    0.69    0.29    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.27
 2020 147    23    21    8.0      2   0.54    252     18      0    193    270    270      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    213.0   0.21   0.00   0.43    1.16    1.27    1.10    0.85    0.52    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 20.32
 2020 148    24    22    8.0      2   0.65    321     18      0    233    339    339      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    202.5   0.25   0.00   0.47    1.25    1.47    1.30    1.02    0.69    0.10    0.00    0.00    0.00    0.00      0      0      0       0       0 21.94
 2020 149    25    23    8.0      2   0.74    376     18      0    302    393    393      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    196.0   0.29   0.00   0.50    1.26    1.81    1.64    1.31    0.98    0.34    0.00    0.00    0.00    0.00      0      0      0       0       0 15.25
 2020 150    26    24    9.0      3   0.83    441     18      0    377    459    459      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    189.0   0.32   0.00   0.52    1.25    2.17    2.00    1.62    1.29    0.66    0.00    0.00    0.00    0.00      0      0      0       0       0 16.56
 2020 151    27    25    9.0      3   0.96    527     19      0    444    546    546      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   0.00   0.00   0.00      0      0    183.0   0.37   0.00   0.56    1.25    2.47    2.31    1.87    1.55    0.88    0.12    0.00    0.00    0.00      0      0      0       0       0 18.98
