*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 05:16:45

*RUN   1        : RAINFED LOW NITROGEN      MZCER048 UFGA8201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UFGA8201 MZ NIT X IRR, GAINESVILLE 2N*3I
 DATA PATH      :
 TREATMENT  1   : RAINFED LOW NITROGEN      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 1982 074    19    17    4.0      1   0.04     14     14      0     20     29     29      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.40   0.00   0.00      0      0    250.8   0.02   0.00   0.29    0.27    0.20    0.07    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.28
 1982 075    20    18    4.0      1   0.06     17     14      0     23     31     31      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   4.10   0.00   0.00      0      0    333.6   0.03   0.00   0.30    0.27    0.22    0.09    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 15.90
 1982 076    21    19    5.0      1   0.08     25     14      0     25     40     40      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.24   0.00   0.00      0      0    305.5   0.04   0.00   0.31    0.27    0.24    0.10    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 16.30
 1982 077    22    20    5.0      1   0.11     37     14      0     27     52     52      0    0.0  0.000      0      0  0.000  0.000  0.003  0.000  0.000  0.000  0.000   3.00   0.00   0.00      0      0    282.7   0.05   0.00   0.32    0.27    0.26    0.12    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.45
 1982 078    23    21    5.0      1   0.14     51     14      0     30     66     66      0    0.0  0.000      0      0  0.000  0.000  0.034  0.000  0.000  0.000  0.000   2.81   0.00   0.00      0      0    264.7   0.06   0.00   0.33    0.29    0.28    0.13    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       0 17.26
 1982 079    24    22    6.0      1   0.17     68     14      0     34     83     83      0    0.0  0.000      0      0  0.000  0.000  0.071  0.000  0.000  0.000  0.000   2.55   0.00   0.00      0      0    248.8   0.08   0.00   0.34    0.32    0.32    0.15    0.00    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 17.56
 1982 080    25    23    6.0      1   0.20     86     14      0     37    100    100      0    0.0  0.000      0      0  0.000  0.000  0.116  0.000  0.000  0.000  0.000   2.37   0.00   0.00      0      0    235.1   0.10   0.00   0.36    0.32    0.34    0.17    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 15.51
 1982 081    26    24    7.0      1   0.23    105     14      0     40    120    120      0    0.0  0.000      0      0  0.000  0.000  0.159  0.000  0.000  0.000  0.000   2.16   0.00   0.00      0      0    222.3   0.11   0.00   0.37    0.32    0.36    0.19    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 15.08
 1982 082    27    25    7.0      1   0.26    125     14      0     43    140    140      0    0.0  0.000      0      0  0.000  0.000  0.194  0.000  0.000  0.000  0.000   2.09   0.00   0.00      0      0    210.9   0.12   0.00   0.39    0.34    0.39    0.20    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 13.57
 1982 083    28    26    7.0      1   0.29    132     14      0     45    146    146      0    0.0  0.000      0      0  0.000  0.000  0.232  0.000  0.000  0.000  0.000   2.11   0.00   0.00      0      0    218.8   0.14   0.00   0.40    0.35    0.39    0.21    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 13.10
 1982 084    29    27    7.0      1   0.33    159     14      0     49    174    174      0    0.0  0.000      0      0  0.000  0.000  0.319  0.000  0.000  0.000  0.000   1.79   0.00   0.00      0      0    207.0   0.16   0.00   0.42    0.38    0.42    0.23    0.02    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 14.73
 1982 085    30    28    8.0      1   0.38    192     14      0     55    206    206      0    0.0  0.000      0      0  0.000  0.000  0.348  0.000  0.000  0.000  0.000   1.51   0.00   0.00      0      0    196.1   0.18   0.00   0.43    0.42    0.46    0.26    0.03    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 13.49
 1982 086    31    29    8.0      2   0.37    196     14      0     65    210    210      0    0.0  0.000      0      0  0.000  0.000  0.481  0.000  0.000  0.000  0.000   1.49   0.00   0.00      0      0    188.6   0.18   0.00   0.44    0.41    0.54    0.32    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2  6.65
 1982 087    32    30    8.0      2   0.36    198     14      0     66    212    212      0    0.0  0.000      0      0  0.000  0.000  0.600  0.000  0.000  0.000  0.000   1.57   0.00   0.00      0      0    180.6   0.18   0.00   0.44    0.42    0.55    0.32    0.06    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2  4.23
 1982 088    33    31    8.0      2   0.35    202     14      0     72    216    216      0    0.0  0.000      0      0  0.000  0.000  0.561  0.000  0.000  0.000  0.000   1.56   0.00   0.00      0      0    173.3   0.18   0.00   0.45    0.45    0.58    0.34    0.07    0.00    0.00    0.00    0.00    0.00      0      0      0       0       3  7.88
 1982 089    34    32    9.0      2   0.35    209     14      0     86    223    223      0    0.0  0.000      0      0  0.000  0.000  0.547  0.000  0.000  0.000  0.000   1.51   0.00   0.00      0      0    166.6   0.18   0.00   0.47    0.54    0.67    0.41    0.09    0.00    0.00    0.00    0.00    0.00      0      0      0       0       3 12.86
 1982 090    35    33    9.0      2   0.35    217     14      0     95    232    232      0    0.0  0.000      0      0  0.000  0.000  0.547  0.000  0.000  0.000  0.000   1.45   0.00   0.00      0      0    160.3   0.18   0.00   0.48    0.54    0.74    0.45    0.12    0.01    0.00    0.00    0.00    0.00      0      0      0       0       3 13.32
 1982 091    36    34    9.0      3   0.35    227     14      0    107    241    241      0    0.0  0.000      0      0  0.000  0.000  0.557  0.000  0.000  0.000  0.000   1.40   0.00   0.00      0      0    152.7   0.18   0.00   0.50    0.54    0.83    0.52    0.14    0.02    0.00    0.00    0.00    0.00      0      0      0       0       4 15.27
 1982 092    37    35   10.0      3   0.35    238     15      0    121    252    252      0    0.0  0.000      0      0  0.000  0.000  0.560  0.000  0.000  0.000  0.000   1.37   0.00   0.00      0      0    147.3   0.18   0.00   0.52    0.54    0.93    0.58    0.17    0.03    0.00    0.00    0.00    0.00      0      0      0       0       4 15.31
 1982 093    38    36   10.0      3   0.36    249     15      0    124    264    264      0    0.0  0.000      0      0  0.000  0.000  0.561  0.000  0.000  0.000  0.000   1.38   0.00   0.00      0      0    142.3   0.18   0.00   0.53    0.53    0.95    0.60    0.18    0.03    0.00    0.00    0.00    0.00      0      0      0       0       5 15.76
 1982 094    39    37   10.0      3   0.36    260     15      0    139    275    275      0    0.0  0.000      0      0  0.000  0.000  0.547  0.000  0.000  0.000  0.000   1.39   0.00   0.00      0      0    137.6   0.18   0.00   0.55    0.53    1.06    0.68    0.21    0.05    0.00    0.00    0.00    0.00      0      0      0       0       5 12.80
 1982 095    40    38   11.0      3   0.36    273     16      0    149    289    289      0    0.0  0.000      0      0  0.000  0.000  0.534  0.000  0.000  0.000  0.000   1.39   0.00   0.00      0      0    133.5   0.18   0.00   0.56    0.53    1.12    0.72    0.23    0.07    0.00    0.00    0.00    0.00      0      0      0       0       6 13.66
 1982 096    41    39   11.0      3   0.37    288     17      0    165    305    305      0    0.0  0.000      0      0  0.000  0.000  0.518  0.000  0.000  0.000  0.000   1.38   0.00   0.00      0      0    129.8   0.18   0.00   0.58    0.52    1.23    0.80    0.26    0.10    0.00    0.00    0.00    0.00      0      0      0       0       7 13.40
 1982 097    42    40   11.0      3   0.37    295     18      0    185    313    313      0    0.0  0.000      0      0  0.000  0.000  0.515  0.000  0.000  0.000  0.000   1.41   0.00   0.00      0      0    125.6   0.18   0.00   0.58    0.52    1.37    0.89    0.31    0.13    0.00    0.00    0.00    0.00      0      0      0       0       8  6.61
 1982 098    43    41   11.0      3   0.36    296     18      0    184    314    314      0    0.0  0.000      0      0  0.000  0.000  0.515  0.000  0.000  0.000  0.000   3.34   0.00   0.00      0      0    121.0   0.18   0.00   0.59    0.52    1.36    0.89    0.30    0.13    0.00    0.00    0.00    0.00      0      0      0       0       9  8.10
 1982 099    44    42   11.0      3   0.40    325     21      0    185    346    346      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.33   0.00   0.00      0      0    124.3   0.19   0.00   0.61    0.55    1.36    0.89    0.30    0.13    0.00    0.00    0.00    0.00      0      0      0       0       9 12.25
 1982 100    45    43   12.0      3   0.42    338     23      0    185    361    361      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.29   0.00   0.00      0      0    125.6   0.20   0.00   0.61    0.56    1.35    0.89    0.30    0.13    0.00    0.00    0.00    0.00      0      0      0       0      10  9.25
 1982 101    46    44   12.0      3   0.49    381     30      0    213    411    411      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.29   0.00   0.00      0      0    128.9   0.23   0.00   0.61    1.09    1.52    0.89    0.37    0.14    0.00    0.00    0.00    0.00      0      0      0       0      11  6.75
 1982 102    47    45   12.0      3   0.57    432     40      0    249    471    471      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.27   0.00   0.00      0      0    131.6   0.27   0.00   0.62    1.80    1.70    0.90    0.44    0.17    0.00    0.00    0.00    0.00      0      0      0       0      12  7.81
 1982 103    48    46   12.0      3   0.69    512     57      0    264    569    569      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.13   0.00   0.00      0      0    133.9   0.32   0.00   0.62    1.79    1.84    0.91    0.50    0.19    0.00    0.00    0.00    0.00      0      0      0       0      14 12.00
 1982 104    49    47   13.0      3   0.81    602     81      0    281    683    683      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.82   0.00   0.00      0      0    135.1   0.38   0.00   0.63    1.78    1.90    0.95    0.62    0.22    0.00    0.00    0.00    0.00      0      0      0       0      15 13.10
