*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                                                                                                                      Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                      0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   RL10D   CDAD   LDAD   SDAD   SNW0C   SNW1C  DTTD
 2020 142    18    16    6.0      2   0.23     84     18      0     68    102    102      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.31   0.00   0.00      0      0    266.9   0.09   0.00   0.31    0.60    0.49    0.54    0.26    0.01    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 10.48
 2020 143    19    17    6.0      2   0.27    106     18      0    101    124    124      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.11   0.00   0.00      0      0    254.5   0.11   0.00   0.33    1.28    0.58    0.66    0.38    0.05    0.00    0.00    0.00    0.00    0.00      0      0      0       0       1 15.02
 2020 144    20    18    6.0      2   0.33    135     18      0    132    153    153      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.78   0.00   0.00      0      0    242.3   0.13   0.00   0.34    1.88    0.66    0.76    0.49    0.12    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 16.67
 2020 145    21    19    7.0      2   0.39    168     18      0    164    186    186      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.75   0.00   0.00      0      0    231.5   0.15   0.00   0.37    2.49    0.72    0.85    0.58    0.25    0.00    0.00    0.00    0.00    0.00      0      0      0       0       2 16.45
 2020 146    22    20    7.0      2   0.46    210     18      0    212    227    227      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.72   0.00   0.00      0      0    221.3   0.18   0.00   0.41    3.38    0.79    0.95    0.70    0.51    0.00    0.00    0.00    0.00    0.00      0      0      0       0       3 17.63
 2020 147    23    21    8.0      2   0.56    267     18      0    267    285    285      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.70   0.00   0.00      0      0    210.4   0.22   0.00   0.44    4.00    0.83    1.02    0.82    0.79    0.14    0.00    0.00    0.00    0.00      0      0      0       0       4 20.70
 2020 148    24    22    8.0      2   0.68    339     18      0    326    357    357      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.67   0.00   0.00      0      0    200.2   0.26   0.00   0.48    4.00    0.87    1.06    0.89    1.14    0.75    0.00    0.00    0.00    0.00      0      0      0       0       6 22.04
 2020 149    25    23    9.0      3   0.77    396     18      0    421    414    414      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.54   0.00   0.00      0      0    193.2   0.30   0.00   0.50    3.98    0.97    1.17    0.98    1.27    2.24    0.00    0.00    0.00    0.00      0      0      0       0       7 15.57
 2020 150    26    24    9.0      3   0.88    467     19      0    522    485    485      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.26   0.00   0.00      0      0    187.6   0.34   0.00   0.53    3.96    1.09    1.29    1.09    1.37    3.09    0.75    0.00    0.00    0.00      0      0      0       0       9 17.06
 2020 151    27    25    9.0      3   1.01    558     21      0    614    579    579      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   3.08   0.00   0.00      0      0    181.6   0.39   0.00   0.56    3.94    1.19    1.38    1.17    1.45    3.32    2.02    0.00    0.00    0.00      0      0      0       0      12 19.48
 2020 152    28    26   10.0      3   1.17    664     27      0    717    690    690      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000  0.000  0.000  0.000   2.78   0.00   0.00      0      0    175.8   0.45   0.00   0.60    3.92    1.32    1.51    1.27    1.56    3.40    3.57    0.00    0.00    0.00      0      0      0       0      15 19.98
 2020 153    29    27   10.0      3   1.35    793     38      0    827    831    831      0    0.0  0.000      0      0  0.000  0.000  0.006  0.000  0.000  0.000  0.000   2.43   0.00   0.00      0      0    169.9   0.52   0.00   0.63    3.90    1.50    1.69    1.43    1.71    3.52    4.00    0.00    0.00    0.00      0      0      0       0      19 21.70
 2020 154    30    28   11.0      3   1.52    927     56      0    927    983    983      0    0.0  0.000      0      0  0.000  0.000  0.058  0.000  0.000  0.000  0.000   2.13   0.00   0.00      0      0    163.7   0.59   0.00   0.67    3.88    1.62    1.81    1.53    1.81    3.58    4.00    1.35    0.00    0.00      0      0      0       0      23 22.81
 2020 155    31    29   11.0      3   1.65   1046     78      0   1015   1125   1125      0    0.0  0.000      0      0  0.000  0.000  0.115  0.000  0.000  0.000  0.000   2.01   0.00   0.00      0      0    157.8   0.64   0.00   0.70    3.86    1.70    1.88    1.59    1.88    3.63    4.00    2.76    0.00    0.00      0      0      0       0      27 21.65
 2020 156    32    30   12.0      3   1.78   1175    111      0   1089   1285   1285      0    0.0  0.000      0      0  0.000  0.000  0.144  0.000  0.000  0.000  0.000   1.86   0.00   0.00      0      0    151.9   0.69   0.00   0.73    3.84    1.76    1.95    1.65    1.93    3.66    4.00    3.93    0.00    0.00      0      0      0       0      32 21.27
 2020 157    33    31   12.0      3   1.87   1276    142      0   1124   1419   1419      0    0.0  0.000      0      0  0.000  0.000  0.167  0.000  0.000  0.000  0.000   1.91   0.00   0.00      0      0    146.7   0.73   0.00   0.76    4.00    1.77    1.96    1.65    1.93    3.65    3.99    4.00    0.16    0.00      0      0      0       0      38 18.11
 2020 158    34    32   13.0      3   1.90   1330    161      0   1279   1492   1492      0    0.0  0.000      0      0  0.000  0.000  0.167  0.000  0.000  0.000  0.000   1.96   0.00   0.00      0      0    142.8   0.74   0.00   0.77    4.00    1.85    2.04    1.72    2.00    3.70    4.00    4.00    1.27    0.00      0      0      0       0      43  9.50
 2020 159    35    33   13.0      3   1.93   1393    186      0   1427   1579   1579      0    0.0  0.000      0      0  0.000  0.000  0.172  0.000  0.000  0.000  0.000   1.94   0.00   0.00      0      0    138.9   0.75   0.00   0.79    4.00    1.95    2.14    1.80    2.08    3.76    4.00    4.00    2.69    0.00      0      0      0       0      50 11.10
 2020 160    36    34   13.0      3   1.98   1464    217      0   1566   1681   1681      0    0.0  0.000      0      0  0.000  0.000  0.168  0.000  0.000  0.000  0.000   1.88   0.00   0.00      0      0    135.2   0.77   0.00   0.81    3.98    2.11    2.30    1.94    2.22    3.86    4.00    4.00    4.00    0.00      0      0      0       0      57 12.30
 2020 161    37    35   13.0      3   2.04   1551    261      0   1673   1812   1812      0    0.0  0.000      0      0  0.000  0.000  0.171  0.000  0.000  0.000  0.000   1.78   0.00   0.00      0      0    131.5   0.79   0.00   0.83    3.96    2.26    2.44    2.06    2.34    3.94    4.00    4.00    4.00    0.26      0      0      0       0      65 15.15
 2020 162    38    36   14.0      3   2.09   1636    309      0   1744   1945   1945      0    0.0  0.000      0      0  0.000  0.000  0.181  0.000  0.000  0.000  0.000   1.76   0.00   0.00      0      0    128.0   0.81   0.00   0.85    3.94    2.35    2.53    2.14    2.41    4.00    4.00    4.00    4.00    0.55      0      0      0       0      73 15.10
 2020 163    39    37   14.0      3   2.14   1718    362      0   1830   2080   2080      0    0.0  0.000      0      0  0.000  0.000  0.182  0.000  0.000  0.000  0.000   1.72   0.00   0.00      0      0    124.6   0.83   0.00   0.86    3.92    2.46    2.64    2.23    2.50    4.00    4.00    4.00    4.00    0.97      0      0      0       0      82 14.70
 2020 164    40    38   15.0      3   2.20   1813    432      0   1926   2245   2245      0    0.0  0.000      0      0  0.000  0.000  0.184  0.000  0.000  0.000  0.000   1.66   0.00   0.00      0      0    121.4   0.86   0.00   0.89    3.90    2.59    2.77    2.34    2.61    4.00    4.00    4.00    4.00    1.49      0      0      0       0      91 16.85
 2020 165    41    39   15.0      3   2.25   1905    509      0   1996   2414   2414      0    0.0  0.000      0      0  0.000  0.000  0.187  0.000  0.000  0.000  0.000   1.60   0.00   0.00      0      0    118.3   0.88   0.00   0.91    3.88    2.70    2.88    2.43    2.70    4.00    4.00    4.00    4.00    1.89      0      0      0       0     101 16.55
 2020 166    42    40   15.0      3   2.37   2059    630      0   2001   2689   2692      0    0.0  0.000      4      0  0.000  0.000  0.195  0.000  0.000  0.000  0.000   1.48   0.00   0.00      0      4    115.2   0.92   0.00   0.93    3.86    2.71    2.89    2.44    2.71    4.00    4.00    3.99    3.99    1.95      0      0      0       0     111 16.55
 2020 167    43    41   16.0      3   2.45   2187    807      0   2031   2993   3005      0    0.0  0.000     12      0  0.000  0.000  0.207  0.000  0.000  0.000  0.000   1.47   0.00   0.00      0     12    112.2   0.95   0.00   0.95    4.00    2.71    2.89    2.45    2.71    3.99    3.99    3.98    3.98    1.98      0      0      0       0     121 19.42
 2020 168    44    42   16.0      3   2.51   2290    991      0   2037   3281   3304      0    0.0  0.000     22      0  0.000  0.000  0.198  0.000  0.000  0.000  0.000   1.44   0.00   0.01      0     22    109.4   0.97   0.00   0.98    4.00    2.71    2.88    2.44    2.71    3.97    3.97    3.97    3.97    1.98      0      0      0       0     131 20.13
 2020 169    45    43   17.0      3   2.51   2350   1116      0   2038   3466   3495      0    0.0  0.000     29      0  0.000  0.000  0.204  0.000  0.000  0.000  0.000   1.41   0.00   0.01      0     29    106.7   0.97   0.00   1.00    4.00    2.70    2.88    2.43    2.70    3.96    3.96    3.95    3.95    1.99      0      0      0       0     141 20.38
 2020 170    46    44   17.0      3   2.51   2414   1254      0   2077   3668   3718      0    0.0  0.000     50      0  0.000  0.000  0.236  0.000  0.000  0.000  0.000   1.38   0.00   0.01      0     50    104.0   0.98   0.00   1.00    4.00    2.75    2.93    2.48    2.74    3.98    3.98    3.97    3.97    2.02      0      0      0       0     151 17.55
 2020 171    47    45   18.0      3   2.50   2466   1372      0   2086   3838   3908      0    0.0  0.000     70      0  0.000  0.000  0.243  0.000  0.000  0.000  0.000   1.35   0.00   0.02      0     70    101.3   0.98   0.00   1.00    4.00    2.78    2.96    2.50    2.77    4.00    4.00    3.97    3.97    2.03      0      0      0       0     162 15.45
 2020 172    48    46   18.0      3   2.49   2518   1481      0   2159   4000   4113      0    0.0  0.000    113      0  0.000  0.000  0.255  0.000  0.000  0.000  0.000   1.31   0.00   0.03      0    113     98.7   0.98   0.00   1.00    4.00    3.00    3.17    2.69    2.95    4.00    4.00    4.00    4.00    2.11      0      0      0       0     172 17.40
 2020 173    49    47   18.0      3   2.45   2553   1528      0   2276   4081   4251      0    0.0  0.000    170      0  0.000  0.000  0.267  0.000  0.000  0.000  0.000   1.30   0.00   0.04      0    170     96.1   0.98   0.00   1.00    4.00    3.35    3.52    2.98    3.24    4.00    4.00    4.00    4.00    2.25      0      0      0       0     183 12.10
 2020 174    50    48   18.0      3   2.42   2583   1556      0   2402   4140   4379      0    0.0  0.000    239      0  0.000  0.000  0.279  0.000  0.000  0.000  0.000   1.30   0.00   0.05      0    239     93.5   0.98   0.00   1.00    4.00    3.71    3.88    3.29    3.55    4.00    4.00    4.00    4.00    2.39      0      0      0       0     194 11.65
 2020 175    51    49   19.0      3   2.39   2622   1606      0   2490   4228   4547      0    0.0  0.000    319      0  0.161  0.441  0.273  0.000  0.000  0.000  0.000   1.32   0.00   0.07      0    319     91.1   0.98   0.00   1.00    4.00    3.75    3.92    3.32    3.58    4.00    4.00    4.00    4.00    2.40      0      0      0       0     206 15.30
 2020 176    52    50   19.0      3   2.38   2673   1696      0   2505   4369   4765      0    0.0  0.000    396      0  0.000  0.000  0.242  0.000  0.000  0.000  0.000   1.30   0.00   0.08      0    396     89.0   0.98   0.00   1.00    4.00    3.76    3.93    3.33    3.58    4.00    4.00    3.99    3.99    2.40      0      0      0       0     219 18.65
 2020 177    53    51   19.0      3   2.37   2723   1741      0   2554   4465   4980      0    0.0  0.000    515      0  0.000  0.000  0.230  0.000  0.000  0.000  0.000   1.29   0.00   0.10      0    515     87.0   0.98   0.00   1.00    4.00    3.83    3.99    3.38    3.64    4.00    4.00    4.00    4.00    2.42      0      0      0       0     231 18.00
 2020 178    54    52   19.0      3   2.36   2777   1752      0   2618   4528   5207      0    0.0  0.000    678      0  0.000  0.000  0.234  0.000  0.000  0.000  0.000   1.29   0.00   0.13      0    678     85.1   0.98   0.00   1.00    4.00    3.98    4.00    3.51    3.77    4.00    4.00    4.00    4.00    2.47      0      0      0       0     244 19.12
