*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 2020 157    33    0.02    0.01    0.03    0.11    47.0   0.008   0.047   0.106   0.075     0.5     0.6     0.6     2.6     899    0.25    0.90    2.32    1.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.1     1.5      6.     74.     41.     92.     94.     82.     94.    120.    114.    182.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9     1.4     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.3
 2020 158    34    0.02    0.01    0.03    0.12    47.9   0.009   0.048   0.108   0.076     0.4     0.5     0.5     2.0     849    0.20    0.85    1.83    1.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     1.5     14.     71.     38.     83.     83.     73.     80.    116.    113.    180.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     1.4     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.3
 2020 159    35    0.02    0.01    0.03    0.12    48.6   0.009   0.049   0.109   0.077     0.4     0.6     0.6     1.5     742    0.15    0.74    1.32    0.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.5     36.     60.     31.     68.     66.     60.     64.     93.    102.    163.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.2
 2020 160    36    0.02    0.01    0.03    0.12    49.2   0.009   0.049   0.110   0.078     0.5     0.6     0.6     1.3     604    0.13    0.60    1.17    0.72     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     17.     52.     26.     56.     54.     49.     51.     69.     88.    141.     0.0     0.1     0.0     0.1     0.1     0.0     0.1     0.1     0.1     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.2     0.0     0.1     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2
 2020 161    37    0.02    0.01    0.03    0.12    49.8   0.009   0.050   0.111   0.078     0.5     0.7     0.7     0.9     511    0.10    0.51    0.85    0.60     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.9      9.     45.     22.     48.     46.     42.     42.     55.     77.    124.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.8     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.2
 2020 162    38    0.02    0.01    0.03    0.12    50.2   0.009   0.050   0.112   0.079     0.6     0.8     0.7     0.3     447    0.03    0.45    0.27    0.49     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3      6.     41.     20.     43.     41.     36.     37.     46.     66.    112.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1
 2020 163    39    0.02    0.01    0.04    0.12    50.6   0.009   0.051   0.112   0.079     0.6     0.8     0.7     0.0     399    0.00    0.40    0.00    0.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.     38.     18.     40.     37.     33.     33.     40.     53.    103.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1
 2020 164    40    0.02    0.01    0.04    0.12    51.0   0.009   0.051   0.112   0.080     0.6     0.8     0.7     0.0     397    0.00    0.40    0.00    0.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      3.     40.     19.     41.     38.     33.     32.     38.     49.    104.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1
 2020 165    41    0.02    0.01    0.04    0.12    51.4   0.009   0.051   0.112   0.080     0.6     0.9     0.7     0.0     396    0.00    0.40    0.00    0.43     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.     41.     20.     42.     38.     33.     32.     37.     45.    104.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 166    42    0.02    0.01    0.04    0.12    51.8   0.009   0.052   0.112   0.080     0.6     0.9     0.7     0.0     382    0.00    0.38    0.00    0.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.     42.     20.     41.     37.     32.     30.     34.     40.    100.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 167    43    0.02    0.01    0.04    0.12    52.1   0.009   0.052   0.112   0.081     0.6     0.9     0.7     0.0     354    0.00    0.35    0.00    0.39     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.     41.     19.     39.     35.     30.     28.     30.     36.     91.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 168    44    0.02    0.01    0.04    0.12    53.5   0.009   0.053   0.112   0.081     0.0     0.0     0.0     0.0    1346    0.00    1.35    0.00    0.48     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1009.     47.     23.     39.     34.     28.     26.     28.     32.     81.     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 169    45    0.02    0.01    0.04    0.12    55.3   0.009   0.055   0.112   0.083     0.7     0.7     0.7     0.0    1856    0.00    1.86    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1367.     86.     40.     48.     43.     38.     36.     39.     45.    114.     1.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.1
 2020 170    46    0.02    0.02    0.04    0.12    56.3   0.009   0.056   0.112   0.084     0.9     0.9     0.9     0.0     988    0.00    0.99    0.00    1.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    311.    264.     49.     72.     42.     37.     34.     37.     42.    100.     0.3     0.3     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.3     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1
 2020 171    47    0.02    0.02    0.04    0.12    57.2   0.009   0.057   0.112   0.085     0.9     0.9     0.9     0.0     848    0.00    0.85    0.00    0.99     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    172.    268.     57.     81.     41.     35.     33.     35.     39.     87.     0.2     0.3     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1
 2020 172    48    0.02    0.02    0.04    0.12    57.9   0.009   0.058   0.112   0.086     0.9     1.0     0.9     0.0     689    0.00    0.69    0.00    0.80     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     84.    225.     55.     78.     39.     33.     31.     32.     35.     77.     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.3     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1
 2020 173    49    0.02    0.02    0.04    0.12    58.4   0.009   0.058   0.112   0.087     0.9     1.0     0.9     0.0     581    0.00    0.58    0.00    0.68     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     50.    181.     50.     72.     37.     31.     29.     30.     33.     68.     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1
 2020 174    50    0.03    0.02    0.04    0.12    58.9   0.009   0.059   0.112   0.087     0.9     1.1     1.0     0.0     436    0.00    0.44    0.00    0.51     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     22.    129.     38.     58.     32.     26.     24.     25.     27.     54.     0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1
 2020 175    51    0.03    0.02    0.04    0.12    59.2   0.009   0.059   0.112   0.088     0.9     1.1     1.0     0.0     320    0.00    0.32    0.00    0.39     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     10.     80.     27.     47.     28.     22.     20.     21.     22.     43.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 176    52    0.03    0.02    0.04    0.12    60.3   0.009   0.060   0.112   0.088     0.2     0.2     0.2     0.0    1059    0.00    1.06    0.00    0.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    795.     62.     26.     41.     25.     20.     18.     18.     19.     35.     0.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 177    53    0.03    0.02    0.05    0.12    61.0   0.009   0.061   0.112   0.089     0.8     0.9     0.8     0.0     787    0.00    0.79    0.00    0.74     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    420.     94.     37.     51.     32.     26.     24.     25.     27.     51.     0.4     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 178    54    0.03    0.02    0.05    0.12    61.7   0.009   0.062   0.112   0.090     1.0     1.1     1.0     0.0     615    0.00    0.62    0.00    0.73     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    217.    122.     41.     58.     31.     25.     23.     24.     26.     48.     0.2     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 179    55    0.03    0.02    0.05    0.12    62.2   0.009   0.062   0.112   0.090     1.0     1.2     1.1     0.0     577    0.00    0.58    0.00    0.70     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    140.    138.     48.     70.     33.     26.     24.     24.     25.     47.     0.1     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 180    56    0.03    0.03    0.05    0.12    62.8   0.009   0.063   0.112   0.091     1.1     1.3     1.1     0.0     531    0.00    0.53    0.00    0.64     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     73.    148.     54.     76.     34.     27.     24.     24.     25.     45.     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 181    57    0.03    0.03    0.05    0.12    63.2   0.009   0.063   0.112   0.092     1.0     1.3     1.0     0.0     440    0.00    0.44    0.00    0.52     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.    123.     47.     65.     32.     25.     22.     22.     22.     40.     0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 182    58    0.03    0.03    0.05    0.12    63.5   0.009   0.064   0.112   0.092     0.2     0.2     0.2     0.0     340    0.00    0.34    0.00    0.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     23.     89.     36.     53.     27.     21.     19.     19.     19.     35.     0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 183    59    0.03    0.03    0.05    0.12    63.9   0.009   0.064   0.112   0.092     0.9     1.2     0.9     0.0     345    0.00    0.35    0.00    0.39     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     30.     87.     32.     50.     27.     22.     20.     20.     20.     37.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 184    60    0.03    0.03    0.05    0.12    64.2   0.009   0.064   0.112   0.093     1.1     1.5     1.1     0.0     301    0.00    0.30    0.00    0.35     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     18.     82.     27.     44.     25.     20.     18.     18.     18.     33.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 185    61    0.03    0.03    0.05    0.12    65.4   0.009   0.065   0.112   0.093     0.4     0.4     0.3     0.0    1167    0.00    1.17    0.00    0.48     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    926.     64.     22.     39.     23.     18.     16.     16.     16.     28.     0.9     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 186    62    0.04    0.03    0.05    0.12    66.0   0.009   0.066   0.112   0.094     1.1     1.4     1.1     0.0     684    0.00    0.68    0.00    0.73     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    345.     95.     34.     53.     29.     23.     21.     22.     22.     40.     0.3     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 187    63    0.04    0.03    0.05    0.12    66.7   0.009   0.067   0.112   0.095     1.1     1.4     1.1     0.0     657    0.00    0.66    0.00    0.76     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    224.    134.     46.     74.     34.     27.     24.     24.     24.     44.     0.2     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.2     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 188    64    0.04    0.03    0.06    0.12    67.3   0.009   0.067   0.112   0.095     1.2     1.5     1.2     0.0     587    0.00    0.59    0.00    0.70     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    118.    145.     53.     89.     36.     28.     25.     25.     25.     44.     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 189    65    0.04    0.04    0.06    0.12    67.8   0.009   0.068   0.112   0.096     1.1     1.5     1.2     0.0     516    0.00    0.52    0.00    0.60     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     59.    138.     54.     90.     36.     27.     24.     24.     23.     42.     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 190    66    0.04    0.04    0.06    0.12    68.2   0.009   0.068   0.112   0.096     1.1     1.5     1.2     0.0     443    0.00    0.44    0.00    0.51     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     30.    118.     51.     82.     33.     25.     22.     22.     22.     38.     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 191    67    0.04    0.04    0.06    0.12    68.6   0.009   0.069   0.112   0.097     1.1     1.5     1.2     0.0     370    0.00    0.37    0.00    0.44     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      7.     99.     45.     72.     31.     23.     20.     20.     19.     34.     0.0     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0
 2020 192    68    0.04    0.04    0.06    0.12    69.7   0.009   0.070   0.112   0.097     0.2     0.2     0.2     0.0    1089    0.00    1.09    0.00    0.34     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    845.     59.     29.     35.     19.     22.     18.     17.     17.     29.     0.8     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 2020 193    69    0.04    0.04    0.06    0.12    70.6   0.009   0.071   0.112   0.098     1.1     1.3     1.1     0.0     928    0.00    0.93    0.00    0.88     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    457.    115.     42.     73.     48.     49.     31.     29.     30.     55.     0.5     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 194    70    0.04    0.04    0.06    0.12    71.4   0.009   0.071   0.112   0.099     1.1     1.3     1.1     0.0     813    0.00    0.81    0.00    0.67     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    215.    160.     58.     97.     71.     64.     33.     29.     30.     56.     0.2     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 195    71    0.04    0.04    0.06    0.12    72.2   0.009   0.072   0.112   0.099     1.0     1.3     1.1     0.0     775    0.00    0.77    0.00    0.68     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    115.    156.     66.    114.     90.     78.     42.     29.     30.     55.     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 196    72    0.05    0.04    0.06    0.12    73.0   0.009   0.073   0.112   0.100     1.1     1.4     1.1     0.4     737    0.00    0.74    0.39    0.73     0.0     0.0     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     56.    138.     60.    122.    105.     93.     53.     28.     28.     53.     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1
 2020 197    73    0.05    0.05    0.06    0.12    73.6   0.009   0.074   0.112   0.101     1.1     1.5     1.1     0.0     692    0.00    0.69    0.00    0.71     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     13.    128.     58.    118.    106.     95.     67.     28.     27.     52.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1
 2020 198    74    0.05    0.05    0.07    0.12    74.3   0.009   0.074   0.112   0.102     1.1     1.6     1.2     0.0     672    0.00    0.67    0.00    0.69     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      5.    121.     56.    112.    102.     95.     75.     28.     27.     50.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.1
 2020 199    75    0.05    0.05    0.07    0.12    75.7   0.009   0.076   0.112   0.102     0.1     0.1     0.1     0.0    1399    0.00    1.40    0.00    0.35     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    937.     85.     40.     65.     60.     58.     47.     30.     27.     50.     0.9     0.1     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1
 2020 200    76    0.05    0.05    0.07    0.12    77.6   0.009   0.078   0.112   0.104     1.1     1.2     1.1     0.0    1925    0.00    1.93    0.00    1.82     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   1053.    155.     75.    130.    121.    119.    101.     62.     34.     74.     1.1     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.4     0.1     0.0     0.1     0.0     0.1     0.1     0.1     0.0     0.1
 2020 201    77    0.05    0.05    0.07    0.12    79.0   0.009   0.079   0.112   0.105     1.1     1.3     1.1     0.0    1366    0.00    1.37    0.00    1.16     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    110.    311.     77.    163.    153.    151.    133.     90.     68.    109.     0.1     0.3     0.1     0.2     0.2     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2020 202    78    0.05    0.05    0.07    0.12    80.4   0.009   0.080   0.112   0.106     1.2     1.3     1.1     0.0    1383    0.00    1.38    0.00    1.31     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     39.    286.     88.    163.    154.    153.    139.    111.     95.    155.     0.0     0.3     0.1     0.2     0.2     0.2     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
 2020 203    79    0.05    0.05    0.07    0.12    81.7   0.009   0.082   0.112   0.107     1.0     1.3     1.0     0.3    1265    0.00    1.27    0.33    1.21     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     21.    209.     80.    148.    141.    142.    130.    115.    105.    174.     0.0     0.2     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.3     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
