*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2020 182    58    39     3     7.5     6.3     1.2     0.0   37.97   63.54    0.12    0.00   18.66   37.97   76.84    5.18    0.00    0.25     0.3     0.3    0.28    0.27    0.32    0.33    0.59    0.50    0.55    0.10    0.16    0.12    0.10    0.06    0.05    0.05    0.05    0.06    0.06    0.35    0.48    0.42    0.38    0.33    0.37    0.38    0.64    0.56    0.61
 2020 183    59    39     3     7.4     6.3     1.2     0.0   38.32   63.89    0.12    0.00   18.71   38.32   77.26    5.18    0.00    0.28     0.3     0.3    0.28    0.27    0.33    0.34    0.59    0.50    0.53    0.06    0.16    0.11    0.10    0.06    0.05    0.05    0.05    0.06    0.06    0.34    0.47    0.41    0.38    0.33    0.38    0.39    0.64    0.55    0.59
 2020 184    60    52     4    12.7     6.5     6.2     1.0   38.61   64.19    0.12    0.00   25.38   38.61   77.66    5.18    0.00    0.47     0.3     0.4    0.35    0.27    0.33    0.34    0.59    0.49    0.51    6.78    0.15    0.11    0.09    0.06    0.05    0.05    0.05    0.05    0.06    7.26    0.42    0.49    0.44    0.33    0.38    0.39    0.64    0.54    0.57
 2020 185    61    52     4     9.5     7.1     2.4     0.4   38.93   65.36    0.12    0.00   26.40   38.93   80.66    5.18    0.00    1.61     0.3     0.3    0.31    0.27    0.33    0.34    0.58    0.48    0.49    1.76    0.16    0.13    0.10    0.06    0.05    0.05    0.05    0.05    0.06    3.36    0.44    0.40    0.41    0.32    0.38    0.39    0.63    0.53    0.55
 2020 186    62    52     4     8.6     6.9     1.7     0.2   39.36   66.04    0.12    0.00   26.59   39.36   82.06    5.18    0.00    1.31     0.3     0.3    0.30    0.27    0.34    0.35    0.59    0.48    0.47    0.69    0.19    0.14    0.12    0.06    0.05    0.05    0.05    0.05    0.06    2.00    0.49    0.42    0.42    0.33    0.39    0.40    0.64    0.53    0.53
 2020 187    63    52     4     8.2     6.8     1.4     0.1   39.84   66.70    0.12    0.00   26.70   39.84   82.93    5.18    0.00    1.04     0.3     0.3    0.30    0.27    0.34    0.36    0.59    0.48    0.46    0.30    0.19    0.15    0.13    0.06    0.05    0.05    0.05    0.05    0.06    1.34    0.53    0.45    0.43    0.33    0.39    0.41    0.64    0.53    0.52
 2020 188    64    52     4     8.0     6.7     1.3     0.0   40.32   67.29    0.12    0.00   26.76   40.32   83.55    5.18    0.00    0.96     0.3     0.3    0.31    0.27    0.35    0.37    0.60    0.48    0.45    0.14    0.18    0.15    0.13    0.06    0.05    0.05    0.05    0.05    0.06    1.09    0.52    0.47    0.44    0.33    0.40    0.42    0.65    0.53    0.51
 2020 189    65    52     4     7.8     6.6     1.2     0.0   40.79   67.80    0.12    0.00   26.81   40.79   84.22    5.18    0.00    0.75     0.3     0.3    0.31    0.27    0.36    0.38    0.60    0.47    0.44    0.08    0.16    0.15    0.13    0.06    0.05    0.05    0.05    0.05    0.06    0.83    0.50    0.47    0.44    0.33    0.41    0.43    0.65    0.53    0.50
 2020 190    66    52     4     7.6     6.4     1.1     0.0   41.19   68.25    0.12    0.00   26.87   41.19   84.80    5.18    0.00    0.62     0.3     0.3    0.30    0.27    0.37    0.39    0.60    0.47    0.43    0.02    0.14    0.14    0.12    0.06    0.05    0.05    0.05    0.05    0.06    0.64    0.47    0.46    0.42    0.33    0.42    0.43    0.65    0.53    0.49
 2020 191    67    65     5    11.3     6.5     4.8     1.4   41.52   68.61    0.12    0.00   34.55   41.52   85.30    5.18    0.00    0.31     0.3     0.6    0.17    0.34    0.55    0.39    0.61    0.47    0.42    4.98    0.12    0.12    0.11    0.06    0.05    0.05    0.05    0.05    0.06    5.30    0.41    0.68    0.28    0.40    0.60    0.44    0.66    0.52    0.48
 2020 192    68    65     5     9.4     6.8     2.6     0.5   42.02   69.70    0.12    0.00   35.35   42.02   87.82    5.18    0.00    1.44     0.3     0.3    0.20    0.25    0.41    0.42    0.61    0.47    0.41    1.77    0.15    0.15    0.14    0.10    0.07    0.05    0.05    0.05    0.06    3.21    0.41    0.46    0.35    0.35    0.48    0.47    0.66    0.52    0.47
 2020 193    69    65     5     8.7     6.8     1.9     0.2   42.71   70.63    0.12    0.00   35.59   42.71   89.26    5.18    0.00    1.37     0.3     0.3    0.25    0.27    0.31    0.44    0.62    0.48    0.41    0.54    0.20    0.17    0.17    0.13    0.10    0.05    0.05    0.05    0.06    1.91    0.51    0.46    0.41    0.40    0.41    0.49    0.67    0.53    0.47
 2020 194    70    65     5     8.4     6.6     1.8     0.1   43.43   71.44    0.12    0.00   35.68   43.43   90.29    5.18    0.00    0.99     0.3     0.3    0.30    0.29    0.29    0.38    0.64    0.48    0.41    0.28    0.20    0.18    0.18    0.15    0.13    0.06    0.05    0.05    0.06    1.27    0.54    0.49    0.48    0.44    0.42    0.45    0.68    0.53    0.47
 2020 195    71    65     5     8.1     6.4     1.8     0.0   44.18   72.22    0.12    0.00   35.74   44.18   91.35    5.18    0.00    0.66     0.4     0.3    0.31    0.30    0.28    0.32    0.65    0.49    0.41    0.15    0.18    0.17    0.18    0.16    0.14    0.09    0.05    0.05    0.06    0.80    0.54    0.49    0.49    0.46    0.43    0.41    0.70    0.54    0.47
 2020 196    72    65     5     8.0     6.3     1.7     0.0   44.90   72.96    0.12    0.00   35.81   44.90   92.13    5.18    0.00    0.56     0.3     0.3    0.33    0.32    0.31    0.28    0.65    0.50    0.41    0.04    0.17    0.16    0.17    0.16    0.15    0.11    0.05    0.05    0.06    0.60    0.51    0.49    0.50    0.48    0.46    0.39    0.70    0.55    0.47
 2020 197    73    65     5     8.0     6.3     1.7     0.0   45.61   73.65    0.12    0.00   35.84   45.61   92.80    5.18    0.00    0.58     0.3     0.3    0.33    0.32    0.31    0.29    0.65    0.50    0.41    0.02    0.16    0.16    0.16    0.16    0.15    0.13    0.05    0.05    0.06    0.60    0.50    0.48    0.49    0.48    0.46    0.42    0.70    0.55    0.47
 2020 198    74    78     6    13.2     6.5     6.7     3.2   46.30   74.32    0.12    0.00   40.51   46.30   93.48    5.18    0.00    0.24     0.3     0.6    0.20    0.32    0.30    0.41    0.78    0.51    0.41    6.69    0.16    0.16    0.16    0.16    0.16    0.13    0.05    0.05    0.06    6.93    0.51    0.73    0.36    0.47    0.46    0.55    0.83    0.56    0.46
 2020 199    75    78     6    11.9     6.8     5.0     0.9   47.10   75.72    0.12    0.00   41.44   47.10   96.96    5.18    0.00    1.62     0.3     0.3    0.23    0.25    0.25    0.26    0.38    0.47    0.63    4.10    0.18    0.18    0.19    0.19    0.18    0.16    0.09    0.05    0.06    5.72    0.45    0.47    0.42    0.44    0.43    0.43    0.47    0.52    0.69
 2020 200    76    78     6     9.9     7.4     2.5     0.3   48.16   77.65    0.12    0.00   42.23   48.16   99.75    5.18    0.00    2.34     0.3     0.3    0.31    0.32    0.30    0.30    0.30    0.35    0.59    0.22    0.31    0.16    0.19    0.18    0.18    0.17    0.11    0.09    0.08    2.56    0.65    0.49    0.49    0.50    0.49    0.47    0.42    0.44    0.67
 2020 201    77    78     6     9.6     7.2     2.4     0.1   49.33   79.01    0.12    0.00   42.34   49.33  101.33    5.18    0.00    1.90     0.4     0.4    0.36    0.35    0.35    0.33    0.31    0.31    0.52    0.08    0.26    0.17    0.17    0.17    0.17    0.16    0.13    0.12    0.10    1.99    0.71    0.52    0.52    0.51    0.51    0.49    0.44    0.42    0.62
 2020 202    78    78     6     9.2     7.0     2.2     0.1   50.58   80.39    0.12    0.00   42.40   50.58  102.94    5.18    0.00    1.77     0.4     0.4    0.35    0.35    0.35    0.34    0.32    0.31    0.47    0.04    0.20    0.16    0.15    0.15    0.16    0.15    0.14    0.13    0.12    1.81    0.63    0.52    0.51    0.50    0.50    0.49    0.46    0.44    0.59
 2020 203    79    78     6     8.4     6.2     2.2     0.0   51.84   81.66    0.12    0.00   42.42   51.84  105.03    5.18    0.00    0.97     0.4     0.4    0.35    0.34    0.34    0.33    0.32    0.31    0.43    0.09    0.16    0.15    0.15    0.15    0.15    0.15    0.14    0.14    0.13    1.06    0.56    0.50    0.49    0.49    0.49    0.48    0.46    0.45    0.56
 2020 204    80    78     6     7.9     5.7     2.2     0.0   53.08   82.89    0.12    0.00   42.47   53.08  106.73    5.18    0.00    0.55     0.4     0.3    0.34    0.34    0.34    0.33    0.32    0.32    0.41    0.08    0.15    0.14    0.14    0.15    0.15    0.15    0.15    0.15    0.13    0.63    0.51    0.49    0.48    0.48    0.49    0.48    0.47    0.46    0.54
 2020 205    81    91     7    11.9     5.7     6.2     1.0   54.28   84.04    0.12    0.00   50.31   54.28  108.12    5.18    0.00    0.38     0.3     0.6    0.21    0.33    0.32    0.33    0.33    0.42    0.45    5.35    0.15    0.14    0.14    0.15    0.15    0.15    0.15    0.15    0.14    5.73    0.40    0.73    0.35    0.48    0.48    0.48    0.48    0.58    0.59
 2020 206    82    91     7     9.7     6.1     3.6     0.3   55.42   85.76    0.12    0.00   51.14   55.42  111.20    5.25    0.00    1.73     0.3     0.3    0.25    0.28    0.28    0.29    0.28    0.34    0.43    1.28    0.17    0.17    0.18    0.18    0.19    0.19    0.19    0.19    0.14    3.01    0.45    0.51    0.44    0.47    0.47    0.48    0.47    0.53    0.57
 2020 207    83    91     7     9.0     5.9     3.1     0.1   56.52   86.94    0.12    0.00   51.40   56.52  112.87    5.35    0.00    1.42     0.3     0.3    0.30    0.30    0.29    0.29    0.29    0.29    0.40    0.28    0.20    0.19    0.20    0.21    0.22    0.21    0.21    0.21    0.15    1.70    0.52    0.49    0.50    0.50    0.51    0.51    0.50    0.50    0.54
 2020 208    84    91     7     8.4     5.3     3.1     0.0   57.66   88.04    0.12    0.00   51.49   57.66  114.16    5.75    0.00    0.93     0.4     0.3    0.31    0.30    0.28    0.28    0.27    0.27    0.33    0.12    0.19    0.19    0.21    0.22    0.23    0.23    0.23    0.23    0.15    1.06    0.54    0.51    0.51    0.51    0.51    0.51    0.50    0.50    0.49
 2020 209    85    91     7     8.7     5.8     2.9     0.0   58.81   89.40    0.12    0.00   51.58   58.81  114.94    5.78    0.00    0.77     0.4     0.4    0.35    0.34    0.34    0.34    0.33    0.33    0.33    0.00    0.17    0.17    0.19    0.20    0.22    0.22    0.22    0.22    0.15    0.77    0.60    0.53    0.54    0.54    0.56    0.55    0.55    0.55    0.48
 2020 210    86    91     7     8.1     5.3     2.8     0.0   60.01   90.66    0.13    0.00   51.58   60.01  116.64    5.81    0.00    0.36     0.4     0.3    0.34    0.34    0.34    0.33    0.33    0.33    0.33    0.10    0.16    0.16    0.18    0.19    0.20    0.21    0.21    0.21    0.15    0.46    0.52    0.50    0.52    0.53    0.54    0.54    0.54    0.54    0.48
 2020 211    87    91     7     7.9     5.2     2.7     0.0   61.19   91.93    0.13    0.00   51.62   61.19  117.97    5.84    0.00    0.31     0.3     0.3    0.34    0.34    0.34    0.33    0.33    0.33    0.33    0.07    0.15    0.15    0.17    0.18    0.19    0.20    0.20    0.20    0.15    0.38    0.50    0.49    0.51    0.51    0.53    0.53    0.53    0.53    0.48
 2020 212    88   104     8    11.2     5.3     5.9     1.2   62.34   93.13    0.13    0.00   60.00   62.34  119.21    5.87    0.00    0.31     0.3     0.4    0.37    0.38    0.35    0.34    0.33    0.33    0.33    4.38    0.15    0.15    0.16    0.17    0.18    0.19    0.20    0.20    0.15    4.69    0.42    0.57    0.53    0.55    0.54    0.53    0.53    0.52    0.48
 2020 213    89   104     8     9.1     5.6     3.5     0.4   63.46   94.98    0.14    0.00   60.91   63.46  122.02    6.19    0.00    1.50     0.3     0.3    0.27    0.29    0.29    0.30    0.30    0.31    0.32    1.11    0.18    0.18    0.19    0.18    0.19    0.19    0.19    0.19    0.15    2.61    0.45    0.45    0.46    0.47    0.48    0.49    0.49    0.50    0.47
 2020 214    90   104     8     8.6     5.6     3.0     0.2   64.53   96.35    0.14    0.00   61.14   64.53  123.45    6.31    0.00    1.20     0.3     0.3    0.31    0.31    0.31    0.32    0.32    0.32    0.31    0.39    0.21    0.17    0.20    0.18    0.18    0.18    0.19    0.19    0.15    1.60    0.52    0.48    0.50    0.49    0.50    0.50    0.50    0.51    0.47
 2020 215    91   104     8     8.5     5.8     2.8     0.1   65.56   97.56    0.14    0.00   61.28   65.56  124.53    6.31    0.00    1.22     0.3     0.3    0.33    0.33    0.33    0.33    0.32    0.32    0.31    0.14    0.20    0.17    0.19    0.18    0.18    0.18    0.18    0.18    0.15    1.36    0.54    0.50    0.52    0.50    0.51    0.50    0.51    0.50    0.46
 2020 216    92   104     8     8.5     5.8     2.7     0.0   66.62   98.70    0.14    0.00   61.33   66.62  125.62    6.31    0.00    1.27     0.4     0.3    0.33    0.33    0.33    0.33    0.32    0.32    0.30    0.08    0.19    0.17    0.18    0.17    0.18    0.18    0.18    0.18    0.15    1.35    0.54    0.49    0.51    0.50    0.50    0.50    0.50    0.50    0.46
 2020 217    93   104     8     8.4     5.8     2.6     0.0   67.69   99.84    0.14    0.00   61.39   67.69  126.72    6.31    0.00    1.30     0.3     0.3    0.33    0.33    0.33    0.32    0.32    0.32    0.31    0.02    0.17    0.16    0.17    0.17    0.17    0.17    0.18    0.18    0.15    1.32    0.52    0.50    0.51    0.50    0.50    0.50    0.50    0.50    0.46
 2020 218    94   104     8     8.3     5.8     2.5     0.0   68.80  100.97    0.14    0.00   61.41   68.80  127.91    6.31    0.00    1.21     0.3     0.3    0.34    0.33    0.33    0.32    0.32    0.32    0.31    0.05    0.16    0.16    0.16    0.16    0.17    0.17    0.18    0.18    0.15    1.26    0.51    0.49    0.50    0.49    0.50    0.50    0.50    0.50    0.46
 2020 219    95   104     8     8.3     5.8     2.5     0.0   69.94  102.15    0.14    0.00   61.43   69.94  129.03    6.31    0.00    1.23     0.3     0.3    0.34    0.33    0.33    0.33    0.33    0.32    0.31    0.05    0.16    0.16    0.16    0.16    0.17    0.17    0.18    0.18    0.15    1.28    0.50    0.49    0.50    0.49    0.50    0.50    0.50    0.50    0.46
 2020 220    96   104     8     8.3     5.9     2.4     0.0   71.12  103.35    0.14    0.00   61.45   71.12  130.18    6.31    0.00    1.25     0.3     0.3    0.34    0.33    0.33    0.33    0.33    0.33    0.31    0.04    0.15    0.15    0.15    0.16    0.16    0.17    0.17    0.17    0.15    1.29    0.49    0.49    0.49    0.49    0.50    0.50    0.50    0.50    0.47
 2020 221    97   104     8     8.3     5.9     2.4     0.0   72.32  104.57    0.14    0.00   61.47   72.32  131.36    6.31    0.00    1.27     0.3     0.3    0.34    0.34    0.34    0.33    0.33    0.33    0.32    0.03    0.14    0.15    0.15    0.16    0.16    0.16    0.17    0.17    0.15    1.30    0.49    0.49    0.49    0.49    0.50    0.50    0.50    0.50    0.47
 2020 222    98   104     8     8.3     5.9     2.4     0.0   73.50  105.77    0.14    0.00   61.48   73.50  132.55    6.31    0.00    1.28     0.3     0.3    0.34    0.33    0.33    0.33    0.33    0.33    0.32    0.03    0.14    0.15    0.15    0.15    0.16    0.16    0.17    0.17    0.15    1.31    0.47    0.48    0.49    0.49    0.50    0.49    0.50    0.50    0.47
 2020 223    99   117     9    17.4     6.2    11.2     2.8   74.72  107.01    0.14    0.00   62.59   74.72  133.72    6.31    0.00    0.48     0.6     0.6    0.44    0.36    0.34    0.33    0.33    0.33    0.33   11.80    0.13    0.14    0.15    0.15    0.16    0.16    0.17    0.17    0.15   12.27    0.76    0.73    0.59    0.51    0.50    0.50    0.50    0.50    0.48
 2020 224   100   117     9    12.3     7.7     4.6     0.7   76.00  110.39    0.14    0.00   64.80   76.00  140.01    6.31    0.00    3.40     0.3     0.4    0.36    0.36    0.35    0.33    0.33    0.33    0.33    2.98    0.16    0.17    0.15    0.15    0.16    0.16    0.16    0.17    0.15    6.38    0.50    0.53    0.51    0.51    0.51    0.49    0.50    0.49    0.48
 2020 225   101   117     9     9.9     7.3     2.6     0.3   77.29  112.51    0.14    0.00   65.45   77.29  143.52    6.31    0.00    3.00     0.3     0.3    0.32    0.34    0.35    0.34    0.33    0.33    0.33    0.04    0.29    0.19    0.17    0.16    0.16    0.16    0.16    0.16    0.15    3.04    0.61    0.50    0.49    0.50    0.51    0.50    0.49    0.49    0.48
 2020 226   102   117     9     9.2     6.6     2.6     0.1   78.55  113.86    0.14    0.00   65.50   78.55  145.52    6.31    0.00    1.94     0.4     0.3    0.32    0.33    0.34    0.35    0.33    0.33    0.34    0.10    0.24    0.21    0.18    0.17    0.16    0.16    0.16    0.16    0.15    2.04    0.66    0.54    0.50    0.50    0.50    0.51    0.49    0.49    0.49
 2020 227   103   117     9     9.1     6.5     2.5     0.1   79.77  115.17    0.14    0.00   65.55   79.77  146.90    6.31    0.00    1.47     0.6     0.4    0.33    0.33    0.33    0.34    0.33    0.32    0.34    0.06    0.20    0.18    0.18    0.17    0.17    0.16    0.15    0.16    0.15    1.52    0.80    0.57    0.51    0.50    0.50    0.50    0.49    0.48    0.49
 2020 228   104   117     9     8.2     5.6     2.6     0.0   80.92  116.28    0.14    0.00   65.58   80.92  148.98    6.31    0.00    0.70     0.4     0.3    0.33    0.32    0.32    0.33    0.33    0.31    0.33    0.09    0.18    0.17    0.18    0.18    0.18    0.17    0.16    0.16    0.15    0.79    0.61    0.52    0.51    0.50    0.50    0.49    0.49    0.47    0.48
 2020 229   105   117     9     7.7     5.2     2.6     0.0   82.01  117.34    0.15    0.00   65.62   82.01  150.45    6.31    0.00    0.43     0.3     0.3    0.32    0.31    0.31    0.31    0.33    0.34    0.32    0.07    0.17    0.17    0.18    0.18    0.18    0.17    0.17    0.16    0.15    0.50    0.51    0.49    0.50    0.49    0.49    0.48    0.49    0.49    0.48
 2020 230   106   117     9     7.7     5.1     2.6     0.0   83.06  118.37    0.15    0.00   65.65   83.06  151.49    6.31    0.00    0.46     0.3     0.3    0.33    0.32    0.32    0.32    0.31    0.32    0.32    0.04    0.17    0.17    0.18    0.18    0.18    0.17    0.17    0.17    0.15    0.50    0.50    0.49    0.50    0.50    0.50    0.49    0.49    0.49    0.47
 2020 231   107   117     9     8.7     6.1     2.6     0.0   84.06  119.36    0.15    0.00   65.66   84.06  151.49    6.31    0.00    0.47     0.4     0.4    0.40    0.39    0.39    0.38    0.38    0.38    0.37    0.03    0.17    0.17    0.17    0.18    0.18    0.18    0.18    0.17    0.16    0.50    0.58    0.56    0.58    0.57    0.57    0.56    0.55    0.55    0.52
 2020 232   108   117     9     9.7     7.2     2.6     0.0   85.08  120.37    0.15    0.00   65.68   85.08  151.49    6.31    0.00    0.48     0.5     0.5    0.48    0.47    0.46    0.45    0.44    0.44    0.42    0.03    0.16    0.17    0.17    0.17    0.18    0.18    0.18    0.18    0.16    0.52    0.65    0.64    0.65    0.64    0.64    0.63    0.62    0.61    0.57
