K_RT,gain_scale,cal_all_rmse,cal_high_rmse,cal_all_bias,cal_high_bias
-2.0,0.1,2.2943184379464374,5.314216977429878,0.1952798554685232,1.2222515766429216
-1.9,0.1,2.2948826819794506,5.314189968539325,0.19726525899757302,1.2223351018322595
-1.8,0.1,2.2958363517738167,5.314161344833016,0.19939252756319417,1.2224225128605508
-1.7,0.1,2.297225803108961,5.314130966661028,0.20203128859466565,1.222514182494274
-1.6,0.1,2.2976240608201266,5.314098676354549,0.20484198334482145,1.2226105353490164
-1.5,0.1,2.2984978119256043,5.314064295237759,0.20815841777360064,1.2227120568515009
-1.4,0.1,2.299547385152746,5.3140276200696785,0.21233423118547692,1.2228193040034467
-1.3,0.1,2.302010840354009,5.313988418793489,0.21750020944296888,1.2229329183612299
-1.2,0.1,2.304277294414786,5.313946425440984,0.22347678795579304,1.2230536417534967
-1.1,0.1,2.3066383159385495,5.31390133400142,0.2298701724658098,1.2231823353993274
-1.0,0.1,2.31030733073981,5.31385279101445,0.23765492610075853,1.2233200032733331
-0.9,0.1,2.3126643245606417,5.313800386582092,0.2457174983916217,1.2234678208068217
-0.8,0.1,2.3152127891257623,5.313743643409267,0.25376790007024924,1.2236271703380253
-0.7,0.1,2.318481973344889,5.313682003368495,0.26387785326734764,1.2237996851613837
-0.6,0.1,2.321084856892524,5.3136148109303125,0.27360478018451106,1.2239873046228227
-0.5,0.1,2.3234388413014884,5.313541292590042,0.28331636121358755,1.224192343534304
-0.4,0.1,2.3272303652061854,5.31346053112865,0.295602475525918,1.224417580341012
-0.3,0.1,2.332636210102129,5.313371433132857,0.30859587593581067,1.2246663701270821
-0.2,0.1,2.3353961638621503,5.313272687610465,0.3201768894973163,1.2249427909349229
-0.1,0.1,2.3393745453163115,5.313162712684434,0.3315748633670362,1.2252518353782331
0.0,0.1,2.3433216010966373,5.313039586101563,0.3421752932249944,1.2255996647443503
0.1,0.1,2.3504059982019094,5.312900953448661,0.35319456160515683,1.2259939506469948
0.2,0.1,2.3573404971091336,5.312743905231376,0.36359099935557243,1.226444341300017
0.3,0.1,2.3607085251164897,5.312564809902894,0.3728837924925365,1.2269631080275003
0.4,0.1,2.3638831126084865,5.312359083937014,0.3811247717635605,1.2275660565519584
0.5,0.1,2.36845750832465,5.312120871422041,0.3888255549268721,1.2282738331289405
0.6,0.1,2.3723820680054253,5.311842593928267,0.3961267146488408,1.2291138278286557
0.7,0.1,2.3740084714891636,5.311514317462034,0.4029328910068896,1.2301229927308142
0.8,0.1,2.375442558329461,5.311122872922594,0.40927808132736543,1.2313520787927965
0.9,0.1,2.3800088383779947,5.310650680240862,0.41498352558717394,1.2328720975538332
1.0,0.1,2.3816132477970795,5.310074327561567,0.41932674871325487,1.2347843125852358
1.1,0.1,2.384284743767139,5.309363328991478,0.42290858913767293,1.2372359111003428
1.2,0.1,2.38945513781797,5.308480660336407,0.42661250213944024,1.2404450312154807
1.3,0.1,2.392436782496204,5.30739031565207,0.4299405093523297,1.2447420150729833
1.4,0.1,2.394427595094338,5.306089635090706,0.4324042334761842,1.2506430908568738
1.5,0.1,2.3959474841702875,5.304743180124747,0.4343210604376504,1.259020914108301
1.6,0.1,2.397258930727058,5.304370384794632,0.43575852614614935,1.2684778596298882
1.7,0.1,2.399519146940873,5.31744670152672,0.43736801502529615,1.2895831977453145
1.8,0.1,2.401106374465267,5.3338249628959495,0.4387111990917962,1.315519011734792
1.9,0.1,2.4021609292058335,5.3446456174158525,0.43959643923022795,1.3347070658715827
2.0,0.1,2.404489245368267,5.370117994767514,0.44057170297949044,1.3584913282501856
2.1,0.1,2.4065027126054943,5.392068589244676,0.4413871434414293,1.3783778973096332
2.2,0.1,2.410190277030004,5.432087213348047,0.4422814218031782,1.4001871270809927
2.3,0.1,2.4156313244899703,5.490712826700611,0.44342717119650726,1.4281291111972594
2.4,0.1,2.4163109532787956,5.4980009254714615,0.44376432877708233,1.436351547810326
2.5,0.1,2.4169333018874104,5.504668103051339,0.4439519032290431,1.4409260231605396
2.6,0.1,2.4184273516194557,5.520647871680796,0.4442685888737521,1.448649200066265
2.7,0.1,2.4221790875329723,5.560615682046172,0.4450885022787896,1.4686448531066791
2.8,0.1,2.422852923891953,5.56777030113213,0.4452495987466397,1.4725735961390236
2.9,0.1,2.423686384294907,5.576609815374003,0.44547166537172206,1.4779892499870042
3.0,0.1,2.4260684815208466,5.601813632468644,0.44602590364323225,1.4915057458885796
-2.0,0.25,2.291420696099859,5.31259259159543,0.20563815059835983,1.2270940351153148
-1.9,0.25,2.2920146067777916,5.312514057781523,0.20822335481492404,1.227330095160047
-1.8,0.25,2.2929043262236277,5.312431037415592,0.21107802492617786,1.227580845765661
-1.7,0.25,2.2939624711668043,5.312343181800905,0.21452410608624847,1.2278475602855539
-1.6,0.25,2.29446354325358,5.312250108724451,0.21831133241444192,1.228131649674939
-1.5,0.25,2.2953208156091987,5.312151398534992,0.2226602824334992,1.2284346807582829
