doy,dtr_mean_c,dtr_sd_c
1,10.739122227465785,2.509783196561176
2,10.739122227465785,2.509783196561176
3,10.739122227465785,2.509783196561176
4,10.739122227465785,2.509783196561176
5,10.739122227465785,2.509783196561176
6,10.739122227465785,2.509783196561176
7,10.739122227465785,2.509783196561176
8,10.739122227465785,2.509783196561176
9,10.739122227465785,2.509783196561176
10,10.739122227465785,2.509783196561176
11,10.739122227465785,2.509783196561176
12,10.739122227465785,2.509783196561176
13,10.739122227465785,2.509783196561176
14,10.739122227465785,2.509783196561176
15,10.739122227465785,2.509783196561176
16,10.739122227465785,2.509783196561176
17,10.739122227465785,2.509783196561176
18,10.739122227465785,2.509783196561176
19,10.739122227465785,2.509783196561176
20,10.739122227465785,2.509783196561176
21,10.739122227465785,2.509783196561176
22,10.739122227465785,2.509783196561176
23,10.739122227465785,2.509783196561176
24,10.739122227465785,2.509783196561176
25,10.739122227465785,2.509783196561176
26,10.739122227465785,2.509783196561176
27,10.739122227465785,2.509783196561176
28,10.739122227465785,2.509783196561176
29,10.739122227465785,2.509783196561176
30,10.739122227465785,2.509783196561176
31,10.739122227465785,2.509783196561176
32,10.739122227465785,2.509783196561176
33,10.739122227465785,2.509783196561176
34,10.739122227465785,2.509783196561176
35,10.739122227465785,2.509783196561176
36,10.739122227465785,2.509783196561176
37,10.739122227465785,2.509783196561176
38,10.739122227465785,2.509783196561176
39,10.739122227465785,2.509783196561176
40,10.739122227465785,2.509783196561176
41,10.739122227465785,2.509783196561176
42,10.739122227465785,2.509783196561176
43,10.739122227465785,2.509783196561176
44,10.739122227465785,2.509783196561176
45,10.739122227465785,2.509783196561176
46,10.739122227465785,2.509783196561176
47,10.739122227465785,2.509783196561176
48,10.739122227465785,2.509783196561176
49,10.739122227465785,2.509783196561176
50,10.739122227465785,2.509783196561176
51,10.739122227465785,2.509783196561176
52,10.739122227465785,2.509783196561176
53,10.739122227465785,2.509783196561176
54,10.739122227465785,2.509783196561176
55,10.739122227465785,2.509783196561176
56,10.739122227465785,2.509783196561176
57,10.739122227465785,2.509783196561176
58,10.739122227465785,2.509783196561176
59,10.739122227465785,2.509783196561176
60,10.739122227465785,2.509783196561176
61,10.739122227465785,2.509783196561176
62,10.739122227465785,2.509783196561176
63,10.739122227465785,2.509783196561176
64,10.739122227465785,2.509783196561176
65,10.739122227465785,2.509783196561176
66,10.739122227465785,2.509783196561176
67,10.739122227465785,2.509783196561176
68,10.739122227465785,2.509783196561176
69,10.739122227465785,2.509783196561176
70,10.739122227465785,2.509783196561176
71,10.739122227465785,2.509783196561176
72,10.739122227465785,2.509783196561176
73,10.739122227465785,2.509783196561176
74,10.739122227465785,2.509783196561176
75,10.739122227465785,2.509783196561176
76,10.739122227465785,2.509783196561176
77,10.739122227465785,2.509783196561176
78,10.739122227465785,2.509783196561176
79,10.739122227465785,2.509783196561176
80,10.739122227465785,2.509783196561176
81,10.739122227465785,2.509783196561176
82,10.739122227465785,2.509783196561176
83,10.739122227465785,2.509783196561176
84,10.739122227465785,2.509783196561176
85,10.739122227465785,2.509783196561176
86,10.739122227465785,2.509783196561176
87,10.739122227465785,2.509783196561176
88,10.739122227465785,2.509783196561176
89,10.739122227465785,2.509783196561176
90,10.739122227465785,2.509783196561176
91,10.739122227465785,2.509783196561176
92,10.739122227465785,2.509783196561176
93,10.739122227465785,2.509783196561176
94,10.739122227465785,2.509783196561176
95,10.739122227465785,2.509783196561176
96,10.739122227465785,2.509783196561176
97,10.739122227465785,2.509783196561176
98,10.739122227465785,2.509783196561176
99,10.739122227465785,2.509783196561176
100,10.739122227465785,2.509783196561176
101,10.739122227465785,2.509783196561176
102,10.739122227465785,2.509783196561176
103,10.739122227465785,2.509783196561176
104,10.739122227465785,2.509783196561176
105,10.739122227465785,2.509783196561176
106,10.739122227465785,2.509783196561176
107,10.148,2.526215878872324
108,10.484615384615385,2.7166677015803233
109,10.422641509433962,2.832004013838554
110,10.326470588235294,2.8495937205602426
111,10.36547619047619,2.79360259041282
112,10.592783505154639,3.182348694448555
113,10.461261261261262,3.1447552635277787
114,10.5328,3.093014397722088
115,10.502158273381296,3.037267737309529
116,10.511688311688312,3.0219231216554507
117,10.494674556213019,3.0176319230843593
118,10.524043715846995,2.9535545800643477
119,10.56969696969697,2.947818759812318
120,10.59431279620853,2.9406131328229352
121,10.6,2.9122441379943598
122,10.699159663865546,2.920291176694264
123,10.791666666666666,2.995436436019145
124,10.816165413533835,2.9997738837564385
125,10.825089605734767,2.9670155370300813
126,10.779522184300342,2.9744558228595626
127,10.816666666666666,2.942601168922534
128,10.861875,2.944595429151399
129,10.835522388059701,2.943289985521055
130,10.85702005730659,2.9341113621041606
131,10.850964187327824,2.914512725463848
132,10.877777777777778,2.887011677832266
133,10.887468030690536,2.886159986925394
134,10.910591133004926,2.86476442404162
135,10.95489260143198,2.8568382957819938
136,10.945958429561202,2.833895135172928
137,10.947018348623853,2.8139170244255975
138,10.967201834862385,2.8060939376213416
139,10.965057471264368,2.852967116469656
140,10.979080459770115,2.8433930338812137
141,11.005760368663594,2.811193232094103
142,11.024249422632794,2.796465767624591
143,10.99400921658986,2.7107792799792354
144,11.059447004608295,2.694552826719877
145,11.067741935483872,2.681623541827773
146,11.04896551724138,2.673598101354046
147,11.052413793103447,2.6530848775625797
148,11.080875576036867,2.6862541496119468
149,11.08110599078341,2.689868541274921
150,11.047926267281106,2.690279797617731
151,11.045747126436781,2.6803688240019907
152,11.039220183486238,2.6770456073051294
153,10.98302752293578,2.63491778478458
154,10.924311926605505,2.563861264370186
155,10.914252873563218,2.531475422770672
156,10.933793103448275,2.5471377454747857
157,10.958715596330276,2.509612270613464
158,10.929061784897025,2.5094047483672295
159,10.924942791762014,2.483689049094365
160,10.924137931034483,2.4647358743362235
161,10.88183908045977,2.476770664263042
162,10.87448275862069,2.464002008002302
163,10.863824884792626,2.444479121840896
164,10.85816091954023,2.4115020696880505
165,10.847465437788019,2.4141338115364728
166,10.800691244239632,2.386543197938715
167,10.77626728110599,2.4179494074880488
168,10.77852193995381,2.4258209063203062
169,10.79838337182448,2.4019228737773233
170,10.803917050691243,2.308455859443123
171,10.803002309468821,2.2712199451718686
172,10.785912240184757,2.293844452422617
173,10.780092592592593,2.311290153222048
174,10.738425925925926,2.29542171672426
175,10.71136890951276,2.266753796267164
176,10.699305555555556,2.249624764620356
177,10.764120370370371,2.2478109308473844
178,10.783023255813953,2.2447068377266315
179,10.8006993006993,2.167684167498318
180,10.768691588785046,2.2241912812254787
181,10.763934426229508,2.2111139408768046
182,10.745774647887323,2.2039095713092904
183,10.75,2.1911721279072642
184,10.737176470588235,2.224230104114418
185,10.741882352941177,2.230552481543301
186,10.734741784037558,2.237564759021444
187,10.700702576112413,2.2150942864168
188,10.688235294117646,2.2216140106757143
189,10.676705882352941,2.223342815253609
190,10.605188679245282,2.223923536932448
191,10.58470588235294,2.2142178802705157
192,10.555529411764706,2.211403499681091
193,10.5125,2.2339121458054936
194,10.480188679245282,2.2581366326656216
195,10.49882075471698,2.2702877887876034
196,10.455188679245284,2.2789656859825076
197,10.423349056603774,2.345791888622527
198,10.444575471698114,2.3377807279296343
199,10.441411764705883,2.3351554193261816
200,10.435529411764707,2.3353888942654453
201,10.399529411764705,2.3331389829741123
202,10.40164705882353,2.3235610514992704
203,10.397411764705883,2.319608352261246
204,10.395764705882353,2.2891831247124745
205,10.446698113207548,2.313745225332852
206,10.44127358490566,2.321860198368178
207,10.440425531914894,2.3319431940336064
208,10.440521327014219,2.3660188784693363
209,10.472340425531915,2.4599186896450913
210,10.419103773584906,2.4497673259680246
211,10.455294117647059,2.394870002890265
212,10.473176470588236,2.3876619829297616
213,10.46737089201878,2.3998806124222396
214,10.45281690140845,2.410770743104327
215,10.433255269320844,2.4355387981926118
216,10.438262910798123,2.419891254024343
217,10.449765258215963,2.418986164163346
218,10.476056338028169,2.4028002167313955
219,10.529976580796253,2.411404972855498
220,10.597423887587823,2.4245067095568658
221,10.679439252336449,2.4407254389693707
222,10.744158878504672,2.465839396201646
223,10.782943925233646,2.446622434383105
224,10.825934579439252,2.4263300638718346
225,10.822429906542057,2.4405746016412
226,10.799532710280374,2.4755667420770306
227,10.84871194379391,2.451054574017083
228,10.871261682242991,2.3788965416171437
229,10.881308411214954,2.3685045367753337
230,10.883177570093459,2.3921607326300083
231,10.881498829039813,2.3909276102466883
232,10.8981220657277,2.3807949723483155
233,10.905868544600938,2.409635231676704
234,10.960093896713616,2.4138237160859806
235,11.010352941176471,2.4731169924121263
236,11.011267605633803,2.450798628775314
237,11.003512880562061,2.4734480744865293
238,10.991100702576112,2.470666492480366
239,10.971896955503514,2.4523452239311916
240,10.956103286384977,2.375823885063081
241,11.00868544600939,2.3865790746686995
242,11.004225352112677,2.407416186002401
243,11.015727699530517,2.424863670837719
244,11.057411764705883,2.4222042593303046
245,11.039529411764706,2.439173182814264
246,11.096,2.4026828558218782
247,11.092705882352941,2.4180470192590118
248,11.039529411764706,2.4940381298446015
249,11.04329411764706,2.5350018552686144
250,10.958823529411765,2.54171304761694
251,10.859529411764706,2.5327123511161145
252,10.758018867924529,2.5473356663932405
253,10.725707547169812,2.5215242621431337
254,10.726179245283019,2.505577424036714
255,10.751764705882353,2.513032622823275
256,10.74056603773585,2.5208924946581877
257,10.715602836879432,2.484595679427319
258,10.641745283018867,2.5110211482250584
259,10.642995169082125,2.5305660182769314
260,10.635,2.53513160024809
261,10.62720207253886,2.5334153213062915
262,10.62627345844504,2.559665699835026
263,10.628333333333334,2.592635273262927
264,10.615561959654178,2.5963825242422134
265,10.568468468468469,2.586526092205411
266,10.491875,2.5343897233047006
267,10.451307189542483,2.545123577227239
268,10.455479452054794,2.5344100846626145
269,10.44820143884892,2.565822364648288
270,10.413257575757576,2.565420531559041
271,10.34183266932271,2.5564277865585106
272,10.264135021097047,2.5431239528027674
273,10.22780269058296,2.5391418917577675
274,10.18468899521531,2.5214760298597243
275,10.100510204081633,2.488815956747708
276,10.134615384615385,2.4830385091645377
277,10.042261904761904,2.478373453075892
278,9.98258064516129,2.4919128517389844
279,10.035460992907801,2.336912943906159
280,9.877165354330709,2.231206840367884
281,9.942477876106194,2.2671491423991417
282,10.023232323232323,2.3694410036894684
283,10.20232558139535,2.3040617201795435
284,10.133333333333333,2.350187286513596
285,10.075862068965517,2.455020659135399
286,9.695454545454545,2.3795597155243446
287,9.674193548387096,2.1806677481810444
288,10.739122227465785,2.509783196561176
289,10.739122227465785,2.509783196561176
290,10.739122227465785,2.509783196561176
291,10.739122227465785,2.509783196561176
292,10.739122227465785,2.509783196561176
293,10.739122227465785,2.509783196561176
294,10.739122227465785,2.509783196561176
295,10.739122227465785,2.509783196561176
296,10.739122227465785,2.509783196561176
297,10.739122227465785,2.509783196561176
298,10.739122227465785,2.509783196561176
299,10.739122227465785,2.509783196561176
300,10.739122227465785,2.509783196561176
301,10.739122227465785,2.509783196561176
302,10.739122227465785,2.509783196561176
303,10.739122227465785,2.509783196561176
304,10.739122227465785,2.509783196561176
305,10.739122227465785,2.509783196561176
306,10.739122227465785,2.509783196561176
307,10.739122227465785,2.509783196561176
308,10.739122227465785,2.509783196561176
309,10.739122227465785,2.509783196561176
310,10.739122227465785,2.509783196561176
311,10.739122227465785,2.509783196561176
312,10.739122227465785,2.509783196561176
313,10.739122227465785,2.509783196561176
314,10.739122227465785,2.509783196561176
315,10.739122227465785,2.509783196561176
316,10.739122227465785,2.509783196561176
317,10.739122227465785,2.509783196561176
318,10.739122227465785,2.509783196561176
319,10.739122227465785,2.509783196561176
320,10.739122227465785,2.509783196561176
321,10.739122227465785,2.509783196561176
322,10.739122227465785,2.509783196561176
323,10.739122227465785,2.509783196561176
324,10.739122227465785,2.509783196561176
325,10.739122227465785,2.509783196561176
326,10.739122227465785,2.509783196561176
327,10.739122227465785,2.509783196561176
328,10.739122227465785,2.509783196561176
329,10.739122227465785,2.509783196561176
330,10.739122227465785,2.509783196561176
331,10.739122227465785,2.509783196561176
332,10.739122227465785,2.509783196561176
333,10.739122227465785,2.509783196561176
334,10.739122227465785,2.509783196561176
335,10.739122227465785,2.509783196561176
336,10.739122227465785,2.509783196561176
337,10.739122227465785,2.509783196561176
338,10.739122227465785,2.509783196561176
339,10.739122227465785,2.509783196561176
340,10.739122227465785,2.509783196561176
341,10.739122227465785,2.509783196561176
342,10.739122227465785,2.509783196561176
343,10.739122227465785,2.509783196561176
344,10.739122227465785,2.509783196561176
345,10.739122227465785,2.509783196561176
346,10.739122227465785,2.509783196561176
347,10.739122227465785,2.509783196561176
