krt,cal_all_rmse,cal_high_rmse,cal_all_bias,cal_high_bias
0.0,2.4388791940636025,5.735872222075957,0.4485734095102065,1.553633091436865
0.05,2.4345606992516444,5.714588730998316,0.44633722988036667,1.5413547062735202
0.1,2.4302874865393393,5.693449994387669,0.4441010502505268,1.5290763211101754
0.15,2.426059795203626,5.672457630551561,0.44186487062068697,1.5167979359468307
0.2,2.4218778636343194,5.651613270552219,0.4396286909908471,1.504519550783486
0.25,2.4177419292813545,5.630918558017949,0.43739251136100726,1.4922411656201413
0.3,2.4136522286015096,5.610375148940539,0.4351563317311674,1.4799627804567965
0.35,2.40960899700463,5.589984711458332,0.43292015210132756,1.4676843952934517
0.4,2.4056124687993696,5.569748925624551,0.4306839724714877,1.455406010130107
0.45,2.4016628771384743,5.549669483160547,0.4284477928416479,1.4431276249667622
0.5,2.39776045396362,5.52974808719355,0.42621161321180806,1.4308492398034174
0.55,2.393905429949837,5.509986451978594,0.4239754335819682,1.4185708546400726
0.6,2.3900980344495317,5.490386302604238,0.42173925395212836,1.406292469476728
0.65,2.386338495436143,5.470949374681736,0.4195030743222885,1.3940140843133833
0.7,2.3826270394474394,5.451677414017302,0.41726689469244865,1.3817356991500385
0.75,2.378963891528499,5.432572176267144,0.4150307150626088,1.3694573139866937
0.8,2.375349275174387,5.413635426574932,0.41279453543276895,1.357178928823349
0.85,2.3717834122725603,5.394868939191388,0.4105583558029291,1.344900543660004
0.9,2.3682665230450244,5.3762744970756975,0.40832217617308925,1.3326221584966593
0.95,2.3647988259902752,5.357853891478447,0.40608599654324945,1.3203437733333148
1.0,2.361380537825048,5.339608921505823,0.4038498169134096,1.30806538816997
