scenario,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,mean_HWAM
UNLIMITED,6684.758372596574,60.770530659968856,6603.0,6603.0,17603.0
N64_SPLIT,3817.9600901528556,34.708728092298685,3709.25,-3709.25,7290.75
N129_SPLIT,2737.897870629947,24.88998064209043,2600.25,-2600.25,8399.75
N193_SPLIT,1860.0410613747213,16.90946419431565,1598.25,-1598.25,9401.75
N129_BASAL,2684.3725989511963,24.403387263192695,2513.25,-2513.25,8486.75
