mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.658840374960726,1.573289675478628,0.13972489663943566,0.8384630564473062
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,3.0806763282323617,1.8232784543955207,0.5447706005631041,0.7888817591804921
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.2137398002504223,1.3240896690585404,-0.23932053857235736,0.8636718801012304
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.493440052565939,1.5405932827939932,-0.3205030063836286,0.8660283110366457
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.179455057542688,1.4558100981588078,-0.456658365863725,0.9073369103648131
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.2698306983272705,2.672362193335312,0.19048902286067898,0.7025542428785962
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.008306093668677,6.477670677266525,2.6931001210068493,0.10329062405488303
FIXED_ALPHA,T14P0,14.0,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.658840374960726,1.573289675478628,0.13972489663943566,0.8384630564473062
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,3.106272773965136,1.8407587307067943,0.5850224243238654,0.7861733498140601
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.236962048110684,1.3310441824716839,-0.18569385510875244,0.8602870394002577
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.5015257933488186,1.5378989116896329,-0.256640153657317,0.8642497075961426
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.1934816533665384,1.4561488297239764,-0.39017666852745114,0.9048576345517596
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.285931069725473,2.671477474651814,0.27738476026409475,0.7002142596126775
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.007677157680885,6.473671232962978,2.7034709541315705,0.1038745808787743
FIXED_ALPHA,T14P3,14.3,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.658840374960726,1.573289675478628,0.13972489663943566,0.8384630564473062
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,3.106272773965136,1.8407587307067943,0.5850224243238654,0.7861733498140601
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.2449653285580538,1.3336628647254725,-0.1740355391113278,0.8592339928247613
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,14.5-<14.8,279,2.5114180365454764,1.5381209484283134,-0.21406491850644302,0.8627190315716785
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,14.8-<15,168,2.2087648437911063,1.45780885551492,-0.34585553696993543,0.9028054290373658
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,15-<18,594,4.302339293866687,2.674616216379474,0.3394833163747461,0.6980482231975029
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,18-<20,71,8.007424981054742,6.471004936760613,2.710384842881385,0.10426032995206021
FIXED_ALPHA,T14P5,14.5,7.809408336409373,primary_cal_2000_2016,>=20,24,11.753818718827153,9.638134796703573,3.802625309480599,0.00517116754332769
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,13-<14,1409,2.658840374960726,1.573289675478628,0.13972489663943566,0.8384630564473062
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14-<14.3,334,3.106272773965136,1.8407587307067943,0.5850224243238654,0.7861733498140601
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_cal_2000_2016,14.3-<14.5,151,2.2449653285580538,1.3336628647254725,-0.1740355391113278,0.8592339928247613
