year,window,n_days,active_days,active_fraction,max_z_dtr,max_exposure,mean_active_strength
2021,FULL_YEAR,365,11,0.030136986301369864,2.6539654029323065,2.7873369911576775,0.6674079006221858
2021,MAY_SEP,153,6,0.0392156862745098,2.4459813962835453,2.064579707954381,0.8120030176048405
2021,SOW_APR21_TO_OCT31,194,8,0.041237113402061855,2.4459813962835453,2.064579707954381,0.6622231543842291
2021,SOW_APR26_TO_OCT31,189,7,0.037037037037037035,2.4459813962835453,2.064579707954381,0.7319790425166975
2021,SOW_MAY06_TO_OCT31,179,5,0.027932960893854747,2.4459813962835453,2.064579707954381,0.7849343548782279
2021,SOW_MAY16_TO_OCT31,169,5,0.029585798816568046,2.4459813962835453,2.064579707954381,0.7849343548782279
2021,SOW_MAY26_TO_OCT31,159,5,0.031446540880503145,2.4459813962835453,2.064579707954381,0.7849343548782279
2022,FULL_YEAR,365,3,0.00821917808219178,2.0302021525033185,1.1765175431591741,0.4325023040795049
2022,MAY_SEP,153,2,0.013071895424836602,1.937229030992569,1.1765175431591741,0.5135355715174852
2022,SOW_APR21_TO_OCT31,194,2,0.010309278350515464,1.937229030992569,1.1765175431591741,0.5135355715174852
2022,SOW_APR26_TO_OCT31,189,2,0.010582010582010581,1.937229030992569,1.1765175431591741,0.5135355715174852
2022,SOW_MAY06_TO_OCT31,179,2,0.0111731843575419,1.937229030992569,1.1765175431591741,0.5135355715174852
2022,SOW_MAY16_TO_OCT31,169,2,0.011834319526627219,1.937229030992569,1.1765175431591741,0.5135355715174852
2022,SOW_MAY26_TO_OCT31,159,2,0.012578616352201259,1.937229030992569,1.1765175431591741,0.5135355715174852
