scenario,OC,SRAD_mode,nominal_N,year,treatment,obs,HWAM,error,ARE_pct,SRADA,PRCP,NICM,NUCM,NMINC,model_read_top_OC_pct
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2020,W1,9275,7470.0,-1805.0,19.460916442048518,19.8,105.3,117.0,132,54,0.86
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2020,W2,11100,7524.0,-3576.0,32.21621621621622,19.8,105.3,117.0,133,55,0.86
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2020,W3,12030,7528.0,-4502.0,37.42310889443059,19.8,105.3,117.0,132,55,0.86
HIGHOM_SRAD19P8_N129,HIGHOM,19.8,128.8,2020,W4,11595,7534.0,-4061.0,35.02371711944804,19.8,105.3,117.0,132,56,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2019,W1,9250,8523.0,-727.0,7.85945945945946,19.9,81.7,171.0,155,55,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2019,W2,10725,8508.0,-2217.0,20.67132867132867,19.9,81.7,171.0,154,56,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2019,W3,12490,8493.0,-3997.0,32.00160128102482,19.9,81.7,171.0,154,56,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2019,W4,12030,8481.0,-3549.0,29.50124688279302,19.9,81.7,171.0,153,57,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2020,W1,9275,8130.0,-1145.0,12.34501347708895,19.8,105.3,171.0,145,54,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2020,W2,11100,8135.0,-2965.0,26.71171171171171,19.8,105.3,171.0,145,55,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2020,W3,12030,8134.0,-3896.0,32.385702410640064,19.8,105.3,171.0,145,56,0.86
HIGHOM_SRAD19P8_N193,HIGHOM,19.8,193.2,2020,W4,11595,8102.0,-3493.0,30.125053902544202,19.8,105.3,171.0,145,56,0.86
