year,date,temperature_C,n_vertices
2019,2019-05-02,16.574436819051574,1
2019,2019-05-03,20.395252586333918,2
2019,2019-05-04,14.361000891520106,2
2019,2019-05-05,17.101444735009615,2
2019,2019-05-06,15.019762461784964,2
2019,2019-05-07,12.911724096683567,2
2019,2019-05-08,15.283263069129372,2
2019,2019-05-09,20.632410504340033,2
2019,2019-05-10,24.32147261731556,1
2019,2019-05-12,21.317521465212415,1
2019,2019-05-13,16.3636349929222,2
2019,2019-05-14,17.127800826886364,2
2019,2019-05-15,21.791830599955418,2
2019,2019-05-16,8.69564736648077,2
2019,2019-05-17,13.017128360382868,2
2019,2019-05-18,13.148882014689685,2
2019,2019-05-19,18.12911787758741,2
2019,2019-05-20,24.55863053532168,2
2019,2019-05-21,19.762847107945806,2
2019,2019-05-22,26.71936768163811,2
2019,2019-05-23,13.596835057555944,2
2019,2019-05-24,11.56785156554633,2
2019,2019-05-25,19.657442844246503,2
2019,2019-05-26,26.561264636723777,2
2019,2019-05-27,20.79051354925437,2
2019,2019-05-28,16.205531948007867,2
2019,2019-05-29,14.598152108256993,2
2019,2019-05-30,18.866927619674826,2
2019,2019-05-31,25.42819393171591,2
2019,2019-06-01,30.329381622791086,2
2019,2019-06-02,26.086955501980768,2
2019,2019-06-03,26.508565855508742,2
2019,2019-06-04,25.138337232494756,2
2019,2019-06-05,23.399210439706295,2
2019,2019-06-06,27.588931078032346,2
2019,2019-06-07,24.53228114471416,2
2019,2019-06-08,31.277999892277094,2
2019,2019-06-09,22.87220252374825,2
2019,2019-06-10,17.338602653015734,2
2019,2019-06-11,19.815545889160838,2
2019,2019-06-12,22.68774338695717,2
2019,2019-06-13,21.949933644869756,2
2019,2019-06-14,28.51119995691084,2
2019,2019-06-15,25.98155123828147,2
2019,2019-06-16,26.32410671871766,2
2019,2019-06-17,24.374178099799828,2
2019,2019-06-18,19.894594060983394,2
2019,2019-06-19,26.166010375072553,2
2019,2019-06-20,20.79051354925437,2
2019,2019-06-21,24.55863053532168,2
2019,2019-06-22,22.714099478833916,2
2019,2019-06-23,23.715416529534963,2
2019,2019-06-24,24.374178099799828,2
2019,2019-06-25,22.187084861606646,2
2019,2019-06-26,23.372861049098773,2
2019,2019-06-27,27.351779861295455,2
2019,2019-06-28,28.906454218562065,2
2019,2019-06-29,29.96047675174738,2
2019,2019-06-30,33.06982546628059,2
2019,2019-07-01,34.12384799946591,2
2019,2019-07-02,28.27404203890472,2
2019,2019-07-03,27.9841920409528,2
2019,2019-07-04,23.425559830313812,2
2019,2019-07-05,27.93148655846853,2
2019,2019-07-06,23.79446470135752,2
2019,2019-07-07,21.47562451012675,2
2019,2019-07-08,26.666668900423076,2
2019,2019-07-09,28.16864447647465,2
2019,2019-07-10,25.8761536758514,2
2019,2019-07-11,28.748351173647727,2
2019,2019-07-12,22.081687299176572,2
2019,2019-07-13,27.93148655846853,2
2019,2019-07-14,20.55335563124825,2
2019,2019-07-15,22.845846431871504,2
2019,2019-07-16,25.480892712930945,2
2019,2019-07-17,23.188401912307693,2
2019,2019-07-18,26.956518898375,2
2019,2019-07-19,22.55599643391958,2
2019,2019-07-20,24.400527490407345,2
2019,2019-07-21,22.76679826004895,2
2019,2019-07-22,30.961793802448426,2
2019,2019-07-23,31.515151109013985,2
2019,2019-07-24,26.64031280854633,2
2019,2019-07-25,21.52832329134178,2
2019,2019-07-26,30.961793802448426,2
2019,2019-07-27,31.515151109013985,2
2019,2019-07-28,26.64031280854633,2
2019,2019-07-29,21.317521465212415,2
2019,2019-07-30,23.504608002136365,2
2019,2019-07-31,25.480892712930945,2
2019,2019-08-01,27.299074378811188,2
2019,2019-08-02,30.513834058312938,2
2019,2019-08-03,32.49011876910752,2
2019,2019-08-04,31.330698673492133,2
2019,2019-08-05,35.09881565955944,2
2019,2019-08-06,26.29775732811014,2
2019,2019-08-07,33.491435819808565,2
2019,2019-08-08,26.29775732811014,2
2019,2019-08-09,17.86561056897378,2
2019,2019-08-10,19.999998324682693,2
2019,2019-08-11,21.00131537538374,2
2019,2019-08-12,23.504608002136365,2
2019,2019-08-13,26.00790733015822,2
2019,2019-08-14,28.010541431560316,2
2019,2019-08-15,22.00263242608479,2
2019,2019-08-16,21.00131537538374,2
2019,2019-08-17,20.500656850033216,2
2019,2019-08-18,18.998681273981642,2
2019,2019-08-19,21.00131537538374,2
2019,2019-08-20,23.504608002136365,2
2019,2019-08-21,24.00526652748689,2
2019,2019-08-22,23.504608002136365,2
2019,2019-08-23,23.003949476785838,2
2019,2019-08-24,21.501973900734267,2
2019,2019-08-25,21.501973900734267,2
2019,2019-08-26,24.00526652748689,2
2019,2019-08-27,24.00526652748689,2
2019,2019-08-28,26.00790733015822,2
2019,2019-08-29,27.009224380859266,2
2019,2019-08-30,27.009224380859266,2
2019,2019-08-31,25.507248804807688,2
2019,2019-09-01,25.006583578187936,2
2019,2019-09-02,19.999998324682693,2
2019,2019-09-03,22.00263242608479,2
2019,2019-09-04,21.501973900734267,2
2019,2019-09-05,16.49538864722902,2
2019,2019-09-06,18.49802274863112,2
