candidate_id,group,evaluation_number,status,theta_json,theta_normalized_json,qsim_path,01605500_nse,01606000_nse,01606500_nse,mean_nse,min_nse,01605500_kge,01606000_kge,01606500_kge,01605500_pbias,01606000_pbias,01606500_pbias,01605500_rmse,01606000_rmse,01606500_rmse,station_nse_json,station_kge_json,station_pbias_json,station_rmse_json,elapsed_seconds,error,completed_at
AI-0001,AI_GUIDED,1,DONE,"[-8.953183501174955,0.14551436323784167,125.77069653870954,0.7894589415585921,0.7315926805018513,1.1909431318048216,0.8335675539534095,1.1985773380082358,0.14262957471336707,0.12072656367488864,14.366815768332403,0.10019475966668788,184.05717227896324,1.0872154761944028]","[0.3682272166275015,0.14551436323784167,0.6978868887950392,0.7894589415585921,0.7315926805018513,0.9773578295120541,0.8335675539534095,0.5781985989517031,0.6812754150742614,0.3000665756262873,0.5977793640222298,0.33175504905246783,0.3681143319202131,0.9573849206480092]",artifacts/a2/qsim/ai_guided/AI-0001.npy,0.3696777907424571,0.5246072290327399,0.4926687741844319,0.46231793131987625,0.3696777907424571,0.4868696134833206,0.5451998847545645,0.48465604283034036,27.203014650668678,8.759117545935457,-4.810386968063951,7.039936365120687,13.765510318487081,23.844736424795858,"{""01605500"":0.3696777907424571,""01606000"":0.5246072290327399,""01606500"":0.4926687741844319}","{""01605500"":0.4868696134833206,""01606000"":0.5451998847545645,""01606500"":0.48465604283034036}","{""01605500"":27.203014650668678,""01606000"":8.759117545935457,""01606500"":-4.810386968063951}","{""01605500"":7.039936365120687,""01606000"":13.765510318487081,""01606500"":23.844736424795858}",46.26887759999954,,2026-09-03T01:54:27.376252+00:00
AI-0004,AI_GUIDED,4,DONE,"[-1.9788556124027075,0.7943270805529937,3.30478501473951,0.3372654674109195,0.3709667462451913,1.053141946513314,0.4182610532061253,1.2411274627762896,0.13409806151157522,0.30798635063407365,11.88159953486123,0.08018553448665944,293.05546986291654,1.0334101371990458]","[0.6007048129199097,0.7943270805529937,0.015625543257601727,0.3372654674109195,0.3709667462451913,0.6328548662832851,0.4182610532061253,0.600593401461205,0.6338781195087511,0.7693893499600842,0.4940125066747904,0.26483456350053325,0.5861109314480517,0.7780337906634859]",artifacts/a2/qsim/ai_guided/AI-0004.npy,0.21954501512166813,0.5024867572121348,0.5200933804673511,0.4140417176003847,0.21954501512166813,0.4399370797464215,0.6408067051233028,0.6724381969259978,44.956678981924014,22.93526553816751,8.847781979801907,7.8335993925659935,14.082130098499537,23.19130030167395,"{""01605500"":0.21954501512166813,""01606000"":0.5024867572121348,""01606500"":0.5200933804673511}","{""01605500"":0.4399370797464215,""01606000"":0.6408067051233028,""01606500"":0.6724381969259978}","{""01605500"":44.956678981924014,""01606000"":22.93526553816751,""01606500"":8.847781979801907}","{""01605500"":7.8335993925659935,""01606000"":14.082130098499537,""01606500"":23.19130030167395}",47.84394720001728,,2026-09-03T01:54:28.956801+00:00
AI-0002,AI_GUIDED,2,DONE,"[-12.70131356544175,0.1826148917351338,135.31461143746276,0.5067454763549268,0.4903068738198555,0.9947982189276252,0.8140558679375987,1.2123295159943654,0.08510110046938896,0.33570110027871214,13.637886895019413,0.2743094004479973,171.89754815518432,0.9405753501913368]","[0.24328954781860837,0.1826148917351338,0.7510563311279262,0.5067454763549268,0.4903068738198555,0.486995547319063,0.8140558679375987,0.5854365873654555,0.36167278038549416,0.8388498753852434,0.5673439204601007,0.9140782623678839,0.3437950831862703,0.46858450063778895]",artifacts/a2/qsim/ai_guided/AI-0002.npy,0.1486564002335482,0.18984599963429138,0.19497423455705087,0.17782554480829682,0.1486564002335482,0.08968678123037643,0.1538331389357538,0.12348025921811123,35.73173599538517,14.261654758784227,-0.12907976144349217,8.18163058423194,17.97007211720081,30.036658690053308,"{""01605500"":0.1486564002335482,""01606000"":0.18984599963429138,""01606500"":0.19497423455705087}","{""01605500"":0.08968678123037643,""01606000"":0.1538331389357538,""01606500"":0.12348025921811123}","{""01605500"":35.73173599538517,""01606000"":14.261654758784227,""01606500"":-0.12907976144349217}","{""01605500"":8.18163058423194,""01606000"":17.97007211720081,""01606500"":30.036658690053308}",48.15932459998294,,2026-09-03T01:54:29.268465+00:00
AI-0003,AI_GUIDED,3,DONE,"[3.3374944528126136,0.7588110863289406,23.165779415093883,0.22262636358893087,0.6353884580569011,1.0008416413124634,0.5924677880141394,0.7471837764612063,0.131301640188072,0.29183302834374536,17.302920484889718,0.10657868918710846,235.77931811700836,0.8937997680205019]","[0.7779164817604205,0.7588110863289406,0.12627175161612192,0.22262636358893087,0.6353884580569011,0.5021041032811586,0.5924677880141394,0.34062304024274015,0.6183424454892887,0.7289048329417177,0.7203724628346437,0.3531059839033728,0.4715586256651892,0.3126658934016727]",artifacts/a2/qsim/ai_guided/AI-0003.npy,0.11746274358687503,0.2737653211444855,0.3006087392571235,0.23061226799616133,0.11746274358687503,0.23194721564938736,0.34423653396813825,0.34564509978069724,49.19744866412328,25.625206976308746,10.268054116718444,8.330171694381814,17.01392528375234,27.996699123413713,"{""01605500"":0.11746274358687503,""01606000"":0.2737653211444855,""01606500"":0.3006087392571235}","{""01605500"":0.23194721564938736,""01606000"":0.34423653396813825,""01606500"":0.34564509978069724}","{""01605500"":49.19744866412328,""01606000"":25.625206976308746,""01606500"":10.268054116718444}","{""01605500"":8.330171694381814,""01606000"":17.01392528375234,""01606500"":27.996699123413713}",48.188269299978856,,2026-09-03T01:54:29.299400+00:00
AI-0005,AI_GUIDED,5,DONE,"[-8.752282409478754,0.278475348411086,142.22564311765308,0.8135886811261293,0.6382614570608101,1.1380052764184054,0.2872751875752545,1.0074724291092536,0.07903298065676934,0.24261981426027152,0.21744373418162954,0.13654457966556105,403.9976382510003,1.037566579622555]","[0.37492391968404154,0.278475348411086,0.7895579003768973,0.8135886811261293,0.6382614570608101,0.8450131910460137,0.2872751875752545,0.4776170679522388,0.3279610036487185,0.6055634442613321,0.006991387648502278,0.4533263533965253,0.8079952726619061,0.7918885987418499]",artifacts/a2/qsim/ai_guided/AI-0005.npy,0.21916961045264283,0.2768081674231181,0.2587001816252461,0.251559319833669,0.21916961045264283,0.1710657969243332,0.21104387174265193,0.18173525581578875,28.65293211225905,8.439785740790613,-5.190787025546755,7.8354831759335095,16.97824459874426,28.82329829008765,"{""01605500"":0.21916961045264283,""01606000"":0.2768081674231181,""01606500"":0.2587001816252461}","{""01605500"":0.1710657969243332,""01606000"":0.21104387174265193,""01606500"":0.18173525581578875}","{""01605500"":28.65293211225905,""01606000"":8.439785740790613,""01606500"":-5.190787025546755}","{""01605500"":7.8354831759335095,""01606000"":16.97824459874426,""01606500"":28.82329829008765}",48.37744229999953,,2026-09-03T01:54:29.491124+00:00
AI-0006,AI_GUIDED,6,DONE,"[-3.5247037200615985,0.05116340378278885,95.13270670231833,0.33828302248298064,0.3684193071614306,0.911757125456549,0.5175764887050541,0.9835531303582575,0.09253912146721366,0.36990560943721956,18.093509026240994,0.16262709308945383,106.96411626644829,0.9839037326838126]","[0.5491765426646134,0.05116340378278885,0.527201708648013,0.33828302248298064,0.3684193071614306,0.27939281364137236,0.5175764887050541,0.46502796334645136,0.40299511926229803,0.9245754622486705,0.7533824228075572,0.5405588397640597,0.2139282168114609,0.6130124422793751]",artifacts/a2/qsim/ai_guided/AI-0006.npy,0.22825834721156357,0.23619022285937818,0.2509835161305186,0.23847736206715345,0.22825834721156357,0.2380012437213047,0.3128359699009843,0.24321660655914368,25.359575109918374,5.641904031099285,-7.71520680036189,7.789747833462412,17.448521633530188,28.972929998888667,"{""01605500"":0.22825834721156357,""01606000"":0.23619022285937818,""01606500"":0.2509835161305186}","{""01605500"":0.2380012437213047,""01606000"":0.3128359699009843,""01606500"":0.24321660655914368}","{""01605500"":25.359575109918374,""01606000"":5.641904031099285,""01606500"":-7.71520680036189}","{""01605500"":7.789747833462412,""01606000"":17.448521633530188,""01606500"":28.972929998888667}",48.385875500011025,,2026-09-03T01:54:29.501106+00:00
AI-0007,AI_GUIDED,7,DONE,"[-15.330601192379177,0.7201927769848948,64.86020509656993,0.27808530904347817,0.9857330815997647,1.1674005749624012,0.5755401484111975,0.38587031548607287,0.07520991471497773,0.1388060359745104,5.234692959008513,0.15678485806006384,273.1305098407706,0.9842335916597129]","[0.1556466269206941,0.7201927769848948,0.3585526746327016,0.27808530904347817,0.9857330815997647,0.9185014374060032,0.5755401484111975,0.15045806078214363,0.3067217484165429,0.3453785362769684,0.21647987302749536,0.5210195921741266,0.5462610106067615,0.6141119721990428]",artifacts/a2/qsim/ai_guided/AI-0007.npy,0.1243385325447659,0.23519485572591503,0.23829192789339493,0.1992751053880253,0.1243385325447659,0.14140234641422422,0.2217948790244647,0.204523544048952,39.309148767685066,17.845668237932752,3.0162854111786577,8.297658336903872,17.4598870486783,29.21736246661174,"{""01605500"":0.1243385325447659,""01606000"":0.23519485572591503,""01606500"":0.23829192789339493}","{""01605500"":0.14140234641422422,""01606000"":0.2217948790244647,""01606500"":0.204523544048952}","{""01605500"":39.309148767685066,""01606000"":17.845668237932752,""01606500"":3.0162854111786577}","{""01605500"":8.297658336903872,""01606000"":17.4598870486783,""01606500"":29.21736246661174}",40.80002319999039,,2026-09-03T01:55:08.177833+00:00
AI-0008,AI_GUIDED,8,DONE,"[-12.120130168743135,0.4927131850140493,31.01123158009153,0.41862788715313215,0.32804196391926166,1.18394266765159,0.7058497552958992,0.8523143286682983,0.12627966418677064,0.20179444852910222,4.616490060591953,0.25603365369902265,92.99524509967021,0.962211652834134]","[0.2626623277085622,0.4927131850140493,0.16997900601722302,0.41862788715313215,0.32804196391926166,0.9598566691289753,0.7058497552958992,0.39595490982542014,0.5904425788153923,0.5032442319025118,0.1906676434485158,0.8529553635418818,0.18599047391914988,0.5407055094471132]",artifacts/a2/qsim/ai_guided/AI-0008.npy,0.15511828232865754,0.3010107883359694,0.3014146479121572,0.25251457285892803,0.15511828232865754,0.26953521902809885,0.35241766271366315,0.3243921319593268,37.02406021772555,15.553329482585212,1.3233127789160208,8.150521267135947,16.691726730577923,27.980564173690563,"{""01605500"":0.15511828232865754,""01606000"":0.3010107883359694,""01606500"":0.3014146479121572}","{""01605500"":0.26953521902809885,""01606000"":0.35241766271366315,""01606500"":0.3243921319593268}","{""01605500"":37.02406021772555,""01606000"":15.553329482585212,""01606500"":1.3233127789160208}","{""01605500"":8.150521267135947,""01606000"":16.691726730577923,""01606500"":27.980564173690563}",41.95279340000707,,2026-09-03T01:55:10.909186+00:00
AI-0010,AI_GUIDED,10,DONE,"[4.761506491375474,0.7780268073664867,91.49372296946063,0.7229240480423095,0.32089483200781593,1.0572756572765751,0.6919577448063055,0.4740104534729487,0.15744080029904553,0.11760517860988251,8.996389887861287,0.2438328689123609,131.51410648244917,1.0836699461894839]","[0.8253835497125158,0.7780268073664867,0.5069288187713684,0.7229240480423095,0.32089483200781593,0.6431891431914378,0.6919577448063055,0.19684760709102564,0.7635600016613641,0.2922435554132394,0.3735444629587176,0.8121500632520431,0.26302819822546225,0.9455664872982793]",artifacts/a2/qsim/ai_guided/AI-0010.npy,0.28204772716046067,0.3831658562416399,0.3737837012734201,0.34633242822517357,0.28204772716046067,0.2325258052940904,0.3332874467757666,0.3170755407055088,46.76023098910448,22.523305399085483,7.527272916746705,7.513377605186739,15.680150698313824,26.491644157364117,"{""01605500"":0.28204772716046067,""01606000"":0.3831658562416399,""01606500"":0.3737837012734201}","{""01605500"":0.2325258052940904,""01606000"":0.3332874467757666,""01606500"":0.3170755407055088}","{""01605500"":46.76023098910448,""01606000"":22.523305399085483,""01606500"":7.527272916746705}","{""01605500"":7.513377605186739,""01606000"":15.680150698313824,""01606500"":26.491644157364117}",43.688170400011586,,2026-09-03T01:55:12.986780+00:00
AI-0009,AI_GUIDED,9,DONE,"[-9.231449287989097,0.03456650275456379,48.51214662879699,0.4174371620206433,0.2664798929611554,0.8609229138216231,0.4170004350147438,0.45709488490372785,0.08273558291808827,0.1557399577752799,0.690890438233777,0.08807839009611018,332.21500840367173,0.938183220556714]","[0.35895169040036345,0.03456650275456379,0.267477139993298,0.4174371620206433,0.2664798929611554,0.1523072845540577,0.4170004350147438,0.18794467626511993,0.3485310162116015,0.3878194430458143,0.026759517254019916,0.2912320739000341,0.6644300100959437,0.46061073518904644]",artifacts/a2/qsim/ai_guided/AI-0009.npy,0.2099224407943272,0.43355985181236945,0.4006572809026251,0.34804652450310725,0.2099224407943272,0.20626948532485612,0.3788938866570871,0.3496144756054047,47.247167525292916,23.57789833578221,8.136377383055382,7.881743403951204,15.02598820116932,25.916977178229587,"{""01605500"":0.2099224407943272,""01606000"":0.43355985181236945,""01606500"":0.4006572809026251}","{""01605500"":0.20626948532485612,""01606000"":0.3788938866570871,""01606500"":0.3496144756054047}","{""01605500"":47.247167525292916,""01606000"":23.57789833578221,""01606500"":8.136377383055382}","{""01605500"":7.881743403951204,""01606000"":15.02598820116932,""01606500"":25.916977178229587}",43.746331300004385,,2026-09-03T01:55:13.015957+00:00
