year,date,TMAX_C,TMIN_C,TMIN_source,red_y,black_y,Meng_single_T_C,RAIN_mm
2019,2019-05-01,17.893485178130597,nan,missing,581.0,,,0.0
2019,2019-05-02,21.30167196990012,10.485895518468247,black_curve,532.0,687.5,16.574436819051574,0.0
2019,2019-05-03,24.014310436818725,16.77619473584911,mean_identity_fallback,493.0,,20.395252586333918,0.0
2019,2019-05-04,22.13632995972123,6.585671823318982,mean_identity_fallback,520.0,,14.361000891520106,2.8421052631578987
2019,2019-05-05,18.867252832921885,15.335636637097345,mean_identity_fallback,567.0,,17.101444735009615,0.0
2019,2019-05-06,19.701910822742995,9.19913111749404,black_curve,555.0,706.0,15.019762461784964,0.0
2019,2019-05-07,20.67567847753429,9.859902026102418,black_curve,541.0,696.5,12.911724096683567,0.0
2019,2019-05-08,23.944755604333636,11.737882503199913,black_curve,494.0,669.5,15.283263069129372,0.0
2019,2019-05-09,27.213832731132978,11.703105086957365,black_curve,447.0,670.0,20.632410504340033,0.0
2019,2019-05-10,27.352942396103163,21.290002838527958,mean_identity_fallback,445.0,,24.32147261731556,0.0
2019,2019-05-11,23.110097614512526,4.678067005963037,black_curve,506.0,771.0,,0.0
2019,2019-05-12,24.98807809161002,17.64696483881481,mean_identity_fallback,479.0,,21.317521465212415,0.0
2019,2019-05-13,26.240065076341686,9.373018198706774,black_curve,461.0,703.5,16.3636349929222,0.0
2019,2019-05-14,24.848968426639836,9.406633227132893,mean_identity_fallback,481.0,,17.127800826886364,0.0
2019,2019-05-15,24.08386526930382,19.499795930607014,mean_identity_fallback,492.0,,21.791830599955418,1.1157894736842122
2019,2019-05-16,17.54571101570513,-0.15441628274358976,mean_identity_fallback,586.0,,8.69564736648077,0.0
2019,2019-05-17,16.850162690854205,5.408392747056503,black_curve,596.0,760.5,13.017128360382868,0.0
2019,2019-05-18,19.145472162862255,3.8434090161419263,black_curve,563.0,783.0,13.148882014689685,0.0
2019,2019-05-19,22.06677512723614,14.191460627938682,mean_identity_fallback,521.0,,18.12911787758741,0.0
2019,2019-05-20,26.587839238767145,22.529421831876213,mean_identity_fallback,456.0,,24.55863053532168,0.0
2019,2019-05-21,31.80445167514908,14.241856472663244,black_curve,381.0,633.5,19.762847107945806,0.0
2019,2019-05-22,27.422497228588256,26.016238134687967,mean_identity_fallback,444.0,,26.71936768163811,0.0
2019,2019-05-23,21.093007472444846,9.616460112404596,black_curve,535.0,700.0,13.596835057555944,0.5052631578947375
2019,2019-05-24,22.69276861960197,0.44293451149069085,mean_identity_fallback,512.0,,11.56785156554633,0.0
2019,2019-05-25,25.474961919005665,10.520672934710795,black_curve,472.0,687.0,19.657442844246503,0.0
2019,2019-05-26,27.0051682336777,26.117361039769854,mean_identity_fallback,450.0,,26.561264636723777,0.1473684210526318
2019,2019-05-27,24.91852325912493,13.372421066599586,black_curve,480.0,646.0,20.79051354925437,1.431578947368423
2019,2019-05-28,22.831878284572156,12.746427574233756,black_curve,510.0,655.0,16.205531948007867,1.5263157894736865
