model,cloud_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowCloud,28,223,2.7820161933711622,1.92035067264574,-1.027208071748879,0.8656139602410953
M13_MONOTONIC_CLOUD_WARP,LowCloud,28,223,2.779592987359142,1.9589415731056274,-1.117305970509239,0.865099026520599
M0_OFFICIAL,MidCloud,63,499,4.732388184430381,3.5202573146292586,0.9467895791583165,0.6226103229964406
M13_MONOTONIC_CLOUD_WARP,MidCloud,63,499,4.54451380528199,3.4119231860977672,0.7560446391259189,0.6363666922767071
M0_OFFICIAL,HighCloud,32,253,7.0774508752195695,5.85895256916996,3.72683162055336,0.34776578794664226
M13_MONOTONIC_CLOUD_WARP,HighCloud,32,253,6.75648219520594,5.622048306652742,3.4610738986536123,0.35779361118792435
