model,dtr_bin,n,rmse,mae,mbe,r2
M0_OFFICIAL,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M0_OFFICIAL,10-<15,4044,2.39792330482667,1.627913897131553,0.13851701285855586,0.8552581938588879
M0_OFFICIAL,15-<18,856,4.834838907296637,3.515419859813084,1.1196969626168225,0.5957300782182131
M0_OFFICIAL,18-<20,72,6.289955820823916,4.947020833333333,1.3515097222222219,0.3466413735528625
M0_OFFICIAL,>=20,47,7.601777098208751,6.42078085106383,2.776589361702128,0.21191821059253585
M13_MONOTONIC_CLOUD_WARP,<10,898,1.6874148712438435,1.1936880846325166,0.2745629175946547,0.9337148864945467
M13_MONOTONIC_CLOUD_WARP,10-<15,4044,2.396495419648737,1.6273902161664884,0.13792191842952303,0.8553979734461827
M13_MONOTONIC_CLOUD_WARP,15-<18,856,4.6534486767825785,3.4205112238469186,0.9488849942930744,0.6087396258374013
M13_MONOTONIC_CLOUD_WARP,18-<20,72,6.006327613164423,4.810168248093128,1.0459450551659553,0.35508351610802436
M13_MONOTONIC_CLOUD_WARP,>=20,47,7.211467771426931,6.116641293038654,2.4724498036769518,0.22429533693489204
