solar_date,year,dtr_c,clouds,tmin_c,tmax_c,max_correction_c,curve_min_c,curve_max_c,below_tmin_c,above_tmax_c,rise_reversal_c,fall_reversal_c,rise_monotonic,fall_monotonic
2000-05-06,2000,24.2,0.7512667661445572,2.9,27.1,154.67359437982452,-128.37886197892882,27.0999999999787,131.27886197892883,0.0,10.037280688953924,1.4469153170973748,NO,NO
2000-05-09,2000,16.2,0.2681411423637039,11.4,27.6,8.22215459067283,11.40983661252812,27.59999999998574,0.0,0.0,0.4713040859066737,0.0,NO,YES
2000-05-17,2000,15.3,0.14641862075560697,15.2,30.5,1.6034686117080903,15.209807653546974,30.499999999986535,0.0,0.0,0.04311330061008434,0.0,NO,YES
2000-05-18,2000,15.7,0.07865306167998276,18.5,34.2,1.5504304503208033,18.504756606089902,34.19999999998618,0.0,0.0,0.03823786374490368,0.0,NO,YES
2000-05-22,2000,18.3,0.6019966871732392,14.0,32.3,46.14836221494083,-14.420362073614346,32.29999999998389,28.420362073614346,0.0,2.952347723063493,0.3316643652273221,NO,NO
2000-06-06,2000,16.1,0.10505461744741784,12.3,28.4,2.991249541068095,12.307368912820634,28.399999999985827,0.0,0.0,0.13420029336504058,0.0,NO,YES
2000-08-24,2000,15.9,0.7675416138448208,13.8,29.7,18.492207720459533,10.60646368158785,29.699999999986005,3.19353631841215,0.0,1.138447376836364,0.12088152646949268,NO,NO
2000-09-04,2000,15.5,0.0,9.2,24.7,0.0,9.210542850803593,24.699999999986357,0.0,0.0,0.0,0.0,YES,YES
2000-09-20,2000,15.3,0.46930609699413217,10.9,26.2,5.139493815266707,10.901728352515148,26.19999999998653,0.0,0.0,0.25396019770303724,0.0,NO,YES
2000-09-26,2000,16.5,0.45161171909545395,7.8,24.3,16.815441386765194,6.713748996198785,24.299999999985477,1.0862510038012152,0.0,1.0095288493528578,0.1542449705480351,NO,NO
2001-05-14,2001,15.6,0.03781006108998719,10.2,25.8,0.6625085891582609,10.201266628682372,25.79999999998627,0.0,0.0,0.0,0.0,YES,YES
