stratum,n_days,mean_dtr,mean_srad,mean_clearness,mean_daily_rmse,mean_afternoon_rmse,mean_afternoon_bias
LowSRAD,32,16.734375,12.018125,0.48768488636161483,7.057715625,10.24840625,10.13625
MidSRAD,58,16.78448275862069,21.723275862068967,0.8185820077080366,4.280418965517241,4.870596551724138,4.690460344827586
HighSRAD,33,16.23939393939394,29.30181818181818,0.9634348481065302,2.4282666666666666,1.3238121212121212,0.8368757575757576
