model,kt_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowKt,36,285,7.125370452613847,5.889283859649123,3.6893175438596493,0.34064627660157254
M9_DTR_KT_SHOULDER,LowKt,36,285,5.848836393689277,4.934339558207215,2.3746047714894365,0.3715969684764385
M0_OFFICIAL,MidKt,63,499,4.405300944023556,3.2603815631262525,0.7450949899799598,0.6525777862488458
M9_DTR_KT_SHOULDER,MidKt,63,499,3.9890315634448537,3.0564180640534877,-0.10329623617685184,0.671347810147412
M0_OFFICIAL,HighKt,24,191,2.7271150338025025,1.8941638743455498,-1.2407795811518325,0.8839074851861217
M9_DTR_KT_SHOULDER,HighKt,24,191,3.015835447811669,2.234531507822395,-1.7616852949991082,0.8601370601711206
