model,cloud_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowCloud,28,223,2.7820161933711622,1.92035067264574,-1.027208071748879,0.8656139602410953
M14_CROSSOVER_MONOTONIC,LowCloud,28,223,2.8054615880871743,2.0562211076851815,-1.3149656777669896,0.8644256492472034
M0_OFFICIAL,MidCloud,63,499,4.732388184430381,3.5202573146292586,0.9467895791583165,0.6226103229964406
M14_CROSSOVER_MONOTONIC,MidCloud,63,499,4.413784860811833,3.3952951408639906,0.4512145912424147,0.6375587661338864
M0_OFFICIAL,HighCloud,32,253,7.0774508752195695,5.85895256916996,3.72683162055336,0.34776578794664226
M14_CROSSOVER_MONOTONIC,HighCloud,32,253,6.422722229703514,5.373888554800812,3.13734015414929,0.3672743142275471
