lambda,p,cal_all_rmse,cal_high_rmse,objective
2.25,0.3,2.315661,4.025448,3.170554
2.3,0.3,2.315241,4.021878,3.16856
2.35,0.3,2.314859,4.018625,3.166742
2.4,0.3,2.314515,4.015687,3.165101
2.45,0.3,2.314207,4.013067,3.163637
2.5,0.3,2.313938,4.010764,3.162351
2.55,0.3,2.313705,4.00878,3.161242
2.6,0.3,2.313469,4.00676,3.160114
2.65,0.3,2.313253,4.004919,3.159086
2.7,0.3,2.313072,4.003376,3.158224
2.75,0.3,2.312927,4.002131,3.157529
2.8,0.3,2.312816,4.001184,3.157
2.85,0.3,2.31274,4.000535,3.156638
2.9,0.3,2.312699,4.000186,3.156442
2.95,0.3,2.312693,4.000134,3.156414
3.0,0.3,2.312722,4.000382,3.156552
3.05,0.3,2.312784,4.000911,3.156847
3.1,0.3,2.312865,4.001605,3.157235
3.15,0.3,2.31298,4.002585,3.157782
3.2,0.3,2.31311,4.003693,3.158401
3.25,0.3,2.313237,4.004783,3.15901
3.3,0.3,2.313366,4.005884,3.159625
3.35,0.3,2.313523,4.007227,3.160375
3.4,0.3,2.313709,4.008813,3.161261
3.45,0.3,2.313923,4.010641,3.162282
3.5,0.3,2.314166,4.012712,3.163439
3.55,0.3,2.314437,4.015024,3.164731
3.6,0.3,2.314736,4.017573,3.166154
3.65,0.3,2.31506,4.020334,3.167697
3.7,0.3,2.31541,4.023312,3.169361
3.75,0.3,2.315783,4.026486,3.171134
3.8,0.3,2.31618,4.029862,3.173021
3.85,0.3,2.316601,4.033445,3.175023
3.9,0.3,2.317032,4.037102,3.177067
3.95,0.3,2.317457,4.040708,3.179083
4.0,0.3,2.317852,4.044061,3.180957
0.0,0.35,2.378185,4.53268,3.455432
0.05,0.35,2.375899,4.514911,3.445405
0.1,0.35,2.373653,4.497408,3.435531
0.15,0.35,2.371449,4.480174,3.425811
0.2,0.35,2.369286,4.463212,3.416249
0.25,0.35,2.367163,4.446524,3.406844
0.3,0.35,2.365082,4.430115,3.397599
0.35,0.35,2.363043,4.413987,3.388515
0.4,0.35,2.361045,4.398143,3.379594
0.45,0.35,2.359088,4.382587,3.370838
0.5,0.35,2.357174,4.367321,3.362247
0.55,0.35,2.355301,4.352349,3.353825
0.6,0.35,2.353469,4.337673,3.345571
0.65,0.35,2.35168,4.323297,3.337489
0.7,0.35,2.349933,4.309223,3.329578
0.75,0.35,2.348229,4.295455,3.321842
0.8,0.35,2.346566,4.281995,3.314281
0.85,0.35,2.344946,4.268847,3.306897
0.9,0.35,2.343368,4.256013,3.299691
0.95,0.35,2.341833,4.243497,3.292665
1.0,0.35,2.340341,4.2313,3.28582
1.05,0.35,2.338891,4.219426,3.279158
1.1,0.35,2.337484,4.207877,3.27268
1.15,0.35,2.33612,4.196657,3.266388
1.2,0.35,2.334798,4.185767,3.260283
1.25,0.35,2.33352,4.175211,3.254365
1.3,0.35,2.332285,4.16499,3.248638
1.35,0.35,2.331093,4.155108,3.243101
1.4,0.35,2.329944,4.145567,3.237756
1.45,0.35,2.328839,4.136369,3.232604
1.5,0.35,2.327777,4.127517,3.227647
1.55,0.35,2.326758,4.119012,3.222885
1.6,0.35,2.325783,4.110857,3.21832
1.65,0.35,2.324851,4.103054,3.213953
1.7,0.35,2.323963,4.095605,3.209784
1.75,0.35,2.323118,4.088512,3.205815
1.8,0.35,2.322318,4.081776,3.202047
1.85,0.35,2.32156,4.0754,3.19848
1.9,0.35,2.320847,4.069386,3.195116
1.95,0.35,2.320177,4.063734,3.191956
2.0,0.35,2.319552,4.058446,3.188999
2.05,0.35,2.31897,4.053524,3.186247
2.1,0.35,2.318385,4.048577,3.183481
2.15,0.35,2.317833,4.043897,3.180865
2.2,0.35,2.317318,4.039527,3.178422
2.25,0.35,2.316837,4.03545,3.176144
2.3,0.35,2.316392,4.031668,3.17403
2.35,0.35,2.315982,4.028181,3.172081
2.4,0.35,2.315607,4.024989,3.170298
2.45,0.35,2.315267,4.022095,3.168681
2.5,0.35,2.314962,4.019497,3.16723
2.55,0.35,2.314692,4.017198,3.165945
2.6,0.35,2.314442,4.015065,3.164754
2.65,0.35,2.314186,4.012884,3.163535
2.7,0.35,2.313963,4.010981,3.162472
2.75,0.35,2.313772,4.009355,3.161564
2.8,0.35,2.313615,4.008009,3.160812
2.85,0.35,2.31349,4.00694,3.160215
2.9,0.35,2.313397,4.006151,3.159774
2.95,0.35,2.313338,4.005641,3.159489
3.0,0.35,2.31331,4.00541,3.15936
3.05,0.35,2.313316,4.005458,3.159387
3.1,0.35,2.313349,4.005741,3.159545
3.15,0.35,2.313403,4.006197,3.1598
3.2,0.35,2.313487,4.00692,3.160203
3.25,0.35,2.313563,4.007568,3.160566
3.3,0.35,2.313667,4.008455,3.161061
3.35,0.35,2.313801,4.009596,3.161698
3.4,0.35,2.313953,4.010892,3.162422
3.45,0.35,2.314106,4.012201,3.163153
3.5,0.35,2.314286,4.013736,3.164011
3.55,0.35,2.314493,4.015498,3.164995
3.6,0.35,2.314726,4.017486,3.166106
3.65,0.35,2.314986,4.019699,3.167342
3.7,0.35,2.315272,4.022138,3.168705
3.75,0.35,2.315584,4.024797,3.170191
3.8,0.35,2.31592,4.027651,3.171785
3.85,0.35,2.316278,4.030695,3.173487
3.9,0.35,2.316659,4.033935,3.175297
3.95,0.35,2.317046,4.037218,3.177132
4.0,0.35,2.317431,4.040492,3.178962
0.0,0.4,2.378185,4.53268,3.455432
0.05,0.4,2.375975,4.515502,3.445739
0.1,0.4,2.373803,4.498577,3.43619
0.15,0.4,2.37167,4.481907,3.426789
0.2,0.4,2.369576,4.465494,3.417535
0.25,0.4,2.367521,4.449342,3.408432
0.3,0.4,2.365505,4.433454,3.39948
0.35,0.4,2.363529,4.417832,3.39068
0.4,0.4,2.361591,4.402479,3.382035
0.45,0.4,2.359693,4.387398,3.373545
0.5,0.4,2.357834,4.372592,3.365213
0.55,0.4,2.356015,4.358063,3.357039
0.6,0.4,2.354235,4.343815,3.349025
0.65,0.4,2.352495,4.32985,3.341173
0.7,0.4,2.350795,4.316171,3.333483
0.75,0.4,2.349135,4.30278,3.325958
0.8,0.4,2.347515,4.289681,3.318598
0.85,0.4,2.345935,4.276876,3.311405
0.9,0.4,2.344395,4.264367,3.304381
0.95,0.4,2.342895,4.252158,3.297526
1.0,0.4,2.341436,4.24025,3.290843
1.05,0.4,2.340016,4.228647,3.284332
1.1,0.4,2.338638,4.217351,3.277994
1.15,0.4,2.3373,4.206364,3.271832
1.2,0.4,2.336002,4.195689,3.265846
1.25,0.4,2.334745,4.185329,3.260037
1.3,0.4,2.333529,4.175285,3.254407
1.35,0.4,2.332354,4.165559,3.248957
1.4,0.4,2.331219,4.156155,3.243687
1.45,0.4,2.330126,4.147074,3.2386
1.5,0.4,2.329073,4.138318,3.233696
1.55,0.4,2.328061,4.12989,3.228976
1.6,0.4,2.327091,4.121792,3.224441
1.65,0.4,2.326161,4.114024,3.220093
1.7,0.4,2.325273,4.10659,3.215932
