model,cloud_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowCloud,28,223,2.7820161933711622,1.92035067264574,-1.027208071748879,0.8656139602410953
M16_CV_CLOUD_HINGE_TS,LowCloud,28,223,2.8118591538146283,1.9577723245014154,-1.1087717624233473,0.8643426992239324
M0_OFFICIAL,MidCloud,63,499,4.732388184430381,3.5202573146292586,0.9467895791583165,0.6226103229964406
M16_CV_CLOUD_HINGE_TS,MidCloud,63,499,4.335928491741841,3.2238188783220005,0.1485796505216487,0.6834993091847353
M0_OFFICIAL,HighCloud,32,253,7.0774508752195695,5.85895256916996,3.72683162055336,0.34776578794664226
M16_CV_CLOUD_HINGE_TS,HighCloud,32,253,6.318342212055544,4.947659467328707,2.122293801587196,0.4028585893068517
