alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
0.5,1.9,0.362628,2.397169,4.678257,3.537713
0.5,2.0,0.362628,2.397401,4.680016,3.538708
0.5,2.1,0.362628,2.397617,4.68165,3.539633
0.5,2.2,0.362628,2.397818,4.683174,3.540496
0.5,2.3,0.362628,2.398006,4.6846,3.541303
0.5,2.4,0.362628,2.398183,4.685938,3.542061
0.5,2.5,0.362628,2.398349,4.687197,3.542773
0.5,2.6,0.362628,2.398506,4.688383,3.543445
0.5,2.7,0.362628,2.398654,4.689504,3.544079
0.5,2.8,0.362628,2.398794,4.690566,3.54468
0.5,2.9,0.362628,2.398928,4.691574,3.545251
0.5,3.0,0.362628,2.399054,4.692531,3.545793
0.6,0.0,0.362628,2.373701,4.497777,3.435739
0.6,0.1,0.362628,2.378807,4.537509,3.458158
0.6,0.2,0.362628,2.382471,4.565848,3.474159
0.6,0.3,0.362628,2.385155,4.586532,3.485843
0.6,0.4,0.362628,2.387186,4.602136,3.494661
0.6,0.5,0.362628,2.388771,4.614284,3.501527
0.6,0.6,0.362628,2.390041,4.624003,3.507022
0.6,0.7,0.362628,2.391083,4.631963,3.511523
0.6,0.8,0.362628,2.391955,4.638612,3.515283
0.6,0.9,0.362628,2.392695,4.644261,3.518478
0.6,1.0,0.362628,2.393334,4.649129,3.521232
0.6,1.1,0.362628,2.393892,4.653376,3.523634
0.6,1.2,0.362628,2.394385,4.657121,3.525753
0.6,1.3,0.362628,2.394823,4.660454,3.527638
0.6,1.4,0.362628,2.395216,4.663443,3.52933
0.6,1.5,0.362628,2.395572,4.666143,3.530857
0.6,1.6,0.362628,2.395895,4.668597,3.532246
0.6,1.7,0.362628,2.396191,4.67084,3.533515
0.6,1.8,0.362628,2.396462,4.6729,3.534681
0.6,1.9,0.362628,2.396713,4.6748,3.535756
0.6,2.0,0.362628,2.396945,4.676559,3.536752
0.6,2.1,0.362628,2.397161,4.678195,3.537678
0.6,2.2,0.362628,2.397362,4.679721,3.538541
0.6,2.3,0.362628,2.39755,4.681148,3.539349
0.6,2.4,0.362628,2.397727,4.682487,3.540107
0.6,2.5,0.362628,2.397893,4.683746,3.54082
0.6,2.6,0.362628,2.39805,4.684933,3.541492
0.6,2.7,0.362628,2.398198,4.686055,3.542127
0.6,2.8,0.362628,2.398339,4.687118,3.542728
0.6,2.9,0.362628,2.398472,4.688126,3.543299
