amtrd0,loyo_n,loyo_rmse
0.6,689,5.203912349511094
0.61,689,5.1951633119679235
0.62,689,5.186801053342799
0.63,689,5.178716352252497
0.64,689,5.170753771727098
0.65,689,5.162930840266991
0.66,689,5.155242486287533
0.67,689,5.1476950807320465
0.68,689,5.140239026473239
0.69,689,5.13288858701592
0.7,689,5.125708666632003
0.71,689,5.118673623445377
0.72,689,5.11173391429661
0.73,689,5.104871978735887
0.74,689,5.098115797460416
0.75,689,5.091486642178224
0.76,689,5.084984501477695
0.77,689,5.078620127517403
0.78,689,5.072386801932731
0.79,689,5.066298862222754
0.8,689,5.060366427615985
0.81,689,5.054592953178267
0.82,689,5.048980424330293
0.83,689,5.043529588534108
0.84,689,5.038240157955618
0.85,689,5.033110985855999
0.86,689,5.028140219427187
0.87,689,5.023325431667257
0.88,689,5.018663734723215
0.89,689,5.014151876934472
0.9,689,5.009786325605888
0.91,689,5.00556333733562
0.92,689,5.00147901752671
0.93,689,4.997529370527021
0.94,689,4.993710341671906
0.95,689,4.990017852348652
0.96,689,4.9864478290619125
0.97,689,4.982996227354223
0.98,689,4.979659051324316
0.99,689,4.97643236938783
1.0,689,4.973312326838415
1.01,689,4.970295155691572
1.02,689,4.967377182227172
1.03,689,4.964554832589055
1.04,689,4.961824636749791
1.05,689,4.959183231105215
1.06,689,4.9566273599255775
1.07,689,4.954153875857518
1.08,689,4.951759739642855
1.09,689,4.949442019195919
1.1,689,4.947197888160035
1.11,689,4.945024624045893
1.12,689,4.942919606038803
1.13,689,4.940880312548646
1.14,689,4.9389043185647346
1.15,689,4.936989292868049
1.16,689,4.93513299514481
1.17,689,4.933333273038206
1.18,689,4.931588059168808
1.19,689,4.929895368149056
1.2,689,4.928253293612597
