model,cloud_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowCloud,28,223,2.7820161933711622,1.92035067264574,-1.027208071748879,0.8656139602410953
M15_DENSE_TRANSFER_TS,LowCloud,28,223,2.83992346529239,1.987657535866267,-1.1494780357113192,0.8627580309623849
M0_OFFICIAL,MidCloud,63,499,4.732388184430381,3.5202573146292586,0.9467895791583165,0.6226103229964406
M15_DENSE_TRANSFER_TS,MidCloud,63,499,4.342599547358429,3.2305590026873254,0.15021176390261934,0.6820977411744722
M0_OFFICIAL,HighCloud,32,253,7.0774508752195695,5.85895256916996,3.72683162055336,0.34776578794664226
M15_DENSE_TRANSFER_TS,HighCloud,32,253,6.327848378354079,4.961052849237581,2.1722894825647803,0.4023473762332714
