cloud_hinge_c0,loyo_n,loyo_rmse
0.0,106,3.460357462826612
0.01,106,3.4588830741776397
0.02,106,3.458723780494463
0.03,106,3.4602474157635266
0.04,106,3.4614963358524684
0.05,106,3.4646045550794353
0.06,106,3.4697441887656137
0.07,106,3.4708825134904226
0.08,106,3.470343258165548
0.09,106,3.4694276043428225
0.1,106,3.46945407760453
0.11,106,3.4701108050001963
0.12,106,3.4704180044617003
0.13,106,3.4702710768373404
0.14,106,3.471094219779987
0.15,106,3.4750162348604894
0.16,106,3.48202094161147
0.17,106,3.4904595613217175
0.18,106,3.501944128803489
0.19,106,3.5071117936924825
0.2,106,3.5184435627547597
0.21,106,3.540314243749221
0.22,106,3.5766617786942936
0.23,106,3.630796317900663
0.24,106,3.698298435269085
0.25,106,3.7877526620887862
0.26,106,3.910078692601825
0.27,106,4.079917989571466
0.28,106,4.343079139266799
0.29,106,4.760924596722764
0.3,106,5.41327353449696
0.31,106,6.314146268489927
0.32,106,6.817148886293944
0.33,106,7.292379765615985
0.34,106,8.595925070955312
0.35000000000000003,106,10.4369928916115
0.36,106,13.153013840398811
0.37,106,16.830780267510658
0.38,106,21.608377261592793
0.39,106,32.57697499043609
0.4,106,39.25117362583974
0.41000000000000003,106,46.25936150890611
0.42,106,56.31290747054922
0.43,106,70.84941341007053
0.44,106,87.20007790978852
0.45,106,132.29633979532477
0.46,106,318.50021391985786
0.47000000000000003,106,4.233451854692685
0.48,106,4.233451854692685
0.49,106,4.233451854692685
0.5,106,4.233451854692685
0.51,106,4.233451854692685
0.52,106,4.233451854692685
0.53,106,4.233451854692685
0.54,106,4.233451854692685
0.55,106,4.233451854692685
0.56,106,4.233451854692685
0.5700000000000001,106,4.233451854692685
0.58,106,4.233451854692685
0.59,106,4.233451854692685
0.6,106,4.233451854692685
0.61,106,4.233451854692685
0.62,106,4.233451854692685
0.63,106,4.233451854692685
0.64,106,4.233451854692685
0.65,106,4.233451854692685
0.66,106,4.233451854692685
0.67,106,4.233451854692685
0.68,106,4.233451854692685
0.6900000000000001,106,4.233451854692685
0.7000000000000001,106,4.233451854692685
0.71,106,4.233451854692685
0.72,106,4.233451854692685
0.73,106,4.233451854692685
0.74,106,4.233451854692685
0.75,106,4.233451854692685
0.76,106,4.233451854692685
0.77,106,4.233451854692685
0.78,106,4.233451854692685
0.79,106,4.233451854692685
0.8,106,4.233451854692685
