model,solar_hour,n,rmse,mae,mbe,r2
M0_OFFICIAL,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M0_OFFICIAL,12,22,3.247677600714366,1.9336181818181817,1.256809090909091,0.6759045024196857
M0_OFFICIAL,14,720,4.030172249200054,2.4091477777777777,2.4089983333333334,0.674249384777106
M0_OFFICIAL,15,22,4.68123429804382,2.722668181818182,2.722668181818182,0.5240824754043285
M0_OFFICIAL,17,717,3.951428008209004,2.4243044630404462,2.232426359832636,0.6632446523551333
M0_OFFICIAL,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M0_OFFICIAL,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M0_OFFICIAL,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
M11_CLOUDDEF_POWER,11,722,3.2255437858537643,1.9062850415512465,1.5655329639889195,0.7469023367419001
M11_CLOUDDEF_POWER,12,22,3.1542550714799638,1.9020843669127079,1.2211297086224069,0.6914320514176624
M11_CLOUDDEF_POWER,14,720,3.5194241936059893,2.23584203151758,1.6509902472698583,0.6984957327732747
M11_CLOUDDEF_POWER,15,22,4.660016126930136,2.7146363259207127,2.7146363259207127,0.527237911245883
M11_CLOUDDEF_POWER,17,717,3.3658188793485757,2.1977556499819553,1.6289518671121639,0.7233989435666784
M11_CLOUDDEF_POWER,18,21,4.546871463513598,2.817104761904762,2.8127333333333335,0.508107274196844
M11_CLOUDDEF_POWER,20,718,2.5085633672052463,1.7897870473537605,0.6891736768802228,0.7769184905552655
M11_CLOUDDEF_POWER,23,712,2.239440993920762,1.8236662921348314,-0.8296328651685393,0.8076848368855895
