solar_date,branch,solar_hour,dtr_c,clouds,correction_c,official_pred_c,corrected_pred_c,tmin_c,tmax_c
2020-05-03,pre,14.8953,15.4,0.13367358225325865,0.23667300119297227,26.9975,26.760826998807026,11.6,27.0
2020-05-03,post,17.8953,15.4,0.13367358225325865,0.30516681078267593,25.0939,24.788733189217325,11.6,27.0
2020-05-05,pre,14.8983,16.9,0.36273575881563525,2.1856749973263407,24.1974,22.011725002673657,7.3,24.2
2020-05-05,post,17.8983,16.9,0.36273575881563525,2.9388365383477515,22.123,19.18416346165225,7.3,24.2
2020-05-06,pre,14.8994,17.9,0.40712441836071434,3.583493237047303,24.1973,20.613806762952695,6.3,24.2
2020-05-06,post,17.8994,17.9,0.40712441836071434,4.901731930873645,22.0083,17.106568069126354,6.3,24.2
2020-05-08,pre,14.9014,15.7,0.09926312660897108,0.2487863855645866,23.2977,23.048913614435413,7.6,23.3
2020-05-08,post,17.9014,15.7,0.09926312660897108,0.3513448981883793,21.392,21.04065510181162,7.6,23.3
2020-05-09,pre,14.9022,15.2,0.06818331200861139,0.07535566488793251,25.0979,25.022544335112066,9.9,25.1
2020-05-09,post,17.9022,15.2,0.06818331200861139,0.10789896113808471,23.2596,23.151701038861916,9.9,25.1
2020-05-28,pre,14.8872,16.1,0.07439269228266132,0.3065993474013147,31.2972,30.990600652598687,15.2,31.3
2020-05-28,post,17.8872,16.1,0.07439269228266132,0.4147061437443131,29.4937,29.07899385625569,15.2,31.3
2020-06-05,pre,14.8667,21.6,0.3738109921466203,9.455511026622148,31.1948,21.739288973377853,9.6,31.2
2020-06-06,pre,14.8639,20.3,0.38692002717558216,8.074423099735535,29.8949,21.820476900264467,9.6,29.9
2020-06-06,post,17.8639,20.3,0.38692002717558216,9.322397001902067,27.7016,18.37920299809793,9.6,29.9
2020-06-17,pre,14.8275,15.8,0.4598421385654683,2.183293431358075,33.3938,31.210506568641925,17.6,33.4
2020-06-17,post,17.8275,15.8,0.4598421385654683,2.0458472479675587,31.7506,29.70475275203244,17.6,33.4
2020-06-20,pre,14.8169,16.7,0.11048907231462479,1.0540090289118427,28.6926,27.638590971088156,12.0,28.7
2020-06-20,post,17.8169,16.7,0.11048907231462479,0.9363227275623911,26.9706,26.03427727243761,12.0,28.7
2020-06-21,pre,14.8133,16.7,0.18953011043831114,1.8412120550883535,28.6923,26.851087944911647,12.0,28.7
2020-06-21,post,17.8133,16.7,0.18953011043831114,1.607262935878534,26.9749,25.367637064121467,12.0,28.7
2020-06-28,pre,14.7894,20.2,0.600015884695212,18.5283736439641,32.8881,14.359726356035903,12.7,32.9
2020-06-28,post,17.7894,20.2,0.600015884695212,14.500269814294086,30.8413,16.341030185705915,12.7,32.9
2020-07-01,pre,14.78,15.1,0.08209349822377876,0.1466253706316749,26.5902,26.443574629368324,11.5,26.6
2020-07-01,post,17.78,15.1,0.08209349822377876,0.11021837040893766,25.0664,24.956181629591065,11.5,26.6
2020-07-02,pre,14.7769,15.1,0.16996344513000006,0.30750219487782965,29.9899,29.682397805122168,14.9,30.0
2020-07-02,post,17.7769,15.1,0.16996344513000006,0.22816259777601822,28.4678,28.239637402223984,14.9,30.0
2020-07-27,pre,14.7381,17.9,0.45527980366032195,9.85227468808628,32.5824,22.730125311913717,14.7,32.6
2020-07-27,post,17.7381,17.9,0.45527980366032195,6.086654032540486,30.7127,24.626045967459515,14.7,32.6
2020-07-28,pre,14.7386,17.7,0.1276538194321114,2.5797500374566407,32.3826,29.802849962543355,14.7,32.4
2020-07-28,post,17.7386,17.7,0.1276538194321114,1.5909780073858995,30.5259,28.9349219926141,14.7,32.4
2020-07-29,pre,14.7392,15.0,0.22486752847688363,0.31275171599373236,30.7853,30.472548284006265,15.8,30.8
2020-07-29,post,17.7392,15.0,0.22486752847688363,0.19257187812826437,29.2049,29.012328121871732,15.8,30.8
2020-07-30,pre,14.7397,15.1,0.5256506533789418,1.0947306312073213,30.7852,29.690469368792677,15.7,30.8
2020-07-30,post,17.7397,15.1,0.5256506533789418,0.672651904103136,29.1872,28.514548095896863,15.7,30.8
2020-08-14,pre,14.7714,16.0,0.697062252980743,5.158695328895319,30.187,25.02830467110468,14.2,30.2
2020-08-14,post,17.7714,16.0,0.697062252980743,3.2318827608547047,28.3289,25.097017239145295,14.2,30.2
2020-08-18,pre,14.7861,15.5,0.1661034973338107,0.674521707113113,34.1888,33.514278292886885,18.7,34.2
2020-08-18,post,17.7861,15.5,0.1661034973338107,0.42928441505180626,32.3307,31.901415584948193,18.7,34.2
2020-08-19,pre,14.7903,16.9,0.36906397177874617,4.4145038960032865,34.1881,29.773596103996713,17.3,34.2
2020-08-19,post,17.7903,16.9,0.36906397177874617,2.823642825596629,32.1452,29.321557174403374,17.3,34.2
2020-08-25,pre,14.8175,17.0,0.2247201057091771,2.4745887474910693,35.7907,33.31611125250893,18.8,35.8
2020-08-25,post,17.8175,17.0,0.2247201057091771,1.6306231890590999,33.6242,31.9935768109409,18.8,35.8
2020-09-06,pre,14.8836,15.8,0.10719382325966598,0.3502429379127525,30.9962,30.64595706208725,15.2,31.0
2020-09-06,post,17.8836,15.8,0.10719382325966598,0.24135840834549233,28.7333,28.49194159165451,15.2,31.0
2020-09-17,pre,14.9511,17.1,0.02622164653030845,0.0847212215416816,28.7992,28.714478778458318,11.7,28.8
2020-09-17,post,17.9511,17.1,0.02622164653030845,0.04229556676673773,26.0562,26.013904433233265,11.7,28.8
2020-09-18,pre,14.9572,17.6,0.33812006192230537,1.1664471508779433,28.7994,27.632952849122056,11.2,28.8
2020-09-18,post,17.9572,17.6,0.33812006192230537,0.4965966605912336,25.9469,25.450303339408766,11.2,28.8
2021-05-01,pre,14.8897,21.9,0.3103554309683768,6.836874338123694,31.1959,24.35902566187631,9.3,31.2
2021-05-01,post,17.8897,21.9,0.3103554309683768,8.195719076484878,28.461,20.26528092351512,9.3,31.2
2021-05-02,pre,14.8917,17.5,0.33417490206638367,2.7506220121966334,24.0969,21.34627798780337,6.6,24.1
2021-05-02,post,17.8917,17.5,0.33417490206638367,3.382337156778941,21.9189,18.53656284322106,6.6,24.1
2021-05-04,pre,14.8953,15.6,0.13061355958460852,0.30834018831353943,22.5974,22.28905981168646,7.0,22.6
2021-05-04,post,17.8953,15.6,0.13061355958460852,0.3975746765768677,20.6692,20.271625323423134,7.0,22.6
2021-05-05,pre,14.8969,15.2,0.024605108261270936,0.0286146915988728,26.2976,26.268985308401128,11.1,26.3
2021-05-05,post,17.8969,15.2,0.024605108261270936,0.03771251325187842,24.4252,24.38748748674812,11.1,26.3
2021-05-06,pre,14.8983,17.6,0.036701413669041116,0.2948605985612276,29.0973,28.80243940143877,11.5,29.1
2021-05-06,post,17.8983,17.6,0.036701413669041116,0.39646658438735893,26.937,26.540533415612643,11.5,29.1
2021-05-07,pre,14.8994,16.9,0.047247935999205626,0.2817214274871817,30.9975,30.715778572512818,14.1,31.0
2021-05-07,post,17.8994,16.9,0.047247935999205626,0.38535664095826894,28.9308,28.545443359041734,14.1,31.0
2021-05-11,pre,14.9028,15.1,0.6843564117505073,0.563895467119692,27.8979,27.334004532880307,12.8,27.9
2021-05-11,post,17.9028,15.1,0.6843564117505073,0.816918688260545,26.0787,25.261781311739455,12.8,27.9
2021-05-20,pre,14.9008,17.6,0.4123467898005889,3.2341617542297083,28.5976,25.36343824577029,11.0,28.6
2021-05-20,post,17.9008,17.6,0.4123467898005889,4.799062605316167,26.5517,21.752637394683834,11.0,28.6
2021-05-21,pre,14.9,17.1,0.1990625437926612,1.2924894666099114,25.7976,24.505110533390088,8.7,25.8
2021-05-21,post,17.9,17.1,0.1990625437926612,1.9106275311107517,23.8178,21.907172468889247,8.7,25.8
2021-05-23,pre,14.8975,15.4,0.03651207485909447,0.06333542694863872,23.8977,23.83436457305136,8.5,23.9
2021-05-23,post,17.8975,15.4,0.03651207485909447,0.0921232474949751,22.1295,22.037376752505025,8.5,23.9
2021-05-24,pre,14.8961,15.0,0.028568876741050686,0.016736471067981616,27.3977,27.380963528932018,12.4,27.4
2021-05-24,post,17.8961,15.0,0.028568876741050686,0.024113743277107344,25.6825,25.658386256722892,12.4,27.4
2021-06-05,pre,14.8697,15.6,0.3946137365947423,1.1490918077690364,30.4964,29.347308192230965,14.9,30.5
2021-06-05,post,17.8697,15.6,0.3946137365947423,1.3774383012501923,28.7978,27.420361698749808,14.9,30.5
2021-06-06,pre,14.8667,15.3,0.24523755905711275,0.45612199364883876,28.4963,28.040178006351162,13.2,28.5
2021-06-06,post,17.8667,15.3,0.24523755905711275,0.5361299004240411,26.8371,26.30097009957596,13.2,28.5
2021-06-08,pre,14.8608,18.2,0.2530043138803,3.3346112007184936,32.3953,29.060688799281504,14.2,32.4
