model,kt_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowKt,36,285,7.125370452613847,5.889283859649123,3.6893175438596493,0.34064627660157254
M11_CLOUDDEF_POWER,LowKt,36,285,5.847582812267722,4.9303697225554615,2.3302619569436893,0.3669264933950549
M0_OFFICIAL,MidKt,63,499,4.405300944023556,3.2603815631262525,0.7450949899799598,0.6525777862488458
M11_CLOUDDEF_POWER,MidKt,63,499,4.035892014091881,3.077544843060353,-0.203737876549867,0.6636485582239087
M0_OFFICIAL,HighKt,24,191,2.7271150338025025,1.8941638743455498,-1.2407795811518325,0.8839074851861217
M11_CLOUDDEF_POWER,HighKt,24,191,3.121147511179415,2.3078436503689956,-1.8458847010567556,0.8503594588177745
