p,loyo_n,loyo_rmse
0.5,689,4.887309666479513
0.75,689,4.931269351142873
1.0,689,4.982148361638534
1.25,689,5.03458904991164
1.5,689,5.085794660910689
1.75,689,5.134552616182784
2.0,689,5.180497745993744
2.25,689,5.2236628903834585
2.5,689,5.264237804139074
2.75,689,5.3024524612582775
3.0,689,5.338526838948858
3.25,689,5.372653377157359
3.5,689,5.404994153921393
3.75,689,5.435683861450168
4.0,689,5.464834443875261
