lambda,k,peak_q,cal_all_rmse,cal_high_rmse,objective
1.8,7.0,0.125,2.332379,4.165764,3.249071
1.9,7.0,0.125,2.331068,4.154897,3.242983
2.0,7.0,0.125,2.329889,4.145106,3.237497
2.1,7.0,0.125,2.328842,4.136396,3.232619
2.2,7.0,0.125,2.327928,4.128777,3.228352
2.3,7.0,0.125,2.327146,4.122252,3.224699
2.4,7.0,0.125,2.326497,4.116829,3.221663
2.5,7.0,0.125,2.325959,4.112327,3.219143
2.6,7.0,0.125,2.325456,4.108125,3.216791
2.7,7.0,0.125,2.32505,4.104721,3.214886
2.8,7.0,0.125,2.324732,4.102053,3.213392
2.9,7.0,0.125,2.324502,4.100123,3.212313
3.0,7.0,0.125,2.32436,4.098934,3.211647
3.1,7.0,0.125,2.324306,4.098485,3.211396
3.2,7.0,0.125,2.324329,4.098679,3.211504
3.3,7.0,0.125,2.324391,4.099193,3.211792
3.4,7.0,0.125,2.324529,4.100354,3.212441
3.5,7.0,0.125,2.324745,4.102161,3.213453
3.6,7.0,0.125,2.325037,4.104615,3.214826
3.7,7.0,0.125,2.325407,4.107714,3.216561
3.8,7.0,0.125,2.325823,4.111197,3.21851
3.9,7.0,0.125,2.326269,4.114927,3.220598
4.0,7.0,0.125,2.326759,4.119021,3.22289
4.1,7.0,0.125,2.327274,4.12332,3.225297
4.2,7.0,0.125,2.327853,4.128151,3.228002
4.3,7.0,0.125,2.328496,4.133509,3.231002
4.4,7.0,0.125,2.329202,4.139395,3.234298
4.5,7.0,0.125,2.329973,4.145804,3.237889
4.6,7.0,0.125,2.330807,4.152736,3.241772
4.7,7.0,0.125,2.331651,4.159735,3.245693
4.8,7.0,0.125,2.33252,4.166938,3.249729
4.9,7.0,0.125,2.333291,4.17332,3.253306
5.0,7.0,0.125,2.333999,4.179171,3.256585
0.0,7.5,0.117647,2.378185,4.53268,3.455432
0.1,7.5,0.117647,2.374563,4.504507,3.439535
0.2,7.5,0.117647,2.371066,4.477177,3.424121
0.3,7.5,0.117647,2.367694,4.450704,3.409199
0.4,7.5,0.117647,2.364448,4.425105,3.394777
0.5,7.5,0.117647,2.361328,4.400395,3.380862
0.6,7.5,0.117647,2.358335,4.376589,3.367462
0.7,7.5,0.117647,2.355469,4.353701,3.354585
0.8,7.5,0.117647,2.352731,4.331746,3.342239
0.9,7.5,0.117647,2.350121,4.310739,3.33043
1.0,7.5,0.117647,2.34764,4.290693,3.319166
1.1,7.5,0.117647,2.345287,4.271622,3.308455
1.2,7.5,0.117647,2.343064,4.253539,3.298301
1.3,7.5,0.117647,2.340971,4.236456,3.288713
1.4,7.5,0.117647,2.339008,4.220386,3.279697
1.5,7.5,0.117647,2.337175,4.20534,3.271258
1.6,7.5,0.117647,2.335473,4.19133,3.263402
1.7,7.5,0.117647,2.333902,4.178366,3.256134
1.8,7.5,0.117647,2.332462,4.166457,3.24946
1.9,7.5,0.117647,2.331154,4.155613,3.243383
2.0,7.5,0.117647,2.329977,4.145842,3.23791
2.1,7.5,0.117647,2.328933,4.137151,3.233042
2.2,7.5,0.117647,2.32802,4.129548,3.228784
2.3,7.5,0.117647,2.32724,4.123038,3.225139
2.4,7.5,0.117647,2.326592,4.117627,3.22211
2.5,7.5,0.117647,2.326074,4.113291,3.219683
2.6,7.5,0.117647,2.325577,4.109135,3.217356
2.7,7.5,0.117647,2.325172,4.105747,3.21546
2.8,7.5,0.117647,2.324856,4.103094,3.213975
2.9,7.5,0.117647,2.324627,4.101179,3.212903
3.0,7.5,0.117647,2.324487,4.100001,3.212244
3.1,7.5,0.117647,2.324435,4.099563,3.211999
3.2,7.5,0.117647,2.324456,4.099738,3.212097
3.3,7.5,0.117647,2.324517,4.100252,3.212385
3.4,7.5,0.117647,2.324655,4.101412,3.213034
3.5,7.5,0.117647,2.32487,4.103216,3.214043
3.6,7.5,0.117647,2.325163,4.105664,3.215413
3.7,7.5,0.117647,2.325532,4.108754,3.217143
3.8,7.5,0.117647,2.325959,4.112329,3.219144
3.9,7.5,0.117647,2.326405,4.116059,3.221232
4.0,7.5,0.117647,2.326879,4.120023,3.223451
4.1,7.5,0.117647,2.327392,4.124306,3.225849
4.2,7.5,0.117647,2.327969,4.129116,3.228542
4.3,7.5,0.117647,2.328609,4.134453,3.231531
4.4,7.5,0.117647,2.329313,4.140315,3.234814
4.5,7.5,0.117647,2.330081,4.146699,3.23839
4.6,7.5,0.117647,2.330912,4.153603,3.242257
4.7,7.5,0.117647,2.331732,4.160408,3.24607
4.8,7.5,0.117647,2.332604,4.167629,3.250116
4.9,7.5,0.117647,2.333384,4.174085,3.253735
5.0,7.5,0.117647,2.334088,4.179901,3.256995
0.0,8.0,0.111111,2.378185,4.53268,3.455432
0.1,8.0,0.111111,2.374582,4.504655,3.439619
0.2,8.0,0.111111,2.371103,4.477466,3.424284
0.3,8.0,0.111111,2.367748,4.451126,3.409437
0.4,8.0,0.111111,2.364517,4.425652,3.395085
0.5,8.0,0.111111,2.361412,4.401059,3.381236
0.6,8.0,0.111111,2.358432,4.377361,3.367897
0.7,8.0,0.111111,2.355578,4.354573,3.355076
0.8,8.0,0.111111,2.352851,4.332709,3.34278
0.9,8.0,0.111111,2.350251,4.311784,3.331017
1.0,8.0,0.111111,2.347778,4.291811,3.319794
1.1,8.0,0.111111,2.345433,4.272803,3.309118
1.2,8.0,0.111111,2.343216,4.254773,3.298995
1.3,8.0,0.111111,2.341128,4.237735,3.289431
1.4,8.0,0.111111,2.339168,4.221699,3.280434
1.5,8.0,0.111111,2.337338,4.206678,3.272008
1.6,8.0,0.111111,2.335637,4.192682,3.264159
1.7,8.0,0.111111,2.334066,4.179721,3.256894
1.8,8.0,0.111111,2.332625,4.167806,3.250215
1.9,8.0,0.111111,2.331314,4.156944,3.244129
2.0,8.0,0.111111,2.330134,4.147146,3.23864
2.1,8.0,0.111111,2.329085,4.138417,3.233751
2.2,8.0,0.111111,2.328166,4.130765,3.229466
2.3,8.0,0.111111,2.327379,4.124196,3.225787
2.4,8.0,0.111111,2.326723,4.118715,3.222719
2.5,8.0,0.111111,2.326198,4.114326,3.220262
2.6,8.0,0.111111,2.325721,4.110336,3.218028
2.7,8.0,0.111111,2.32531,4.106899,3.216105
2.8,8.0,0.111111,2.324987,4.104191,3.214589
2.9,8.0,0.111111,2.324751,4.102213,3.213482
3.0,8.0,0.111111,2.324602,4.100965,3.212783
3.1,8.0,0.111111,2.32454,4.100449,3.212495
3.2,8.0,0.111111,2.324555,4.100572,3.212564
3.3,8.0,0.111111,2.324606,4.101002,3.212804
3.4,8.0,0.111111,2.324734,4.10207,3.213402
3.5,8.0,0.111111,2.324937,4.103776,3.214357
3.6,8.0,0.111111,2.325217,4.10612,3.215668
3.7,8.0,0.111111,2.325573,4.109099,3.217336
3.8,8.0,0.111111,2.326005,4.112713,3.219359
3.9,8.0,0.111111,2.326442,4.116373,3.221407
4.0,8.0,0.111111,2.326899,4.120193,3.223546
4.1,8.0,0.111111,2.327398,4.124359,3.225878
4.2,8.0,0.111111,2.32796,4.129047,3.228504
4.3,8.0,0.111111,2.328585,4.134257,3.231421
4.4,8.0,0.111111,2.329273,4.139985,3.234629
4.5,8.0,0.111111,2.330024,4.14623,3.238127
4.6,8.0,0.111111,2.330834,4.152954,3.241894
4.7,8.0,0.111111,2.331634,4.159597,3.245616
4.8,8.0,0.111111,2.332486,4.166655,3.249571
4.9,8.0,0.111111,2.333254,4.173012,3.253133
5.0,8.0,0.111111,2.334003,4.179198,3.2566
0.0,8.5,0.105263,2.378185,4.53268,3.455432
0.1,8.5,0.105263,2.374612,4.504891,3.439752
0.2,8.5,0.105263,2.371162,4.477924,3.424543
0.3,8.5,0.105263,2.367833,4.451794,3.409813
0.4,8.5,0.105263,2.364627,4.426515,3.395571
0.5,8.5,0.105263,2.361544,4.402103,3.381823
0.6,8.5,0.105263,2.358584,4.378572,3.368578
0.7,8.5,0.105263,2.355749,4.355936,3.355843
0.8,8.5,0.105263,2.353038,4.33421,3.343624
0.9,8.5,0.105263,2.350452,4.313406,3.331929
1.0,8.5,0.105263,2.347992,4.293538,3.320765
1.1,8.5,0.105263,2.345657,4.27462,3.310138
1.2,8.5,0.105263,2.343448,4.256664,3.300056
1.3,8.5,0.105263,2.341366,4.239682,3.290524
1.4,8.5,0.105263,2.339411,4.223687,3.281549
1.5,8.5,0.105263,2.337582,4.208688,3.273135
1.6,8.5,0.105263,2.335882,4.194698,3.26529
1.7,8.5,0.105263,2.334309,4.181725,3.258017
1.8,8.5,0.105263,2.332864,4.169781,3.251322
1.9,8.5,0.105263,2.331547,4.158872,3.24521
2.0,8.5,0.105263,2.330358,4.149009,3.239684
2.1,8.5,0.105263,2.329299,4.140197,3.234748
2.2,8.5,0.105263,2.328368,4.132444,3.230406
2.3,8.5,0.105263,2.327566,4.125756,3.226661
2.4,8.5,0.105263,2.326893,4.120138,3.223515
2.5,8.5,0.105263,2.326349,4.115594,3.220972
2.6,8.5,0.105263,2.325894,4.111786,3.21884
2.7,8.5,0.105263,2.325471,4.108248,3.216859
2.8,8.5,0.105263,2.325134,4.105426,3.21528
2.9,8.5,0.105263,2.324883,4.103322,3.214102
3.0,8.5,0.105263,2.324718,4.101936,3.213327
3.1,8.5,0.105263,2.324638,4.10127,3.212954
3.2,8.5,0.105263,2.324644,4.101315,3.21298
3.3,8.5,0.105263,2.324677,4.101592,3.213134
3.4,8.5,0.105263,2.324784,4.102496,3.21364
3.5,8.5,0.105263,2.324967,4.104027,3.214497
3.6,8.5,0.105263,2.325225,4.106185,3.215705
3.7,8.5,0.105263,2.325557,4.108968,3.217263
3.8,8.5,0.105263,2.325964,4.112376,3.21917
3.9,8.5,0.105263,2.32641,4.116106,3.221258
4.0,8.5,0.105263,2.32685,4.119776,3.223313
4.1,8.5,0.105263,2.327325,4.123744,3.225535
4.2,8.5,0.105263,2.327862,4.128226,3.228044
4.3,8.5,0.105263,2.328461,4.133221,3.230841
4.4,8.5,0.105263,2.329122,4.138726,3.233924
4.5,8.5,0.105263,2.329845,4.14474,3.237292
4.6,8.5,0.105263,2.330629,4.151259,3.240944
4.7,8.5,0.105263,2.331403,4.157676,3.244539
4.8,8.5,0.105263,2.332221,4.16446,3.248341
4.9,8.5,0.105263,2.332991,4.170834,3.251913
5.0,8.5,0.105263,2.333732,4.176963,3.255348
0.0,9.0,0.1,2.378185,4.53268,3.455432
0.1,9.0,0.1,2.374653,4.505203,3.439928
0.2,9.0,0.1,2.371239,4.478531,3.424885
0.3,9.0,0.1,2.367945,4.452677,3.410311
0.4,9.0,0.1,2.364771,4.427657,3.396214
0.5,9.0,0.1,2.361718,4.403484,3.382601
0.6,9.0,0.1,2.358785,4.380172,3.369479
0.7,9.0,0.1,2.355974,4.357736,3.356855
0.8,9.0,0.1,2.353284,4.336188,3.344736
0.9,9.0,0.1,2.350717,4.315543,3.33313
1.0,9.0,0.1,2.348273,4.295813,3.322043
1.1,9.0,0.1,2.345951,4.27701,3.311481
1.2,9.0,0.1,2.343753,4.259148,3.30145
1.3,9.0,0.1,2.341679,4.242237,3.291958
1.4,9.0,0.1,2.339729,4.22629,3.283009
1.5,9.0,0.1,2.337903,4.211317,3.27461
1.6,9.0,0.1,2.336201,4.197329,3.266765
1.7,9.0,0.1,2.334625,4.184336,3.25948
1.8,9.0,0.1,2.333174,4.172346,3.25276
1.9,9.0,0.1,2.331848,4.161369,3.246609
2.0,9.0,0.1,2.330648,4.151413,3.24103
2.1,9.0,0.1,2.329574,4.142484,3.236029
2.2,9.0,0.1,2.328625,4.134591,3.231608
2.3,9.0,0.1,2.327803,4.127737,3.22777
2.4,9.0,0.1,2.327107,4.12193,3.224519
2.5,9.0,0.1,2.326538,4.117173,3.221855
2.6,9.0,0.1,2.326094,4.113463,3.219779
2.7,9.0,0.1,2.325661,4.109838,3.21775
2.8,9.0,0.1,2.325305,4.106857,3.216081
2.9,9.0,0.1,2.325033,4.104578,3.214806
3.0,9.0,0.1,2.324845,4.103001,3.213923
3.1,9.0,0.1,2.324741,4.102128,3.213435
3.2,9.0,0.1,2.324721,4.101959,3.21334
3.3,9.0,0.1,2.324742,4.10214,3.213441
3.4,9.0,0.1,2.324823,4.102821,3.213822
3.5,9.0,0.1,2.324978,4.104116,3.214547
3.6,9.0,0.1,2.325205,4.106023,3.215614
3.7,9.0,0.1,2.325506,4.108542,3.217024
3.8,9.0,0.1,2.32588,4.111672,3.218776
3.9,9.0,0.1,2.326327,4.115411,3.220869
4.0,9.0,0.1,2.326754,4.118975,3.222864
4.1,9.0,0.1,2.327197,4.12268,3.224938
4.2,9.0,0.1,2.327701,4.126887,3.227294
4.3,9.0,0.1,2.328266,4.131597,3.229931
4.4,9.0,0.1,2.328891,4.136805,3.232848
4.5,9.0,0.1,2.329577,4.142512,3.236044
4.6,9.0,0.1,2.330323,4.148714,3.239518
4.7,9.0,0.1,2.331074,4.15495,3.243012
4.8,9.0,0.1,2.331863,4.161491,3.246677
4.9,9.0,0.1,2.332613,4.167703,3.250158
5.0,9.0,0.1,2.333355,4.173844,3.2536
0.0,9.5,0.095238,2.378185,4.53268,3.455432
0.1,9.5,0.095238,2.374701,4.505582,3.440142
0.2,9.5,0.095238,2.371333,4.479267,3.4253
0.3,9.5,0.095238,2.368081,4.45375,3.410916
0.4,9.5,0.095238,2.364947,4.429042,3.396994
0.5,9.5,0.095238,2.361929,4.40516,3.383544
0.6,9.5,0.095238,2.359029,4.382114,3.370572
0.7,9.5,0.095238,2.356247,4.35992,3.358084
0.8,9.5,0.095238,2.353584,4.33859,3.346087
0.9,9.5,0.095238,2.351039,4.318137,3.334588
1.0,9.5,0.095238,2.348614,4.298573,3.323594
1.1,9.5,0.095238,2.346309,4.279911,3.31311
1.2,9.5,0.095238,2.344124,4.262163,3.303143
1.3,9.5,0.095238,2.342059,4.245339,3.293699
1.4,9.5,0.095238,2.340115,4.229451,3.284783
1.5,9.5,0.095238,2.338292,4.21451,3.276401
1.6,9.5,0.095238,2.33659,4.200526,3.268558
1.7,9.5,0.095238,2.335009,4.187507,3.261258
1.8,9.5,0.095238,2.333551,4.175464,3.254508
1.9,9.5,0.095238,2.332214,4.164405,3.24831
2.0,9.5,0.095238,2.331,4.154337,3.242669
2.1,9.5,0.095238,2.329908,4.145268,3.237588
2.2,9.5,0.095238,2.328939,4.137204,3.233072
2.3,9.5,0.095238,2.328093,4.130152,3.229122
2.4,9.5,0.095238,2.327369,4.124116,3.225743
2.5,9.5,0.095238,2.326769,4.119101,3.222935
2.6,9.5,0.095238,2.326291,4.115111,3.220701
2.7,9.5,0.095238,2.325884,4.111705,3.218795
2.8,9.5,0.095238,2.325505,4.108531,3.217018
2.9,9.5,0.095238,2.325207,4.106038,3.215623
3.0,9.5,0.095238,2.324991,4.10423,3.21461
3.1,9.5,0.095238,2.324857,4.103105,3.213981
3.2,9.5,0.095238,2.324805,4.102665,3.213735
3.3,9.5,0.095238,2.324814,4.102744,3.213779
3.4,9.5,0.095238,2.324863,4.103157,3.21401
3.5,9.5,0.095238,2.324984,4.104167,3.214576
3.6,9.5,0.095238,2.325176,4.105773,3.215474
3.7,9.5,0.095238,2.325438,4.107974,3.216706
3.8,9.5,0.095238,2.325772,4.11077,3.218271
3.9,9.5,0.095238,2.326178,4.114159,3.220168
4.0,9.5,0.095238,2.326632,4.117955,3.222293
4.1,9.5,0.095238,2.327037,4.121345,3.224191
4.2,9.5,0.095238,2.327502,4.125226,3.226364
4.3,9.5,0.095238,2.328026,4.129594,3.22881
4.4,9.5,0.095238,2.328608,4.134449,3.231529
4.5,9.5,0.095238,2.32925,4.139789,3.234519
4.6,9.5,0.095238,2.32995,4.145611,3.237781
4.7,9.5,0.095238,2.33068,4.151683,3.241182
4.8,9.5,0.095238,2.331422,4.157836,3.244629
4.9,9.5,0.095238,2.332148,4.163859,3.248004
5.0,9.5,0.095238,2.332896,4.170048,3.251472
0.0,10.0,0.090909,2.378185,4.53268,3.455432
0.1,10.0,0.090909,2.374757,4.506018,3.440388
0.2,10.0,0.090909,2.371442,4.480116,3.425779
0.3,10.0,0.090909,2.368239,4.454985,3.411612
0.4,10.0,0.090909,2.365149,4.430639,3.397894
0.5,10.0,0.090909,2.362172,4.407091,3.384632
0.6,10.0,0.090909,2.35931,4.384354,3.371832
0.7,10.0,0.090909,2.356562,4.36244,3.359501
0.8,10.0,0.090909,2.353929,4.341362,3.347646
0.9,10.0,0.090909,2.351411,4.321133,3.336272
1.0,10.0,0.090909,2.349009,4.301763,3.325386
1.1,10.0,0.090909,2.346723,4.283266,3.314994
1.2,10.0,0.090909,2.344553,4.265651,3.305102
1.3,10.0,0.090909,2.342499,4.248931,3.295715
1.4,10.0,0.090909,2.340563,4.233116,3.286839
1.5,10.0,0.090909,2.338743,4.218215,3.278479
1.6,10.0,0.090909,2.337041,4.204239,3.27064
1.7,10.0,0.090909,2.335457,4.191197,3.263327
1.8,10.0,0.090909,2.333991,4.179097,3.256544
1.9,10.0,0.090909,2.332642,4.167949,3.250296
2.0,10.0,0.090909,2.331413,4.157759,3.244586
2.1,10.0,0.090909,2.330301,4.148534,3.239418
2.2,10.0,0.090909,2.329309,4.140282,3.234795
2.3,10.0,0.090909,2.328435,4.133007,3.230721
2.4,10.0,0.090909,2.327681,4.126715,3.227198
2.5,10.0,0.090909,2.327045,4.121411,3.224228
2.6,10.0,0.090909,2.326529,4.117098,3.221814
2.7,10.0,0.090909,2.326123,4.113703,3.219913
2.8,10.0,0.090909,2.325738,4.11048,3.218109
2.9,10.0,0.090909,2.325411,4.107748,3.216579
3.0,10.0,0.090909,2.325164,4.105677,3.21542
3.1,10.0,0.090909,2.324996,4.104268,3.214632
3.2,10.0,0.090909,2.324907,4.103522,3.214215
3.3,10.0,0.090909,2.324897,4.10344,3.214169
3.4,10.0,0.090909,2.324915,4.103594,3.214255
3.5,10.0,0.090909,2.324998,4.104283,3.214641
3.6,10.0,0.090909,2.325149,4.10555,3.21535
3.7,10.0,0.090909,2.325369,4.107394,3.216382
3.8,10.0,0.090909,2.325658,4.109814,3.217736
3.9,10.0,0.090909,2.326016,4.112808,3.219412
4.0,10.0,0.090909,2.326443,4.116376,3.221409
4.1,10.0,0.090909,2.326864,4.119895,3.223379
4.2,10.0,0.090909,2.327284,4.123407,3.225346
4.3,10.0,0.090909,2.327762,4.127393,3.227577
4.4,10.0,0.090909,2.328296,4.13185,3.230073
4.5,10.0,0.090909,2.328888,4.136778,3.232833
4.6,10.0,0.090909,2.329536,4.142174,3.235855
4.7,10.0,0.090909,2.330242,4.148037,3.239139
4.8,10.0,0.090909,2.330937,4.153816,3.242377
4.9,10.0,0.090909,2.331646,4.159697,3.245672
5.0,10.0,0.090909,2.332344,4.16548,3.248912
