model,kt_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowKt,36,285,7.125370452613847,5.889283859649123,3.6893175438596493,0.34064627660157254
M10_CV_RADDEF,LowKt,36,285,5.861273007536733,4.954563407445069,2.45240119340253,0.3788273098533557
M0_OFFICIAL,MidKt,63,499,4.405300944023556,3.2603815631262525,0.7450949899799598,0.6525777862488458
M10_CV_RADDEF,MidKt,63,499,3.9490810361193485,3.0180078267581405,0.13080711899467237,0.683256578794539
M0_OFFICIAL,HighKt,24,191,2.7271150338025025,1.8941638743455498,-1.2407795811518325,0.8839074851861217
M10_CV_RADDEF,HighKt,24,191,2.7752645502773596,2.002224102591752,-1.481344444241375,0.8801218625253756
