group,n_points,n_days,rmse_c,mae_c,mbe_c,r2,pearson_r
All matched,55756,7036,2.6852,1.7606,0.2655,0.9662,0.983
May-Sep,22720,2867,2.5808,1.5881,0.4195,0.8391,0.916
All DTR>=15,3346,426,5.5527,4.0152,0.8296,0.8388,0.9158
May-Sep DTR>=15,1664,210,5.3844,3.7193,1.3562,0.5429,0.7369
All DTR>=20,172,22,9.4396,7.6665,2.314,0.4752,0.6894
May-Sep DTR>=20,71,9,9.7819,8.0932,4.2661,0.0762,0.2761
