model,cloud_group,n_days,n,rmse,mae,mbe,r2
M0_OFFICIAL,LowCloud,28,223,2.7820161933711622,1.92035067264574,-1.027208071748879,0.8656139602410953
M12_DSSAT_CLOUDS,LowCloud,28,223,2.765015474204248,1.9183927620027759,-1.1083608635177584,0.865719363873555
M0_OFFICIAL,MidCloud,63,499,4.732388184430381,3.5202573146292586,0.9467895791583165,0.6226103229964406
M12_DSSAT_CLOUDS,MidCloud,63,499,4.245688799888573,3.2413964868488474,0.4291673321963167,0.6607646466426526
M0_OFFICIAL,HighCloud,32,253,7.0774508752195695,5.85895256916996,3.72683162055336,0.34776578794664226
M12_DSSAT_CLOUDS,HighCloud,32,253,5.783313342163692,4.903489971707695,2.4890479580220584,0.39014866158715167
