solar_date,month,season,n_points,formal_dtr_c,daily_rmse_c,daily_mae_c,daily_mbe_c
2000-04-06,4,Other,8,13.4,1.6657,1.5335,-0.4977
2000-04-07,4,Other,8,10.0,2.2459,2.0301,1.0728
2000-04-08,4,Other,8,8.8,1.4016,1.1288,0.874
2000-04-09,4,Other,8,14.7,2.7045,1.6209,-1.5363
2000-04-10,4,Other,8,8.2,2.6405,2.0416,1.6489
2000-04-11,4,Other,8,11.0,5.5925,4.6534,2.4993
2000-04-12,4,Other,8,10.5,2.816,1.6276,-1.1803
2000-04-13,4,Other,8,11.1,2.3783,1.8495,-1.5407
2000-04-14,4,Other,8,7.6,1.0701,0.8707,0.5671
2000-04-15,4,Other,8,11.0,1.589,1.4229,-0.73
2000-04-16,4,Other,8,7.3,1.5948,0.8404,0.4751
2000-04-17,4,Other,8,9.6,2.4935,2.0245,1.7716
2000-04-18,4,Other,8,7.2,0.918,0.7857,0.1319
2000-04-19,4,Other,8,12.7,1.1719,0.9628,-0.7889
2000-04-20,4,Other,7,11.5,1.263,0.8321,-0.7189
2000-04-21,4,Other,7,13.8,1.2403,0.8901,-0.8901
2000-04-22,4,Other,7,7.7,2.9881,2.5342,2.3199
2000-04-23,4,Other,8,9.5,0.9593,0.718,-0.141
2000-04-24,4,Other,6,12.6,1.5498,1.3816,-1.1493
2000-04-25,4,Other,7,13.5,1.4647,1.0888,-0.7795
2000-04-26,4,Other,8,10.1,1.4828,1.0267,-0.3537
2000-04-27,4,Other,8,8.6,5.064,4.5456,3.2609
2000-04-28,4,Other,8,11.4,1.0735,0.8637,-0.606
2000-04-29,4,Other,8,13.2,1.3001,1.1552,-0.6853
2000-04-30,4,Other,8,9.3,0.9061,0.7544,0.7103
2000-05-01,5,May-Sep,8,9.6,0.6458,0.5638,-0.0228
2000-05-02,5,May-Sep,8,10.9,4.336,3.6955,0.0225
2000-05-03,5,May-Sep,8,8.6,1.2255,0.9277,-0.6941
2000-05-04,5,May-Sep,8,13.0,1.9197,1.3145,-1.2735
2000-05-05,5,May-Sep,7,11.6,2.9235,1.725,0.9899
2000-05-06,5,May-Sep,8,24.2,12.3934,10.4035,8.743
2000-05-07,5,May-Sep,8,13.1,2.2726,1.5284,-0.8996
2000-05-08,5,May-Sep,8,13.0,1.6423,1.4194,-0.5891
2000-05-09,5,May-Sep,8,16.2,1.1348,0.8886,-0.4542
2000-05-10,5,May-Sep,8,11.6,0.9777,0.8686,-0.2539
2000-05-11,5,May-Sep,8,12.5,2.8152,1.8071,1.0637
2000-05-12,5,May-Sep,7,11.9,5.103,3.9865,3.3518
2000-05-13,5,May-Sep,8,9.1,1.3573,0.9926,-0.0904
2000-05-14,5,May-Sep,8,9.3,2.2203,1.6825,0.4688
2000-05-15,5,May-Sep,8,9.3,0.6123,0.4688,0.0631
2000-05-16,5,May-Sep,8,13.0,1.3503,1.1043,-0.8449
2000-05-17,5,May-Sep,8,15.3,1.4657,1.1301,-0.9294
2000-05-18,5,May-Sep,8,15.7,1.5231,1.2373,-0.7507
2000-05-19,5,May-Sep,8,10.0,2.2357,1.771,1.587
2000-05-20,5,May-Sep,8,9.2,0.8442,0.637,0.0186
2000-05-21,5,May-Sep,8,13.8,1.6277,1.2617,-0.3883
2000-05-22,5,May-Sep,8,18.3,8.621,7.6222,5.8335
2000-05-23,5,May-Sep,8,5.7,0.8901,0.7679,-0.063
2000-05-24,5,May-Sep,8,10.8,1.0308,0.8765,-0.7052
2000-05-25,5,May-Sep,8,13.4,1.7887,1.1924,-1.0633
2000-05-26,5,May-Sep,8,7.4,2.4926,2.1708,2.0541
2000-05-27,5,May-Sep,7,9.3,3.253,2.347,2.1533
2000-05-28,5,May-Sep,8,12.3,1.6018,1.3107,0.448
2000-05-29,5,May-Sep,8,12.8,2.1155,1.6902,-1.0233
2000-05-30,5,May-Sep,8,8.7,0.6631,0.6017,-0.254
2000-05-31,5,May-Sep,8,10.9,0.9264,0.774,-0.4277
2000-06-01,6,May-Sep,8,10.5,2.8885,2.3926,1.6431
2000-06-02,6,May-Sep,8,8.9,4.1431,3.2037,0.8365
2000-06-03,6,May-Sep,8,7.5,1.3275,1.1576,0.3206
2000-06-04,6,May-Sep,8,10.0,3.0203,2.4939,1.881
2000-06-05,6,May-Sep,8,8.0,0.4396,0.4033,-0.2125
2000-06-06,6,May-Sep,8,16.1,1.7631,1.2537,-0.8426
2000-06-07,6,May-Sep,8,14.8,1.3518,1.0519,-0.8316
2000-06-08,6,May-Sep,8,14.5,1.9514,1.5067,-0.96
2000-06-09,6,May-Sep,7,9.8,4.8494,3.9997,3.9997
2000-06-10,6,May-Sep,8,10.0,5.0731,4.3735,3.3854
2000-06-11,6,May-Sep,8,6.7,3.7045,3.2994,2.4174
2000-06-12,6,May-Sep,8,7.4,1.6706,1.3685,-0.5637
2000-06-13,6,May-Sep,8,12.9,1.6071,1.2857,-0.9357
2000-06-14,6,May-Sep,8,11.0,0.8192,0.7036,-0.3949
2000-06-15,6,May-Sep,8,7.9,0.8884,0.7731,-0.2854
2000-06-16,6,May-Sep,8,10.7,0.9848,0.7253,-0.4128
2000-06-17,6,May-Sep,8,8.1,0.7845,0.573,0.4335
2000-06-18,6,May-Sep,8,9.7,3.6269,3.2228,1.7751
2000-06-19,6,May-Sep,8,11.4,1.6225,1.0579,-0.5309
2000-06-20,6,May-Sep,8,10.2,0.9639,0.8861,-0.1119
2000-06-21,6,May-Sep,8,9.2,0.7502,0.6335,-0.2255
2000-06-22,6,May-Sep,7,7.7,1.2521,1.0766,0.0911
2000-06-23,6,May-Sep,8,10.1,1.6937,1.4477,0.3089
2000-06-24,6,May-Sep,8,11.8,1.3566,0.9654,-0.6236
2000-06-25,6,May-Sep,8,10.0,0.9504,0.7517,-0.4833
2000-06-26,6,May-Sep,8,12.9,1.4924,1.2869,-0.249
2000-06-27,6,May-Sep,8,12.3,0.947,0.7765,-0.4788
2000-06-28,6,May-Sep,8,13.4,0.8849,0.7974,-0.1913
2000-06-29,6,May-Sep,8,9.6,4.2873,3.7138,3.3621
2000-06-30,6,May-Sep,8,9.9,2.6984,2.2133,0.5296
2000-07-01,7,May-Sep,8,10.3,0.7615,0.6388,0.0617
2000-07-02,7,May-Sep,8,10.3,3.9434,2.5073,2.1587
2000-07-03,7,May-Sep,8,11.3,3.2883,2.7948,2.3417
2000-07-04,7,May-Sep,8,9.1,1.0644,0.7851,-0.3257
2000-07-05,7,May-Sep,7,10.8,1.0189,0.8232,-0.4167
2000-07-06,7,May-Sep,8,12.9,0.6332,0.3793,-0.2467
2000-07-07,7,May-Sep,8,14.1,1.1325,0.9093,-0.5877
2000-07-08,7,May-Sep,8,10.6,0.6153,0.5047,0.1803
2000-07-09,7,May-Sep,8,12.0,0.5817,0.4546,-0.282
2000-07-10,7,May-Sep,8,14.7,0.8915,0.7176,-0.0563
2000-07-11,7,May-Sep,7,11.7,1.564,1.1555,0.8205
2000-07-12,7,May-Sep,6,10.5,1.927,1.7643,-0.2402
2000-07-13,7,May-Sep,8,9.4,2.0118,1.632,1.3317
2000-07-14,7,May-Sep,8,11.6,0.8655,0.6452,-0.3071
2000-07-15,7,May-Sep,7,10.2,5.7553,5.0602,3.4179
2000-07-16,7,May-Sep,7,9.7,1.4032,1.1431,-0.0401
2000-07-17,7,May-Sep,9,6.1,2.9665,2.5899,2.1365
2000-07-18,7,May-Sep,8,6.6,1.6606,1.3471,0.396
2000-07-19,7,May-Sep,8,9.3,1.0241,0.8213,0.0095
2000-07-20,7,May-Sep,8,9.4,1.1372,0.9151,-0.245
2000-07-21,7,May-Sep,8,9.6,0.9939,0.7603,-0.3859
2000-07-22,7,May-Sep,7,8.4,1.8465,1.4935,0.9505
2000-07-23,7,May-Sep,8,6.8,1.6949,1.3651,0.0266
2000-07-24,7,May-Sep,8,8.9,1.157,0.8412,-0.2772
2000-07-25,7,May-Sep,8,3.4,1.5261,1.263,1.0396
2000-07-26,7,May-Sep,8,11.5,1.1484,0.8071,-0.6369
2000-07-27,7,May-Sep,8,8.7,0.4515,0.4141,-0.0742
2000-07-28,7,May-Sep,8,13.3,1.1446,0.8969,-0.8252
2000-07-29,7,May-Sep,8,11.1,1.2138,0.9863,-0.1756
2000-07-30,7,May-Sep,8,10.2,2.3643,2.0511,0.1251
2000-07-31,7,May-Sep,8,7.0,1.0072,0.8977,0.3949
2000-08-01,8,May-Sep,8,9.1,1.9564,1.6169,0.8337
2000-08-02,8,May-Sep,8,9.2,1.3875,1.115,0.6308
2000-08-03,8,May-Sep,8,10.8,1.0196,0.8422,0.4009
2000-08-04,8,May-Sep,8,10.7,5.2056,4.2548,3.1458
2000-08-05,8,May-Sep,8,9.8,0.6644,0.5575,-0.3767
2000-08-06,8,May-Sep,8,12.6,0.769,0.5685,-0.3772
2000-08-07,8,May-Sep,8,13.8,0.4679,0.4264,0.1488
2000-08-08,8,May-Sep,8,13.5,0.7591,0.4869,-0.3086
2000-08-09,8,May-Sep,8,11.0,1.2274,1.0997,0.0118
2000-08-10,8,May-Sep,7,11.1,5.239,4.3709,4.3612
2000-08-11,8,May-Sep,7,9.3,2.4357,1.7725,0.8362
2000-08-12,8,May-Sep,8,7.5,0.5725,0.4063,0.0484
2000-08-13,8,May-Sep,8,13.0,0.8474,0.6604,-0.5654
2000-08-14,8,May-Sep,8,13.1,1.74,1.1881,-0.8838
2000-08-15,8,May-Sep,7,7.7,0.9453,0.8062,0.2734
2000-08-16,8,May-Sep,8,10.6,0.9471,0.7718,-0.2618
2000-08-17,8,May-Sep,8,11.7,0.9126,0.799,-0.3411
2000-08-18,8,May-Sep,8,10.0,5.3507,4.7084,2.9277
2000-08-19,8,May-Sep,8,7.1,1.2613,0.9416,-0.5515
2000-08-20,8,May-Sep,8,10.8,0.7582,0.6172,-0.2076
2000-08-21,8,May-Sep,8,13.4,1.3297,1.1052,-0.4662
