alpha,cal_rmse_all,cal_rmse_dtr_ge15,balanced_score
0.0,2.4388791940636025,5.735872222075957,1.0
0.005,2.438746136906244,5.73449938408535,0.9998530504094345
0.01,2.43861330610821,5.733128627889668,0.9997063286968152
0.015,2.4384807017064904,5.7317599549825005,0.9995598349999227
0.02,2.4383483237380226,5.730393366856594,0.9994135694564534
0.025,2.4382161722396867,5.729028865003844,0.9992675322040176
0.03,2.4380842472483097,5.727666450915289,0.9991217233801405
0.035,2.4379525488006624,5.726306126081104,0.9989761431222599
0.04,2.43782107693346,5.7249478919905945,0.9988307915677266
0.045,2.4376898316833633,5.723591750132187,0.9986856688538038
0.05,2.437558813086978,5.72223770199343,0.9985407751176668
0.055,2.4374280211808528,5.720885749060979,0.9983961104964013
0.06,2.437297456001483,5.719535892820594,0.9982516751270041
0.065,2.437167117585307,5.718188134757134,0.9981074691463816
0.07,2.4370370059687088,5.716842476354548,0.9979634926913498
0.075,2.436907121188016,5.715498919095869,0.9978197458986333
0.08,2.4367774632795007,5.71415746446321,0.9976762289048655
0.085,2.4366480322793804,5.712818113937755,0.9975329418465868
0.09,2.4365188282238153,5.711480868999752,0.9973898848602452
0.095,2.436389851148911,5.710145731128508,0.9972470580821946
0.1,2.436261101090717,5.7088127018023815,0.9971044616486954
0.105,2.4361325780852265,5.7074817824987765,0.9969620956959129
0.11,2.436004282168378,5.706152974694137,0.9968199603599175
0.115,2.4358762133760528,5.704826279863937,0.9966780557766834
0.12,2.4357483717440767,5.703501699482679,0.9965363820820891
0.125,2.4356207573082194,5.7021792350238805,0.9963949394119149
0.13,2.435493370104195,5.700858887960074,0.9962537279018446
0.135,2.4353662101676607,5.699540659762797,0.9961127476874634
0.14,2.4352392775342184,5.698224551902587,0.9959719989042576
0.145,2.435112572239413,5.696910565848973,0.9958314816876144
0.15,2.434986094318733,5.69559870307047,0.9956911961728208
0.155,2.4348598438076117,5.6942889650345725,0.9955511424950636
0.16,2.434733820741425,5.692981353207746,0.9954113207894282
0.165,2.4346080251554927,5.691675869055426,0.9952717311908985
0.17,2.4344824570850783,5.690372514042002,0.9951323738343558
0.175,2.434357116565389,5.68907128963082,0.994993248854579
0.18,2.434232003631574,5.68777219728417,0.994854356386243
0.185,2.434107118318728,5.686475238463282,0.994715696563919
0.19,2.4339824606618876,5.6851804146283165,0.994577269522073
0.195,2.4338580306960336,5.683887727238364,0.9944390753950667
0.2,2.4337338284560888,5.68259717775143,0.9943011143171548
0.205,2.4336098539769204,5.681308767624433,0.9941633864224864
0.21,2.433486107293339,5.680022498313201,0.9940258918451035
0.215,2.433362588440097,5.678738371272455,0.9938886307189396
0.22,2.4332392974518906,5.677456387955813,0.9937516031778212
0.225,2.4331162343633586,5.676176549815775,0.9936148093554649
0.23,2.432993399209084,5.674898858303723,0.9934782493854785
0.235,2.4328707920235915,5.673623314869908,0.9933419234013594
0.24,2.432748412841349,5.672349920963448,0.9932058315364947
0.245,2.432626261696767,5.671078678032319,0.9930699739241599
0.25,2.432504338624199,5.669809587523348,0.992934350697519
0.255,2.432382643657942,5.668542650882209,0.9927989619896237
0.26,2.4322611768322346,5.66727786955341,0.992663807933412
0.265,2.4321399381812587,5.666015244980294,0.9925288886617087
0.27,2.4320189277391377,5.664754778605028,0.9923942043072246
0.275,2.431898145539939,5.663496471868594,0.992259755002555
0.28,2.4317775916176725,5.662240326210789,0.9921255408801806
0.285,2.431657266006289,5.660986343070211,0.9919915620724653
0.29,2.4315371687396827,5.659734523884255,0.9918578187116567
0.295,2.4314172998516907,5.65848487008911,0.9917243109298851
0.3,2.4312976593760918,5.657237383119743,0.9915910388591629
0.305,2.4311782473466064,5.6559920644099035,0.9914580026313841
0.31,2.4310590637968987,5.654748915392107,0.9913252023783234
