Bnight,objective_mean_block_rmse,cal_active_night_rmse,block_2000_2004_rmse,block_2005_2008_rmse,block_2009_2012_rmse,block_2013_2016_rmse,blocks_better_than_B2p2
1.0,2.996036287739215,2.920294209921259,2.4968462356524066,3.037344574913805,3.345375880459866,3.1045784599307824,4
1.1,2.996154840389235,2.9198378967594993,2.4948153302205265,3.04143012718081,3.3504405704801123,3.0979333336754906,4
1.2,2.998681002507756,2.9218581116118907,2.4957521769235806,3.0479534583332306,3.357345660784575,3.0936727139896387,4
1.3,3.0035328224120037,2.926271462547638,2.4995601716305926,3.0568177446617364,3.366015457123398,3.091737916232288,4
1.4,3.0106170812140562,2.9329830068768348,2.5061260237324494,3.0679159077214124,3.3763677357091844,3.092058657693179,4
1.5,3.0198308559356746,2.941887842867358,2.51532203541505,3.081132305987843,3.388314837695935,3.09455424464387,4
1.6,3.031063160784232,2.9528727774614634,2.527008544627694,3.096344456654151,3.4017647713589114,3.0991348704961728,4
1.7,3.0441966171061603,2.965818021420441,2.5410364402154024,3.113424742064891,3.4166222987618946,3.1057029873824527,4
1.8,3.059109106120197,2.980598866933835,2.557249663698209,3.1322420606315773,3.4327899863704596,3.1141547137805423,4
1.9,3.0756753640475276,2.997087308074037,2.575487622649366,3.1526633885946502,3.4501692021916384,3.124381242754455,4
2.0,3.093768486064609,3.0151535709929393,2.595587454064581,3.174555226125671,3.4686610453841267,3.1362702186840563,4
2.1,3.1132613129674107,3.0346675278802033,2.6173860910131177,3.197784908492401,3.4881671976997137,3.1497070546644106,4
2.2,3.134027681975096,3.0554999759201165,2.640722100859727,3.222221769916633,3.508590689425076,3.164576167698949,0
2.3,3.1559435302458274,3.07752376937163,2.6654372773585497,3.2477381540245354,3.529836575566812,3.1807621140334126,0
2.4,3.178887846084588,3.1006147991364243,2.6913779811892615,3.2742102702147076,3.5518125207708,3.1981506121635843,0
2.5,3.202743468279694,3.1246528195649756,2.718396233600854,3.3015188997432228,3.5744292938332833,3.2166294459414164,0
2.6,3.227397738414484,3.149522126674495,2.7463505756029623,3.3295499588247552,3.59760117461976,3.2360892446104588,0
2.7,3.252743014361461,3.1751120953941503,2.7751067106723295,3.358194928616325,3.6212462777582286,3.256424140398961,0
2.8,3.2786770555450753,3.2013175859567404,2.804537952447388,3.387351163671942,3.645286798635059,3.2775323074259126,0
2.9,3.3051032920679515,3.2280392312113437,2.8345255006771612,3.416922091445632,3.6696491880275657,3.2993163881214467,0
3.0,3.331930990568736,3.2551836175547355,2.864958569114787,3.44681731580205,3.694264262199302,3.3216838151588055,0
3.1,3.359075329859424,3.28266337249795,2.8957343884375812,3.476952637393022,3.7190672555081963,3.3445470380988973,0
3.2,3.386457399112312,3.310397171725482,2.9267581059398466,3.5072500032921,3.743997822581015,3.367823664636288,0
3.3,3.414004130754969,3.3383096779868833,2.957942601941613,3.5376373975517548,3.7689999969353636,3.3914365265911437,0
3.4,3.4416481793922467,3.366331423389226,2.9892082407962928,3.568048683448213,3.794022112624384,3.4153136807000974,0
3.5,3.4693277570952947,3.394398645723391,3.020482572224205,3.5984234071800683,3.8190166950763786,3.439388353900527,0
