trial_id,model,config,seed,status,best_val,epoch,checkpoint,ended_at
PCA_RIDGE,PCA+Ridge,{},20260902,DONE,0.18402294513370346,1,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\models\ridge.pkl,2026-09-02T20:52:05+08:00
CNN_3323eb1e2d_seed20260902,CNN,"{""batch_size"": 128, ""dropout"": 0.05, ""lr"": 0.001, ""width"": 16}",20260902,DONE,0.07630620896816254,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\CNN_3323eb1e2d_seed20260902\best.pt,2026-09-02T20:52:11+08:00
CNN_d62319ef4b_seed20260902,CNN,"{""batch_size"": 128, ""dropout"": 0.1, ""lr"": 0.0007, ""width"": 32}",20260902,DONE,0.0751907154917717,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\CNN_d62319ef4b_seed20260902\best.pt,2026-09-02T20:52:21+08:00
TCN_3323eb1e2d_seed20260902,TCN,"{""batch_size"": 128, ""dropout"": 0.05, ""lr"": 0.001, ""width"": 16}",20260902,DONE,0.11180438101291656,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\TCN_3323eb1e2d_seed20260902\best.pt,2026-09-02T20:52:32+08:00
TCN_d62319ef4b_seed20260902,TCN,"{""batch_size"": 128, ""dropout"": 0.1, ""lr"": 0.0007, ""width"": 32}",20260902,DONE,0.07579351216554642,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\TCN_d62319ef4b_seed20260902\best.pt,2026-09-02T20:53:12+08:00
BiLSTM_ee8938d871_seed20260902,BiLSTM,"{""batch_size"": 96, ""dropout"": 0.05, ""lr"": 0.001, ""width"": 16}",20260902,DONE,0.07999640703201294,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\BiLSTM_ee8938d871_seed20260902\best.pt,2026-09-02T20:53:14+08:00
BiLSTM_5b974d6164_seed20260902,BiLSTM,"{""batch_size"": 96, ""dropout"": 0.1, ""lr"": 0.0007, ""width"": 32}",20260902,DONE,0.07965933531522751,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\BiLSTM_5b974d6164_seed20260902\best.pt,2026-09-02T20:53:16+08:00
Transformer_e8cf0fa4cd_seed20260902,Transformer,"{""batch_size"": 96, ""dropout"": 0.05, ""heads"": 4, ""input_stride"": 7, ""lr"": 0.001, ""patch_days"": 7, ""width"": 16}",20260902,DONE,0.0773438885807991,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\Transformer_e8cf0fa4cd_seed20260902\best.pt,2026-09-02T21:05:06+08:00
Transformer_f5197dd309_seed20260902,Transformer,"{""batch_size"": 96, ""dropout"": 0.1, ""heads"": 4, ""input_stride"": 7, ""lr"": 0.0007, ""patch_days"": 14, ""width"": 32}",20260902,DONE,0.07427944242954254,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\Transformer_f5197dd309_seed20260902\best.pt,2026-09-02T21:08:14+08:00
Transformer_f3f73cdf4a_seed20260902,Transformer,"{""batch_size"": 96, ""dropout"": 0.1, ""heads"": 4, ""input_stride"": 7, ""lr"": 0.0007, ""patch_days"": 28, ""width"": 32}",20260902,DONE,0.07495511323213577,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\Transformer_f3f73cdf4a_seed20260902\best.pt,2026-09-02T21:09:09+08:00
CNN_5cfefc7f2c_seed20260902,CNN,"{""batch_size"": 128, ""dropout"": 0.05, ""lr"": 0.00085, ""width"": 16}",20260902,DONE,0.07732024043798447,2,D:\SWAT+_3V3\Q\projects\SWATPlus-PISO-Cal\artifacts\a1\checkpoints\CNN_5cfefc7f2c_seed20260902\best.pt,2026-09-02T21:09:14+08:00
