model,seasonal,q,beta,CV_RMSE_C,CV_n
REG_POOLED_Q0,False,0.0,1.0929385078851328,1.899123604693312,2564
REG_POOLED_Q0.5,False,0.5,1.4944474392498015,1.9844117478161272,2564
REG_POOLED_Q1,False,1.0,1.7792737793736066,2.074860470539966,2564
REG_SEASONAL_Q0,True,0.0,1.1085040032549534,1.8910221954339166,2564
REG_SEASONAL_Q0.5,True,0.5,1.5271121449020657,1.9788014396035827,2564
REG_SEASONAL_Q1,True,1.0,1.9294504359168796,2.0632181714499196,2564
