model,split,group,days,n,RMSE_C,MAE_C,Bias_C
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,MaySep,748,5917,2.771266482011928,1.8413666867307052,-0.030707257822336177
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.671718844891341,3.3971851185414597,0.04256124947900695
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,Day,748,3611,3.0410882713407066,1.9419039530857654,0.66693557964861
REG_SEASONAL_Q0,legacy_benchmark_2017_2024,Night,748,2306,2.2856275890943305,1.6839338728503406,-1.1231566446859906
REG_SEASONAL_Q0.5,calibration_2000_2016,MaySep,2119,16803,2.373864211058387,1.4595394720487498,0.34778758565594875
REG_SEASONAL_Q0.5,calibration_2000_2016,DTR_GE15,87,689,5.218300655930186,3.3253581608408034,0.46649074889111386
REG_SEASONAL_Q0.5,calibration_2000_2016,Day,2119,10240,2.5172030896613466,1.4675275998173105,0.7354896021988508
REG_SEASONAL_Q0.5,calibration_2000_2016,Night,2119,6563,2.131047300643028,1.44707589923905,-0.2571291672618202
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,MaySep,748,5917,2.783161881516021,1.8440149156631906,0.026534870376182632
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.67898167768459,3.4107994404892454,-0.003975751207304101
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,Day,748,3611,3.0591906794094337,1.9550631641572676,0.694190434404212
REG_SEASONAL_Q0.5,legacy_benchmark_2017_2024,Night,748,2306,2.2848862986259717,1.6701227971410264,-1.0189569950640662
REG_SEASONAL_Q1,calibration_2000_2016,MaySep,2119,16803,2.382715392103386,1.4577139501186027,0.3875597260378646
REG_SEASONAL_Q1,calibration_2000_2016,DTR_GE15,87,689,5.214387163302912,3.305686944315121,0.5404336897280276
REG_SEASONAL_Q1,calibration_2000_2016,Day,2119,10240,2.5369124883466325,1.4763861266233058,0.7557070187864718
REG_SEASONAL_Q1,calibration_2000_2016,Night,2119,6563,2.1198419259004964,1.4285804612555588,-0.18684653295127757
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,MaySep,748,5917,2.8037374404132263,1.8479343715322427,0.1033925451641592
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,DTR_GE15,122,967,4.6757856533306486,3.402250011369817,0.06555657828117664
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,Day,748,3611,3.093192436136424,1.9717644631001077,0.7306519531809863
REG_SEASONAL_Q1,legacy_benchmark_2017_2024,Night,748,2306,2.27773788474815,1.6540269731577584,-0.8788423734606293
