model,group,days,n,RMSE_C,MAE_C,Bias_C
HTEMP_ORIGINAL,MaySep,748,5917,2.946890233317634,1.9135321758142145,0.33682363261987763
M15_13P5,MaySep,748,5917,2.7962235463186444,1.8405880001994794,0.122533744673019
M15_13P8,MaySep,748,5917,2.8015486281146225,1.8415830966961764,0.13969398072754502
REGIONAL,MaySep,748,5917,2.771266482011928,1.8413666867307052,-0.030707257822336177
HTEMP_ORIGINAL,DTR_GE15_FORMAL,123,975,5.121513270416676,3.761192310476038,1.2166853471397023
M15_13P5,DTR_GE15_FORMAL,123,975,4.634433327463544,3.3624838660339327,0.08358709567226648
M15_13P8,DTR_GE15_FORMAL,123,975,4.635762098095017,3.3582760786458126,0.13021420731668573
REGIONAL,DTR_GE15_FORMAL,123,975,4.654672201019671,3.3795385985872928,0.03300522625795378
