arm,year,RMSE_kg_ha,RRMSE_pct,MAE_kg_ha,Bias_kg_ha,published_M0_RRMSE_pct
M0,2019,2069.2003890392057,18.601644131153662,1644.75,1644.75,6.52
M0,2020,6684.758372596574,60.770530659968856,6603.0,6603.0,5.69
H0TT,2019,1944.446000793028,17.480130358854055,1484.75,1484.75,
H0TT,2020,5985.497493943172,54.41361358130157,5916.25,5916.25,
M15TT,2019,2068.7765708263423,18.597834101147026,1644.5,1644.5,
M15TT,2020,6266.990964569839,56.97264513245308,6179.25,6179.25,
