model,scenarios,changed_scenarios,mean_delta_yield_kg_ha,max_abs_delta_yield_kg_ha,min_delta_yield_kg_ha,max_delta_yield_kg_ha,mean_delta_anthesis_day,mean_delta_maturity_day
M15,10,0,0.0,0.0,0.0,0.0,0.0,0.0
M19,10,0,0.0,0.0,0.0,0.0,0.0,0.0
