case_id,test_index,mean_nse,01605500_nse,01605500_kge,01605500_rmse,01606000_nse,01606000_kge,01606000_rmse,01606500_nse,01606500_kge,01606500_rmse
closure_01,3742,0.8024704451224008,0.81968529752394,0.7774877852268751,2.0079190535429547,0.7764720596499987,0.7067832741950884,4.969010795527026,0.811253978193264,0.7438548755916321,6.297250061242849
closure_02,4433,0.9519428802238852,0.9499783798563107,0.8386147545440795,0.9710747826019458,0.9535837815734298,0.8663899345195105,1.8184142969731119,0.9522664792419149,0.8493838449586053,2.743956181565387
closure_03,2169,0.9299094950326854,0.9596827971578712,0.9429663573528531,0.7024744351063761,0.8988155986402858,0.9493424106724845,2.1550289223152,0.931230089299899,0.9557898480443942,2.638543561655641
closure_04,647,0.889319448624776,0.8707275697902004,0.7578889830505806,0.8821339592692796,0.8977270329432181,0.7856549993587789,1.7178113484629463,0.8995037431409093,0.7826887841789596,2.375648805102743
closure_05,4438,0.9207385075289887,0.9131572474228491,0.8320105754902967,1.5937683995544236,0.9248765159430036,0.8458083605409967,2.8601242302171186,0.9241817592211135,0.8382682705813403,4.292872536707121
closure_06,1125,0.9336820980371371,0.9387732134619939,0.9290932469515498,0.7471723727691748,0.9253804475032636,0.9078063463153923,1.6921538518944563,0.9368926331461538,0.9263450618174408,2.247542746990797
closure_07,3,0.9471350794247497,0.9550049456296099,0.8630701711871274,0.8723869898272015,0.9393678504405307,0.8574717921883692,2.0674307172610087,0.9470324422041083,0.8496789068922026,2.822138266279453
closure_08,2634,0.9208401514182388,0.9363730678319178,0.9534214686631225,0.8125518280535783,0.9030185307752531,0.882689506692436,2.3365476602407016,0.9231288556475454,0.9300528036358834,2.7777148289090623
closure_09,4029,0.5653405113920721,0.9221873300952665,0.8146676827879267,0.7979237526945359,0.7524238380048127,0.8480014754216967,3.2687341412513033,0.02141036607613689,0.6887608924504967,11.167458349707116
closure_10,2243,0.9334544535068803,0.9288486236310631,0.8105651750554941,1.2424069545459486,0.9362403937916178,0.8377563580188641,2.2750116671861367,0.93527434309796,0.8233806313492293,3.4139095324883226
closure_11,1149,0.6799871769317959,0.7444602931579463,0.8719186724365569,1.5828572269070695,0.6014664781346758,0.8027268205249085,3.904399391476004,0.6940347595027655,0.8483389104779508,4.984177215088415
closure_12,3643,0.9499174598467492,0.960454258803268,0.8701041516528082,0.784844851778243,0.9406893830617569,0.8655314390024124,1.9612850315067176,0.9486087376752226,0.8641659614621298,2.649178295283195
