arm_family,alpha_exact,alpha_fortran_literal,max_hourly_temperature_difference_C,max_daily_DTT_difference_Cd
13P5,6.407985379809223,6.408,2.3927184471972396e-05,6.575071292758139e-06
13P8,6.749813473189908,6.7498,1.973612111072498e-05,4.154773264986034e-06
