date,year,arm,TMAX_C,TMIN_C,DTR_C,SRAD_raw_MJ_m2,SRAD_scaled_MJ_m2,SRAD_factor,CLOUDS,M15_active,sunset_anchor_capped,CERES_branch,CERES_DTT_Cd,raw_hourly_mean_C,clipped_hourly_mean_C,hours_below_TBASE,hours_above_DOPT,degree_hours_below_TBASE,degree_hours_above_DOPT,TGRO_01_C,TGRO_02_C,TGRO_03_C,TGRO_04_C,TGRO_05_C,TGRO_06_C,TGRO_07_C,TGRO_08_C,TGRO_09_C,TGRO_10_C,TGRO_11_C,TGRO_12_C,TGRO_13_C,TGRO_14_C,TGRO_15_C,TGRO_16_C,TGRO_17_C,TGRO_18_C,TGRO_19_C,TGRO_20_C,TGRO_21_C,TGRO_22_C,TGRO_23_C,TGRO_24_C
2019-05-03,2019,H0TT,25.32,9.52,15.8,18.27,15.52557939914163,0.8497854077253219,0.46926426958081036,False,False,DAILY_MEAN_NORMAL,9.420000000000002,17.551964737616643,17.551964737616643,0,0,0.0,0.0,12.10491521563187,11.360627004325037,10.751773026539702,10.253709023061615,9.846275121647437,9.58401145653909,12.3196558038239,14.970671297992313,17.45692223073374,19.70325344736448,21.64176215986204,23.21385053313871,24.371996998347946,25.081192749422378,25.319999999986095,25.081200011327184,24.372011302642477,23.213871447428367,21.641789051943277,19.18052921597352,17.148728527278823,15.486643984509179,14.127000274038483,13.014763819241775
2019-05-03,2019,M15_13P5,25.32,9.52,15.8,18.27,15.52557939914163,0.8497854077253219,0.46926426958081036,True,False,DAILY_MEAN_NORMAL,9.420000000000002,16.103595547916402,16.103595547916402,0,0,0.0,0.0,10.625045527654319,10.30686396633398,10.046580239781749,9.833658981784307,9.659481891622985,9.58401145653909,12.3196558038239,14.970671297992313,17.45692223073374,19.70325344736448,21.64176215986204,23.21385053313871,24.371996998347946,25.081192749422378,25.319999999986095,24.637149865251498,22.609220098676122,19.297511582332348,14.802131655562107,13.649854836370672,12.781264543524951,12.070727083934813,11.489482410077418,11.01400378987565
2019-05-03,2019,M15_13P8,25.32,9.52,15.8,18.27,15.52557939914163,0.8497854077253219,0.46926426958081036,True,False,DAILY_MEAN_NORMAL,9.420000000000002,16.225328986678985,16.225328986678985,0,0,0.0,0.0,10.749426539981227,10.395431300662674,10.105850723808258,9.868963610148873,9.675181605749847,9.58401145653909,12.3196558038239,14.970671297992313,17.45692223073374,19.70325344736448,21.64176215986204,23.21385053313871,24.371996998347946,25.081192749422378,25.319999999986095,24.674471669422168,22.75738027538057,19.626676243663333,15.376995454613061,14.114700412825199,13.148343885722321,12.357830202249705,11.711162159730323,11.182164919127425
2019-05-03,2019,R1_P05,25.32,9.52,15.8,18.27,15.52557939914163,0.8497854077253219,0.46926426958081036,True,False,DAILY_MEAN_NORMAL,9.420000000000002,15.824005434480696,15.824005434480696,0,0,0.0,0.0,10.625045527654319,10.30686396633398,10.046580239781749,9.833658981784307,9.659481891622985,9.58401145653909,12.3196558038239,14.970671297992313,17.45692223073374,19.70325344736448,21.64176215986204,23.21385053313871,24.371996998347946,25.081192749422378,25.319999999986095,22.62509904206216,19.950581713457655,17.316718442095656,14.743451281749719,13.649854836370672,12.781264543524951,12.070727083934813,11.489482410077418,11.01400378987565
2019-05-03,2019,R3_P05_B105,25.32,9.52,15.8,18.27,15.52557939914163,0.8497854077253219,0.46926426958081036,True,False,DAILY_MEAN_NORMAL,9.420000000000002,16.020669572209105,16.020669572209105,0,0,0.0,0.0,11.21959922596013,10.810115264548033,10.4380617990324,10.10001734736489,9.792873181553093,9.58401145653909,12.3196558038239,14.970671297992313,17.45692223073374,19.70325344736448,21.64176215986204,23.21385053313871,24.371996998347946,25.081192749422378,25.319999999986095,22.62509904206216,19.950581713457655,17.316718442095656,14.743451281749719,13.974363334491503,13.31306929899365,12.712223451983323,12.166300288472915,11.670279384042672
2019-05-04,2019,H0TT,17.54,9.77,7.77,16.45,13.978969957081544,0.8497854077253219,0.524711500521673,False,False,DAILY_MEAN_NORMAL,5.654999999999999,13.725550166798572,13.725550166798572,0,0,0.0,0.0,11.038167880256067,10.671630952976532,10.372028649235293,10.127137797245908,9.926967342482369,9.830483949339756,11.172159748109229,12.471651861467194,13.689865338514831,14.790150479280985,15.739405433349804,16.50907206216985,17.075995104733476,17.423118798805113,17.53999999999316,17.423122361584564,17.076002123106893,16.509082324990924,15.739418631863693,14.532070755204217,13.527499686727012,12.706376945775911,12.035202374992071,11.48659340096087
2019-05-04,2019,M15_13P5,17.54,9.77,7.77,16.45,13.978969957081544,0.8497854077253219,0.524711500521673,False,False,DAILY_MEAN_NORMAL,5.654999999999999,13.725550166798572,13.725550166798572,0,0,0.0,0.0,11.038167880256067,10.671630952976532,10.372028649235293,10.127137797245908,9.926967342482369,9.830483949339756,11.172159748109229,12.471651861467194,13.689865338514831,14.790150479280985,15.739405433349804,16.50907206216985,17.075995104733476,17.423118798805113,17.53999999999316,17.423122361584564,17.076002123106893,16.509082324990924,15.739418631863693,14.532070755204217,13.527499686727012,12.706376945775911,12.035202374992071,11.48659340096087
2019-05-04,2019,M15_13P8,17.54,9.77,7.77,16.45,13.978969957081544,0.8497854077253219,0.524711500521673,False,False,DAILY_MEAN_NORMAL,5.654999999999999,13.725550166798572,13.725550166798572,0,0,0.0,0.0,11.038167880256067,10.671630952976532,10.372028649235293,10.127137797245908,9.926967342482369,9.830483949339756,11.172159748109229,12.471651861467194,13.689865338514831,14.790150479280985,15.739405433349804,16.50907206216985,17.075995104733476,17.423118798805113,17.53999999999316,17.423122361584564,17.076002123106893,16.509082324990924,15.739418631863693,14.532070755204217,13.527499686727012,12.706376945775911,12.035202374992071,11.48659340096087
2019-05-04,2019,R1_P05,17.54,9.77,7.77,16.45,13.978969957081544,0.8497854077253219,0.524711500521673,False,False,DAILY_MEAN_NORMAL,5.654999999999999,13.725550166798572,13.725550166798572,0,0,0.0,0.0,11.038167880256067,10.671630952976532,10.372028649235293,10.127137797245908,9.926967342482369,9.830483949339756,11.172159748109229,12.471651861467194,13.689865338514831,14.790150479280985,15.739405433349804,16.50907206216985,17.075995104733476,17.423118798805113,17.53999999999316,17.423122361584564,17.076002123106893,16.509082324990924,15.739418631863693,14.532070755204217,13.527499686727012,12.706376945775911,12.035202374992071,11.48659340096087
2019-05-04,2019,R3_P05_B105,17.54,9.77,7.77,16.45,13.978969957081544,0.8497854077253219,0.524711500521673,False,False,DAILY_MEAN_NORMAL,5.654999999999999,13.725550166798572,13.725550166798572,0,0,0.0,0.0,11.038167880256067,10.671630952976532,10.372028649235293,10.127137797245908,9.926967342482369,9.830483949339756,11.172159748109229,12.471651861467194,13.689865338514831,14.790150479280985,15.739405433349804,16.50907206216985,17.075995104733476,17.423118798805113,17.53999999999316,17.423122361584564,17.076002123106893,16.509082324990924,15.739418631863693,14.532070755204217,13.527499686727012,12.706376945775911,12.035202374992071,11.48659340096087
