scope,train_year,test_year,selected_mode,selected_KRT,test_RMSE_kg_ha,baseline_test_RMSE_kg_ha
prft,2019,2020,prft,0.0,3532.678268679445,3532.678268679445
prft,2020,2019,prft,1.0,1659.917844352545,1277.0987628214193
rgfill,2019,2020,rgfill,0.0,3532.678268679445,3532.678268679445
rgfill,2020,2019,rgfill,1.0,1490.3337713411718,1277.0987628214193
both,2019,2020,both,0.0,3532.678268679445,3532.678268679445
both,2020,2019,both,1.0,2055.731317560736,1277.0987628214193
all_modes,2019,2020,both,0.0,3532.678268679445,3532.678268679445
all_modes,2020,2019,both,1.0,2055.731317560736,1277.0987628214193
