doy,mean_DTR_C,sd_DTR_C,enabled
1,13.673967704728952,2.9101612335247786,0
2,13.673967704728952,2.9101612335247786,0
3,13.673967704728952,2.9101612335247786,0
4,13.673967704728952,2.9101612335247786,0
5,13.673967704728952,2.9101612335247786,0
6,13.673967704728952,2.9101612335247786,0
7,13.673967704728952,2.9101612335247786,0
8,13.673967704728952,2.9101612335247786,0
9,13.673967704728952,2.9101612335247786,0
10,13.673967704728952,2.9101612335247786,0
11,13.673967704728952,2.9101612335247786,0
12,13.673967704728952,2.9101612335247786,0
13,13.673967704728952,2.9101612335247786,0
14,13.673967704728952,2.9101612335247786,0
15,13.673967704728952,2.9101612335247786,0
16,13.673967704728952,2.9101612335247786,0
17,13.673967704728952,2.9101612335247786,0
18,13.673967704728952,2.9101612335247786,0
19,13.673967704728952,2.9101612335247786,0
20,13.673967704728952,2.9101612335247786,0
21,13.673967704728952,2.9101612335247786,0
22,13.673967704728952,2.9101612335247786,0
23,13.673967704728952,2.9101612335247786,0
24,13.673967704728952,2.9101612335247786,0
25,13.673967704728952,2.9101612335247786,0
26,13.673967704728952,2.9101612335247786,0
27,13.673967704728952,2.9101612335247786,0
28,13.673967704728952,2.9101612335247786,0
29,13.673967704728952,2.9101612335247786,0
30,13.673967704728952,2.9101612335247786,0
31,13.673967704728952,2.9101612335247786,0
32,13.673967704728952,2.9101612335247786,0
33,13.673967704728952,2.9101612335247786,0
34,13.673967704728952,2.9101612335247786,0
35,13.673967704728952,2.9101612335247786,0
36,13.673967704728952,2.9101612335247786,0
37,13.673967704728952,2.9101612335247786,0
38,13.673967704728952,2.9101612335247786,0
39,13.673967704728952,2.9101612335247786,0
40,13.673967704728952,2.9101612335247786,0
41,13.673967704728952,2.9101612335247786,0
42,13.673967704728952,2.9101612335247786,0
43,13.673967704728952,2.9101612335247786,0
44,13.673967704728952,2.9101612335247786,0
45,13.673967704728952,2.9101612335247786,0
46,13.673967704728952,2.9101612335247786,0
47,13.673967704728952,2.9101612335247786,0
48,13.673967704728952,2.9101612335247786,0
49,13.673967704728952,2.9101612335247786,0
50,13.673967704728952,2.9101612335247786,0
51,13.673967704728952,2.9101612335247786,0
52,13.673967704728952,2.9101612335247786,0
53,13.673967704728952,2.9101612335247786,0
54,13.673967704728952,2.9101612335247786,0
55,13.673967704728952,2.9101612335247786,0
56,13.673967704728952,2.9101612335247786,0
57,13.673967704728952,2.9101612335247786,0
58,13.673967704728952,2.9101612335247786,0
59,13.673967704728952,2.9101612335247786,0
60,13.673967704728952,2.9101612335247786,0
61,13.673967704728952,2.9101612335247786,0
62,13.673967704728952,2.9101612335247786,0
63,13.673967704728952,2.9101612335247786,0
64,13.673967704728952,2.9101612335247786,0
65,13.673967704728952,2.9101612335247786,0
66,13.673967704728952,2.9101612335247786,0
67,13.673967704728952,2.9101612335247786,0
68,13.673967704728952,2.9101612335247786,0
69,13.673967704728952,2.9101612335247786,0
70,13.673967704728952,2.9101612335247786,0
71,13.673967704728952,2.9101612335247786,0
72,13.673967704728952,2.9101612335247786,0
73,13.673967704728952,2.9101612335247786,0
74,13.673967704728952,2.9101612335247786,0
75,13.673967704728952,2.9101612335247786,0
76,13.673967704728952,2.9101612335247786,0
77,13.673967704728952,2.9101612335247786,0
78,13.673967704728952,2.9101612335247786,0
79,13.673967704728952,2.9101612335247786,0
80,13.673967704728952,2.9101612335247786,0
81,13.673967704728952,2.9101612335247786,0
82,13.673967704728952,2.9101612335247786,0
83,13.673967704728952,2.9101612335247786,0
84,13.673967704728952,2.9101612335247786,0
85,13.673967704728952,2.9101612335247786,0
86,13.673967704728952,2.9101612335247786,0
87,13.673967704728952,2.9101612335247786,0
88,13.673967704728952,2.9101612335247786,0
89,13.673967704728952,2.9101612335247786,0
90,13.673967704728952,2.9101612335247786,0
91,13.673967704728952,2.9101612335247786,0
92,13.673967704728952,2.9101612335247786,0
93,13.673967704728952,2.9101612335247786,0
94,13.673967704728952,2.9101612335247786,0
95,13.673967704728952,2.9101612335247786,0
96,13.673967704728952,2.9101612335247786,0
97,13.673967704728952,2.9101612335247786,0
98,13.673967704728952,2.9101612335247786,0
99,13.673967704728952,2.9101612335247786,0
100,13.673967704728952,2.9101612335247786,0
